"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-13T22:11:03.298";-0.64087;2.22778;1.02234;0.0437;-0.03687;1.00378;59973
"2020-08-13T22:11:03.320";-0.64087;1.93787;0.48828;0.04199;-0.03186;0.99829;59990
"2020-08-13T22:11:03.349";-0.97656;2.57874;-0.59509;0.03992;-0.03503;1.00525;60018
"2020-08-13T22:11:03.381";-1.11389;2.47192;0.50354;0.02832;-0.0376;1.00293;60036
"2020-08-13T22:11:03.382";-0.57983;1.2207;1.12915;0.03442;-0.03711;0.99976;60064
"2020-08-13T22:11:03.403";-0.94604;1.51062;0.36621;0.02527;-0.04016;1.00012;60110
"2020-08-13T22:11:03.423";-0.7782;1.20544;-0.35095;0.03955;-0.03101;1.00208;60102
"2020-08-13T22:11:03.464";0.85449;-1.83105;0.61035;0.03308;-0.04639;0.99976;60167
"2020-08-13T22:11:03.465";0.42725;-1.44958;0.24414;0.02319;-0.04626;1.0011;60138
"2020-08-13T22:11:03.474";1.297;-2.21252;0.83923;0.03552;-0.04163;1.00012;60176
"2020-08-13T22:11:03.496";1.00708;-1.9989;0.53406;0.05652;-0.02087;0.99658;60204
"2020-08-13T22:11:03.516";1.44958;-2.44141;0.9613;0.04077;-0.0343;1.00244;60184
"2020-08-13T22:11:03.517";1.37329;-2.42615;0.80872;0.04932;-0.02612;1;60195
"2020-08-13T22:11:03.547";-1.43433;1.67847;-0.41199;0.08667;-0.01892;1.00085;60232
"2020-08-13T22:11:03.552";0.19836;-1.26648;0.36621;0.06494;-0.01599;0.99902;60212
"2020-08-13T22:11:03.553";-0.56458;-0.10681;0.12207;0.07825;-0.01648;1.00452;60221
"2020-08-13T22:11:03.557";-2.65503;5.43213;-1.02234;0.06567;-0.03137;1.00122;60258
"2020-08-13T22:11:03.578";-2.76184;8.52966;0.47302;0.08252;-0.03442;1.01367;60278
"2020-08-13T22:11:03.587";-2.24304;3.7384;-0.91553;0.06567;-0.03137;1.00122;60240
"2020-08-13T22:11:03.589";-2.76184;6.69861;-0.35095;0.07385;-0.03503;1.01306;60269
"2020-08-13T22:11:03.607";-1.95312;10.40649;3.79944;0.01025;-0.08459;1.01355;60295
"2020-08-13T22:11:03.608";-2.83813;10.31494;2.16675;0.04614;-0.05481;1.00586;60286
"2020-08-13T22:11:03.703";3.02124;10.02502;2.19727;0.03601;-0.06543;1.00452;60323
"2020-08-13T22:11:03.704";4.54712;11.12366;2.12097;0.08875;-0.00342;1.04639;60342
"2020-08-13T22:11:03.705";-9.46045;14.41956;2.0752;0.16284;0.04456;1.27466;60369
"2020-08-13T22:11:03.711";-28.83911;26.96228;3.25012;0.2019;0.03601;1.3833;60388
"2020-08-13T22:11:03.713";-37.68921;33.78296;4.89807;0.19666;0.02539;1.39331;60397
"2020-08-13T22:11:03.714";-44.8761;39.27612;7.0343;0.18164;-0.00134;1.37671;60406
"2020-08-13T22:11:03.722";-50.07935;44.54041;11.67297;0.13416;-0.08423;1.33679;60425
"2020-08-13T22:11:03.732";-46.89026;43.60962;13.70239;0.10767;-0.12708;1.34546;60434
