"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-21T22:52:18.742";8.98743;248.61145;37.68921;0.047;0.02429;1.71887;189290
"2020-08-21T22:52:18.755";18.81409;252.5177;48.67554;0.04126;0.02893;1.7677;189302
"2020-08-21T22:52:18.763";29.32739;256.04248;61.21826;0.03369;0.04517;1.81409;189311
"2020-08-21T22:52:18.772";39.45923;259.27734;75.48523;0.02258;0.06445;1.86938;189319
"2020-08-21T22:52:18.780";39.45923;259.27734;75.48523;0.0094;0.09131;1.93213;189328
"2020-08-21T22:52:18.793";57.55615;262.45117;107.43713;-0.00745;0.12634;1.98633;189340
"2020-08-21T22:52:18.806";64.19373;262.28333;124.31335;-0.02466;0.15576;2.02527;189349
"2020-08-21T22:52:18.811";64.19373;262.28333;124.31335;-0.03918;0.18201;2.05432;189358
"2020-08-21T22:52:18.821";69.48853;260.75745;141.67786;-0.03918;0.18201;2.05432;189367
"2020-08-21T22:52:18.831";74.89014;253.9978;177.06299;-0.05615;0.25024;2.06702;189379
"2020-08-21T22:52:18.840";74.89014;253.9978;177.06299;-0.05615;0.25024;2.06702;189388
"2020-08-21T22:52:18.849";74.1272;249.00818;194.29016;-0.06482;0.28772;2.07617;189396
"2020-08-21T22:52:18.858";70.86182;243.10303;210.47974;-0.07666;0.31104;2.07776;189405
"2020-08-21T22:52:18.870";66.36047;235.8551;225.5249;-0.08691;0.30994;2.07495;189417
"2020-08-21T22:52:18.878";62.54578;227.93579;239.68506;-0.08423;0.28894;2.07678;189426
"2020-08-21T22:52:18.890";61.4624;220.61157;253.23486;-0.07031;0.2583;2.08496;189435
"2020-08-21T22:52:18.895";64.17847;214.76746;266.31165;-0.05176;0.22119;2.08484;189443
"2020-08-21T22:52:18.908";71.06018;210.47974;279.35791;-0.03113;0.18347;2.07654;189456
"2020-08-21T22:52:18.917";82.07703;207.68738;292.78564;-0.00647;0.15759;2.06311;189465
"2020-08-21T22:52:18.926";95.97778;206.19202;306.38123;0.0105;0.14514;2.0437;189473
"2020-08-21T22:52:18.934";111.34338;204.91028;319.80896;0.00952;0.14636;2.01099;189482
"2020-08-21T22:52:18.946";126.37329;201.9043;332.68738;-0.0105;0.16992;1.99023;189494
"2020-08-21T22:52:18.955";139.5874;195.77026;344.86389;-0.03381;0.20044;1.96594;189503
"2020-08-21T22:52:18.964";150.29907;186.12671;356.00281;-0.05103;0.22314;1.94849;189512
"2020-08-21T22:52:18.972";159.01184;173.62976;365.69214;-0.06836;0.24902;1.94263;189520
"2020-08-21T22:52:18.985";165.3595;158.34045;374.00818;-0.09509;0.28516;1.92517;189532
"2020-08-21T22:52:18.993";168.85376;140.21301;381.54602;-0.104;0.30884;1.89941;189541
"2020-08-21T22:52:19.003";168.85376;140.21301;381.54602;-0.0802;0.32129;1.88538;189550
"2020-08-21T22:52:19.013";170.02869;121.20056;388.04626;-0.0802;0.32129;1.88538;189559
"2020-08-21T22:52:19.023";169.66248;90.10315;395.64514;-0.01233;0.33948;1.823;189571
"2020-08-21T22:52:19.032";169.66248;90.10315;395.64514;0.01636;0.33008;1.78833;189580
"2020-08-21T22:52:19.041";168.68591;78.73535;396.698;0.01636;0.33008;1.78833;189588
"2020-08-21T22:52:19.052";169.00635;69.44275;395.9198;0.03247;0.30774;1.73718;189597
"2020-08-21T22:52:19.062";170.89844;60.56213;393.8446;0.03308;0.29907;1.67542;189609
"2020-08-21T22:52:19.070";173.20251;50.90332;390.54871;0.03271;0.29736;1.62354;189618
"2020-08-21T22:52:19.080";175.0946;40.60364;385.45227;0.04675;0.31714;1.55957;189627
"2020-08-21T22:52:19.087";174.33167;31.05164;377.79236;0.07507;0.3634;1.50891;189635
"2020-08-21T22:52:19.100";169.37256;23.89526;367.14172;0.11023;0.40259;1.47815;189647
"2020-08-21T22:52:19.110";161.65161;19.45496;353.3783;0.13391;0.42065;1.43469;189656
"2020-08-21T22:52:19.118";152.92358;16.37268;337.69226;0.14197;0.4281;1.39124;189665
"2020-08-21T22:52:19.129";144.30237;13.87024;321.0144;0.1637;0.4165;1.34778;189674
"2020-08-21T22:52:19.139";137.5885;12.89368;303.92456;0.17847;0.38452;1.29529;189686
"2020-08-21T22:52:19.147";133.46863;12.51221;286.97205;0.17896;0.36743;1.22974;189695
"2020-08-21T22:52:19.156";129.91333;11.73401;269.98901;0.17529;0.36475;1.16553;189703
"2020-08-21T22:52:19.165";126.25122;10.17761;252.94495;0.17334;0.36267;1.11548;189712
"2020-08-21T22:52:19.188";118.05725;5.87463;220.5658;0.18103;0.34021;1.02429;189735
