"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-21T22:51:22.711";-62.74414;201.9043;-321.88416;0.19373;0.03589;2.36316;133250
"2020-08-21T22:51:22.712";-81.17676;215.20996;-335.58655;0.19373;0.03589;2.36316;133258
"2020-08-21T22:51:22.719";-102.72217;226.76086;-349.18213;0.17554;0.04504;2.31848;133267
"2020-08-21T22:51:22.734";-148.97156;236.29761;-374.78638;0.08228;0.02283;2.25549;133282
"2020-08-21T22:51:22.743";-170.80688;231.12488;-386.52039;0.02466;-0.0094;2.21582;133291
"2020-08-21T22:51:22.754";-170.80688;231.12488;-386.52039;-0.02063;-0.04749;2.16296;133299
"2020-08-21T22:51:22.761";-189.65149;219.28406;-397.30835;-0.02063;-0.04749;2.16296;133308
"2020-08-21T22:51:22.775";-214.66064;183.74634;-412.0636;-0.04883;-0.13892;2.07861;133323
"2020-08-21T22:51:22.786";-220.33691;164.44397;-415.72571;-0.05615;-0.18079;2.07874;133332
"2020-08-21T22:51:22.795";-221.95435;144.30237;-417.48047;-0.07422;-0.20862;2.06726;133341
"2020-08-21T22:51:22.802";-221.95435;144.30237;-417.48047;-0.07422;-0.20862;2.06726;133350
"2020-08-21T22:51:22.817";-214.55383;101.15051;-414.79492;-0.06287;-0.2804;1.94873;133365
"2020-08-21T22:51:22.825";-205.29175;81.58875;-409.60693;-0.03345;-0.30774;1.88354;133373
"2020-08-21T22:51:22.834";-193.87817;65.58228;-401.76392;-0.00293;-0.31799;1.82629;133382
"2020-08-21T22:51:22.843";-193.87817;65.58228;-401.76392;0.0332;-0.32263;1.77466;133391
"2020-08-21T22:51:22.858";-169.8761;45.10498;-380.00488;0.0824;-0.32214;1.73364;133406
"2020-08-21T22:51:22.867";-159.53064;41.70227;-367.73682;0.1095;-0.3125;1.67725;133414
"2020-08-21T22:51:22.875";-151.38245;40.71045;-356.01807;0.12378;-0.31714;1.62024;133423
"2020-08-21T22:51:22.892";-145.18738;41.12244;-345.03174;0.14404;-0.30286;1.58997;133432
"2020-08-21T22:51:22.899";-142.4408;42.6178;-334.39636;0.13196;-0.27979;1.55505;133447
"2020-08-21T22:51:22.910";-142.41028;42.3584;-324.55444;0.10645;-0.28552;1.50635;133456
"2020-08-21T22:51:22.917";-142.79175;39.71863;-315.68909;0.11292;-0.29102;1.44299;133464
"2020-08-21T22:51:22.925";-143.06641;37.64343;-308.19702;0.14368;-0.27148;1.36914;133473
"2020-08-21T22:51:22.940";-144.6228;37.59766;-301.97144;0.16736;-0.26184;1.29639;133488
"2020-08-21T22:51:22.949";-146.53015;38.55896;-295.22705;0.16467;-0.26782;1.22278;133497
"2020-08-21T22:51:22.957";-147.9187;38.51318;-287.00256;0.14893;-0.27173;1.14209;133505
"2020-08-21T22:51:22.966";-148.57483;37.01782;-277.45056;0.14038;-0.26575;1.07153;133514
"2020-08-21T22:51:22.992";-148.28491;33.87451;-256.43921;0.20398;-0.25574;0.89331;133539
"2020-08-21T22:51:23.001";-146.72852;36.43799;-246.4447;0.23694;-0.25818;0.82129;133548
"2020-08-21T22:51:23.010";-143.53943;42.41943;-236.58752;0.28174;-0.25867;0.76477;133556
"2020-08-21T22:51:23.021";-139.54163;51.80359;-226.66931;0.26855;-0.24304;0.69312;133569
"2020-08-21T22:51:23.029";-136.23047;59.81445;-216.17126;0.21509;-0.22424;0.64209;133578
"2020-08-21T22:51:23.039";-133.5144;64.5752;-206.29883;0.19897;-0.22266;0.58936;133586
"2020-08-21T22:51:23.047";-130.32532;68.98499;-198.50159;0.21619;-0.22803;0.53955;133595
"2020-08-21T22:51:23.060";-126.51062;75.02747;-192.84058;0.19397;-0.21997;0.48596;133607
"2020-08-21T22:51:23.069";-123.16895;78.3844;-189.7583;0.07813;-0.20325;0.46106;133616
"2020-08-21T22:51:23.077";-120.52917;75.51575;-187.37793;0.08765;-0.21509;0.4209;133625
"2020-08-21T22:51:23.085";-116.69922;74.20349;-184.78394;0.10461;-0.2063;0.35937;133634
"2020-08-21T22:51:23.099";-112.77771;75.18005;-182.12891;0.11548;-0.18286;0.30164;133646
"2020-08-21T22:51:23.108";-109.49707;77.94189;-179.35181;0.13;-0.16504;0.26367;133655
"2020-08-21T22:51:23.116";-106.75049;82.6416;-176.62048;0.14087;-0.14819;0.22974;133664
"2020-08-21T22:51:23.124";-106.75049;82.6416;-176.62048;0.15222;-0.14465;0.20044;133673
"2020-08-21T22:51:23.137";-100.98267;96.02356;-167.95349;0.15149;-0.14441;0.1781;133685
"2020-08-21T22:51:23.146";-97.42737;103.71399;-160.94971;0.17444;-0.15015;0.16284;133694
"2020-08-21T22:51:23.154";-97.42737;103.71399;-160.94971;0.20044;-0.16736;0.14063;133702
"2020-08-21T22:51:23.163";-93.29224;113.49487;-150.55847;0.20044;-0.16736;0.14063;133711
"2020-08-21T22:51:23.176";-88.36365;124.84741;-138.48877;0.11584;-0.1875;0.10645;133724
"2020-08-21T22:51:23.185";-82.68738;134.23157;-127.82288;0.11584;-0.1875;0.10645;133732
"2020-08-21T22:51:23.194";-75.98877;139.00757;-119.79675;0.05188;-0.19727;0.10364;133741
"2020-08-21T22:51:23.204";-68.63403;139.03809;-114.71558;-0.01111;-0.20496;0.1123;133750
"2020-08-21T22:51:23.218";-61.44714;133.94165;-112.51831;-0.08972;-0.19067;0.15161;133763
"2020-08-21T22:51:23.224";-56.90002;122.08557;-113.06763;-0.14417;-0.13965;0.19263;133771
"2020-08-21T22:51:23.232";-57.25098;106.01807;-115.20386;-0.14819;-0.09338;0.20569;133780
"2020-08-21T22:51:23.243";-61.41663;89.78271;-117.55371;-0.1217;-0.06323;0.18616;133789
"2020-08-21T22:51:23.253";-67.12341;76.08032;-118.57605;-0.04419;-0.05725;0.15393;133801
"2020-08-21T22:51:23.262";-72.79968;69.13757;-115.85999;0.05176;-0.08667;0.15674;133810
"2020-08-21T22:51:23.272";-76.23291;69.54956;-110.06165;0.11401;-0.16016;0.18286;133819
"2020-08-21T22:51:23.279";-75.98877;74.23401;-102.87476;0.14746;-0.12769;0.22778;133827
"2020-08-21T22:51:23.291";-79.0863;80.55115;-94.7876;0.17175;-0.03992;0.25977;133838
"2020-08-21T22:51:23.300";-88.04321;88.66882;-86.88354;0.22632;-0.00269;0.24963;133847
"2020-08-21T22:51:23.308";-99.13635;101.10474;-78.03345;0.30737;-0.00684;0.22546;133856
"2020-08-21T22:51:23.316";-99.13635;101.10474;-78.03345;0.40125;-0.03931;0.20251;133864
"2020-08-21T22:51:23.328";-118.89648;140.45715;-59.09729;0.4502;-0.07825;0.21997;133875
"2020-08-21T22:51:23.336";-118.89648;140.45715;-59.09729;0.4502;-0.07825;0.21997;133884
"2020-08-21T22:51:23.346";-124.80164;155.60913;-64.27002;0.45667;-0.02942;0.2981;133892
"2020-08-21T22:51:23.355";-130.59998;161.14807;-88.48572;0.46069;-0.0387;0.29175;133901
"2020-08-21T22:51:23.364";-135.43701;154.54102;-126.19019;0.41797;-0.06885;0.28284;133912
"2020-08-21T22:51:23.373";-139.34326;134.8877;-166.73279;0.41248;-0.10059;0.29871;133921
"2020-08-21T22:51:23.381";-141.23535;105.80444;-205.07812;0.47192;-0.13098;0.34351;133929
"2020-08-21T22:51:23.390";-139.73999;76.24817;-235.39734;0.57568;-0.16077;0.40112;133938
"2020-08-21T22:51:23.402";-134.65881;55.51147;-251.35803;0.67957;-0.1936;0.44885;133949
