"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T10:03:24.633";18.17322;109.49707;-11.27625;0.55554;-0.13696;0.23462;25826
"2020-08-12T10:03:24.642";20.82825;128.72314;-2.16675;0.51294;-0.08948;0.24915;25834
"2020-08-12T10:03:24.650";21.30127;143.95142;5.32532;0.59363;-0.09973;0.28027;25843
"2020-08-12T10:03:24.663";22.10999;160.2478;10.17761;0.60571;-0.07141;0.30957;25855
"2020-08-12T10:03:24.671";19.68384;172.94312;14.73999;0.53516;0.03015;0.29785;25863
"2020-08-12T10:03:24.679";9.93347;176.30005;17.25769;0.45251;0.12048;0.30286;25872
"2020-08-12T10:03:24.688";-4.82178;170.24231;16.63208;0.45105;0.15796;0.3645;25881
"2020-08-12T10:03:24.701";-20.08057;161.17859;12.72583;0.41858;0.15784;0.44299;25893
"2020-08-12T10:03:24.709";-34.05762;148.31543;8.5144;0.38696;0.1062;0.5293;25902
"2020-08-12T10:03:24.719";-44.08264;133.69751;5.40161;0.43469;0.05225;0.60999;25910
"2020-08-12T10:03:24.726";-52.10876;120.224;4.28772;0.38367;0.05981;0.61072;25919
"2020-08-12T10:03:24.738";-61.58447;101.98975;2.76184;0.33521;0.11304;0.59875;25931
"2020-08-12T10:03:24.747";-74.11194;80.04761;-4.65393;0.32874;0.1709;0.64294;25940
"2020-08-12T10:03:24.756";-74.11194;80.04761;-4.65393;0.31824;0.14185;0.74756;25948
"2020-08-12T10:03:24.764";-87.55493;59.55505;-19.89746;0.31824;0.14185;0.74756;25957
"2020-08-12T10:03:24.777";-95.71838;35.94971;-66.28418;0.41833;-0.05591;0.9502;25969
"2020-08-12T10:03:24.785";-95.71838;35.94971;-66.28418;0.41833;-0.05591;0.9502;25978
"2020-08-12T10:03:24.799";-91.27808;26.03149;-80.88684;0.33228;-0.06165;0.875;25986
"2020-08-12T10:03:24.804";-87.61597;1.43433;-82.48901;0.28845;-0.02747;0.79724;25995
"2020-08-12T10:03:24.815";-85.40344;-29.06799;-77.46887;0.35083;-0.02527;0.8009;26007
"2020-08-12T10:03:24.824";-81.10046;-50.38452;-70.81604;0.46448;-0.07288;0.84778;26016
"2020-08-12T10:03:24.832";-72.70813;-58.7616;-65.24658;0.50879;-0.10815;0.8446;26025
"2020-08-12T10:03:24.840";-61.21826;-57.99866;-64.37683;0.61353;-0.13647;0.85742;26033
"2020-08-12T10:03:24.853";-48.41614;-48.30933;-64.11743;0.63391;-0.12964;0.81592;26045
"2020-08-12T10:03:24.862";-37.01782;-38.74207;-59.52454;0.64258;-0.07788;0.75586;26054
"2020-08-12T10:03:24.870";-29.22058;-30.16663;-51.94092;0.70557;-0.01843;0.73853;26062
"2020-08-12T10:03:24.878";-23.65112;-17.37976;-43.8385;0.78906;-0.05786;0.75745;26071
"2020-08-12T10:03:24.891";-15.42664;2.91443;-34.13391;0.88599;-0.10889;0.79517;26083
"2020-08-12T10:03:24.900";-5.02014;30.86853;-23.33069;0.95154;-0.10632;0.80981;26092
"2020-08-12T10:03:24.909";4.40979;61.73706;-10.81848;0.99695;-0.07104;0.84155;26101
"2020-08-12T10:03:24.919";4.40979;61.73706;-10.81848;0.98975;0.01318;0.87671;26110
"2020-08-12T10:03:24.930";11.90186;111.16028;20.15686;0.89917;0.1344;0.87085;26122
"2020-08-12T10:03:24.938";7.1106;115.3717;28.4729;0.84314;0.26086;0.8811;26130
"2020-08-12T10:03:24.947";7.1106;115.3717;28.4729;0.84314;0.26086;0.8811;26139
"2020-08-12T10:03:24.955";-3.26538;111.00769;23.94104;0.8241;0.32886;0.90686;26148
"2020-08-12T10:03:24.976";-23.45276;106.91833;-9.73511;0.87109;0.12268;1.07483;26168
"2020-08-12T10:03:24.985";-23.4375;113.84583;-23.6969;0.84668;0.00781;1.16589;26176
"2020-08-12T10:03:24.992";-18.70728;116.86707;-31.08215;0.77087;-0.03223;1.26941;26185
"2020-08-12T10:03:25.004";-13.5498;108.23059;-32.77588;0.66748;-0.06042;1.35339;26196
"2020-08-12T10:03:25.012";-8.8501;84.68628;-28.88489;0.60327;-0.09204;1.40393;26205
"2020-08-12T10:03:25.025";-3.37219;52.64282;-19.19556;0.62292;-0.16223;1.43896;26214
"2020-08-12T10:03:25.030";6.16455;22.90344;-4.71497;0.66931;-0.25171;1.44397;26222
"2020-08-12T10:03:25.041";20.29419;-0.24414;11.35254;0.71509;-0.30322;1.4054;26233
"2020-08-12T10:03:25.050";36.5448;-14.83154;24.93286;0.7948;-0.34851;1.37659;26242
"2020-08-12T10:03:25.058";36.5448;-14.83154;24.93286;0.83545;-0.38635;1.37012;26250
"2020-08-12T10:03:25.066";54.04663;-17.45605;32.85217;0.83545;-0.38635;1.37012;26259
"2020-08-12T10:03:25.077";72.17407;-9.91821;30.13611;0.82422;-0.4137;1.38599;26270
"2020-08-12T10:03:25.086";90.49988;5.5542;13.45825;0.80518;-0.40466;1.42017;26278
"2020-08-12T10:03:25.095";106.46057;27.32849;-13.07678;0.78149;-0.3739;1.45227;26287
"2020-08-12T10:03:25.104";118.10303;50.84229;-38.05542;0.79077;-0.35962;1.48328;26296
"2020-08-12T10:03:25.114";124.84741;70.81604;-49.9115;0.79492;-0.29736;1.52417;26307
"2020-08-12T10:03:25.123";122.39075;79.48303;-45.47119;0.76929;-0.17188;1.56213;26316
"2020-08-12T10:03:25.132";107.8949;71.91467;-27.84729;0.74243;-0.02649;1.61292;26324
"2020-08-12T10:03:25.140";81.77185;54.64172;-5.27954;0.74707;0.09375;1.67346;26333
"2020-08-12T10:03:25.152";47.3938;38.86414;14.45007;0.75854;0.1488;1.70679;26343
"2020-08-12T10:03:25.160";10.0708;31.25;27.81677;0.77319;0.16333;1.70935;26352
