"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-21T22:53:32.724";20.00427;9.70459;18.15796;0.90479;-0.19153;0.35828;263271
"2020-08-21T22:53:32.733";25.13123;11.41357;17.59338;0.91052;-0.1731;0.36084;263280
"2020-08-21T22:53:32.744";28.94592;15.3656;15.41138;0.90979;-0.19177;0.35852;263289
"2020-08-21T22:53:32.755";32.91321;19.65332;12.64954;0.90344;-0.17749;0.36426;263300
"2020-08-21T22:53:32.764";35.2478;23.16284;9.65881;0.9082;-0.15649;0.37732;263309
"2020-08-21T22:53:32.770";35.46143;25.6958;6.34766;0.90735;-0.1449;0.38525;263317
"2020-08-21T22:53:32.779";34.39331;27.05383;2.73132;0.90771;-0.14136;0.3927;263326
"2020-08-21T22:53:32.801";31.64673;27.40479;-5.69153;0.94434;-0.14673;0.41516;263348
"2020-08-21T22:53:32.810";30.39551;27.93884;-10.43701;0.98181;-0.14502;0.43884;263357
"2020-08-21T22:53:32.818";28.97644;30.0293;-14.75525;1.02319;-0.14404;0.46375;263366
"2020-08-21T22:53:32.832";27.52686;34.25598;-17.8833;1.04846;-0.1532;0.48413;263378
"2020-08-21T22:53:32.840";26.94702;40.81726;-19.37866;1.07446;-0.17249;0.50256;263387
"2020-08-21T22:53:32.849";28.01514;48.6145;-18.4021;1.11145;-0.20447;0.51709;263396
"2020-08-21T22:53:32.858";28.01514;48.6145;-18.4021;1.17493;-0.24524;0.53564;263405
"2020-08-21T22:53:32.872";40.16113;61.50818;-4.89807;1.27209;-0.27698;0.57629;263417
"2020-08-21T22:53:32.878";50.49133;67.99316;8.28552;1.37256;-0.28101;0.63672;263425
"2020-08-21T22:53:32.887";50.49133;67.99316;8.28552;1.453;-0.27222;0.70276;263434
"2020-08-21T22:53:32.895";61.21826;76.828;24.7345;1.453;-0.27222;0.70276;263443
"2020-08-21T22:53:32.908";71.76208;88.59253;44.03687;1.56519;-0.2738;0.83447;263455
"2020-08-21T22:53:32.916";82.83997;101.95923;66.08582;1.56519;-0.2738;0.83447;263464
"2020-08-21T22:53:32.926";94.83337;113.93738;91.21704;1.58997;-0.26453;0.90686;263472
"2020-08-21T22:53:32.935";106.03333;120.39185;118.91174;1.5769;-0.22119;0.99329;263481
"2020-08-21T22:53:32.948";113.6322;118.71338;147.12524;1.54639;-0.1748;1.09143;263493
"2020-08-21T22:53:32.955";116.71448;110.79407;174.16382;1.5238;-0.13904;1.17065;263502
"2020-08-21T22:53:32.964";116.10413;100.50964;198.04382;1.49414;-0.11792;1.21399;263511
