"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-12T12:51:04.677";-26.09253;3.11279;-0.24414;0.97668;0.35925;0.802;72564
"2020-08-12T12:51:04.685";-32.59277;6.86646;-12.5885;0.97668;0.35925;0.802;72573
"2020-08-12T12:51:04.697";-46.79871;21.22498;-44.23523;1.10107;0.33252;0.90051;72585
"2020-08-12T12:51:04.705";-46.79871;21.22498;-44.23523;1.13794;0.33911;0.94812;72594
"2020-08-12T12:51:04.714";-52.67334;31.49414;-60.40955;1.13794;0.33911;0.94812;72602
"2020-08-12T12:51:04.722";-58.86841;40.42053;-77.54517;1.15039;0.37219;0.99609;72611
"2020-08-12T12:51:04.735";-67.35229;48.01941;-99.12109;1.15222;0.41931;1.06628;72623
"2020-08-12T12:51:04.743";-79.422;55.78613;-126.83105;1.12524;0.45984;1.13452;72632
"2020-08-12T12:51:04.753";-94.49768;60.51636;-156.57043;1.0813;0.48157;1.18982;72641
"2020-08-12T12:51:04.792";-110.12268;59.50928;-182.09839;1.03711;0.47583;1.24219;72650
"2020-08-12T12:51:04.793";-123.0011;52.6886;-198.91357;0.9895;0.45801;1.27466;72662
"2020-08-12T12:51:04.799";-142.92908;7.06482;-195.44983;0.85059;0.44519;1.23792;72688
"2020-08-12T12:51:04.812";-144.9585;-10.40649;-177.79541;0.83154;0.42542;1.22705;72700
"2020-08-12T12:51:04.820";-143.60046;-24.68872;-154.26636;0.81543;0.38879;1.21375;72709
"2020-08-12T12:51:04.831";-138.07678;-34.89685;-127.92969;0.80261;0.35083;1.19507;72717
"2020-08-12T12:51:04.838";-128.60107;-41.48865;-103.28674;0.78613;0.32507;1.16394;72727
"2020-08-12T12:51:04.851";-116.72974;-45.85266;-84.42688;0.77795;0.3114;1.12451;72739
"2020-08-12T12:51:04.859";-103.25623;-48.12622;-73.28796;0.7804;0.3092;1.09155;72748
"2020-08-12T12:51:04.869";-89.58435;-47.94312;-69.41223;0.79687;0.31543;1.05322;72757
"2020-08-12T12:51:04.876";-89.58435;-47.94312;-69.41223;0.82129;0.30701;1.02075;72765
"2020-08-12T12:51:04.888";-65.5365;-37.00256;-70.69397;0.84302;0.29675;0.99048;72777
"2020-08-12T12:51:04.898";-55.48096;-25.5127;-68.87817;0.84802;0.29419;0.95422;72786
