"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T10:03:07.017";-77.01111;72.49451;-76.84326;0.87231;-0.62781;0.422;8209
"2020-08-12T10:03:07.028";-71.44165;67.06238;-74.53918;0.86963;-0.62451;0.43408;8220
"2020-08-12T10:03:07.036";-65.12451;61.9812;-75.62256;0.86951;-0.61926;0.44666;8229
"2020-08-12T10:03:07.045";-58.45642;58.7616;-78.50647;0.87708;-0.60498;0.44885;8237
"2020-08-12T10:03:07.053";-51.81885;59.03625;-81.95496;0.89111;-0.58765;0.44446;8246
"2020-08-12T10:03:07.064";-46.02051;62.7594;-85.31189;0.90063;-0.57361;0.43665;8256
"2020-08-12T10:03:07.072";-41.73279;69.03076;-88.7146;0.91553;-0.56396;0.44177;8265
"2020-08-12T10:03:07.082";-41.73279;69.03076;-88.7146;0.91663;-0.55408;0.44983;8274
"2020-08-12T10:03:07.091";-39.04724;76.37024;-92.49878;0.91663;-0.55408;0.44983;8283
"2020-08-12T10:03:07.105";-38.08594;81.46667;-98.02246;0.89954;-0.50916;0.47876;8293
"2020-08-12T10:03:07.110";-39.10828;82.56531;-107.04041;0.89954;-0.50916;0.47876;8302
"2020-08-12T10:03:07.119";-42.00745;80.21545;-118.72864;0.89307;-0.48999;0.49573;8311
"2020-08-12T10:03:07.129";-46.23413;75.65308;-130.37109;0.88757;-0.47253;0.51562;8319
"2020-08-12T10:03:07.138";-50.84229;71.39587;-139.46533;0.88135;-0.45496;0.52625;8330
"2020-08-12T10:03:07.146";-55.43518;69.39697;-144.65332;0.875;-0.44055;0.53296;8339
"2020-08-12T10:03:07.155";-60.15015;69.85474;-146.10291;0.86243;-0.42236;0.53052;8347
"2020-08-12T10:03:07.163";-64.7583;71.70105;-144.25659;0.83704;-0.4043;0.52991;8356
"2020-08-12T10:03:07.174";-69.3512;73.48633;-139.72473;0.81067;-0.39099;0.52429;8367
"2020-08-12T10:03:07.183";-73.80676;73.82202;-133.95691;0.79346;-0.37939;0.52063;8375
"2020-08-12T10:03:07.193";-73.80676;73.82202;-133.95691;0.78882;-0.37708;0.52759;8384
"2020-08-12T10:03:07.200";-78.04871;72.1283;-128.75366;0.78882;-0.37708;0.52759;8393
"2020-08-12T10:03:07.211";-82.07703;68.26782;-125.19836;0.79382;-0.37732;0.54089;8404
"2020-08-12T10:03:07.220";-85.84595;62.59155;-123.56567;0.80054;-0.37415;0.55078;8412
"2020-08-12T10:03:07.228";-89.2334;56.33545;-124.05396;0.80566;-0.36438;0.55505;8421
"2020-08-12T10:03:07.238";-91.76636;50.76599;-126.0376;0.81238;-0.35266;0.5614;8429
"2020-08-12T10:03:07.247";-93.41431;47.05811;-128.95203;0.80884;-0.3396;0.56506;8440
"2020-08-12T10:03:07.258";-93.99414;43.99109;-132.53784;0.797;-0.31982;0.56177;8449
"2020-08-12T10:03:07.265";-93.53638;39.74915;-136.85608;0.79431;-0.29187;0.55994;8457
"2020-08-12T10:03:07.273";-92.02576;33.26416;-141.54053;0.80786;-0.24329;0.58154;8466
"2020-08-12T10:03:07.288";-88.51624;24.15466;-145.52307;0.83167;-0.15295;0.62476;8477
"2020-08-12T10:03:07.295";-81.14624;11.67297;-147.35413;0.8468;-0.05054;0.66321;8486
"2020-08-12T10:03:07.302";-81.14624;11.67297;-147.35413;0.8468;-0.05054;0.66321;8494
"2020-08-12T10:03:07.310";-68.67981;-4.01306;-144.54651;0.84253;0.01514;0.67542;8503
"2020-08-12T10:03:07.322";-53.68042;-20.9198;-135.51331;0.81616;0.01929;0.64172;8514
"2020-08-12T10:03:07.330";-39.48975;-36.08704;-119.90356;0.79553;-0.01331;0.58655;8522
"2020-08-12T10:03:07.339";-27.99988;-47.98889;-98.99902;0.79163;-0.04553;0.53003;8531
"2020-08-12T10:03:07.347";-19.60754;-56.32019;-75.10376;0.80603;-0.05994;0.48669;8539
"2020-08-12T10:03:07.358";-14.4043;-61.32507;-51.01013;0.83984;-0.06873;0.46289;8550
"2020-08-12T10:03:07.368";-11.99341;-62.68311;-28.91541;0.88293;-0.08191;0.44995;8559
"2020-08-12T10:03:07.375";-11.84082;-60.22644;-10.54382;0.92102;-0.10352;0.44482;8567
"2020-08-12T10:03:07.384";-11.84082;-60.22644;-10.54382;0.94543;-0.1333;0.44666;8576
"2020-08-12T10:03:07.395";-16.70837;-45.79163;8.80432;0.95801;-0.151;0.44141;8587
"2020-08-12T10:03:07.403";-16.70837;-45.79163;8.80432;0.97693;-0.15637;0.43152;8596
"2020-08-12T10:03:07.413";-20.9198;-36.19385;9.20105;0.97693;-0.15637;0.43152;8604
"2020-08-12T10:03:07.421";-26.22986;-25.22278;4.40979;1.00708;-0.15161;0.42737;8613
"2020-08-12T10:03:07.431";-32.62329;-12.48169;-3.87573;1.03931;-0.14392;0.43213;8624
"2020-08-12T10:03:07.440";-39.7644;1.00708;-14.23645;1.05627;-0.13354;0.43542;8632
"2020-08-12T10:03:07.449";-47.36328;13.07678;-25.32959;1.06628;-0.12085;0.44556;8641
"2020-08-12T10:03:07.457";-55.00793;22.75085;-35.53772;1.08496;-0.10876;0.46204;8650
"2020-08-12T10:03:07.480";-68.3136;41.09192;-49.86572;1.15588;-0.08533;0.50818;8671
"2020-08-12T10:03:07.489";-74.0509;52.45972;-54.10767;1.20203;-0.07043;0.5238;8680
"2020-08-12T10:03:07.496";-80.35278;64.89563;-59.38721;1.26379;-0.04907;0.54346;8688
"2020-08-12T10:03:07.508";-87.84485;77.02637;-68.64929;1.32983;-0.04358;0.56653;8701
"2020-08-12T10:03:07.517";-96.48132;88.22632;-83.26721;1.41309;-0.06299;0.60681;8709
"2020-08-12T10:03:07.526";-105.51453;100.73853;-103.71399;1.50879;-0.09863;0.65625;8718
"2020-08-12T10:03:07.534";-105.51453;100.73853;-103.71399;1.58789;-0.14685;0.70862;8727
"2020-08-12T10:03:07.547";-124.2981;140.24353;-151.00098;1.63782;-0.17627;0.76868;8739
