"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T10:03:00.666";-0.33569;0.4425;0.22888;0.04626;-0.03857;0.99915;1858
"2020-08-12T10:03:00.674";-0.38147;0.50354;0.21362;0.0481;-0.03882;0.99927;1867
"2020-08-12T10:03:00.685";-0.35095;0.45776;0.2594;0.04651;-0.03796;0.99915;1877
"2020-08-12T10:03:00.694";-0.39673;0.50354;0.22888;0.04529;-0.03857;1.0011;1886
"2020-08-12T10:03:00.703";-0.39673;0.50354;0.22888;0.047;-0.03943;1.0022;1894
"2020-08-12T10:03:00.711";-0.39673;0.53406;0.21362;0.047;-0.03943;1.0022;1903
"2020-08-12T10:03:00.722";-0.30518;0.5188;0.13733;0.04529;-0.03992;1.00073;1914
"2020-08-12T10:03:00.764";-0.32043;0.59509;0.30518;0.0459;-0.04089;1.00085;1941
"2020-08-12T10:03:00.765";-0.30518;0.57983;0.21362;0.04712;-0.03833;1.00098;1951
"2020-08-12T10:03:00.769";-0.32043;0.5188;0.2594;0.04651;-0.03967;1.00256;1960
"2020-08-12T10:03:00.777";-0.30518;0.48828;0.30518;0.04565;-0.03992;1.0022;1968
"2020-08-12T10:03:00.784";-0.30518;0.57983;0.22888;0.04529;-0.03845;1.00012;1977
"2020-08-12T10:03:00.797";-0.32043;0.45776;0.24414;0.04517;-0.03809;1.0033;1988
"2020-08-12T10:03:00.804";-0.35095;0.45776;0.19836;0.0459;-0.0387;1.00159;1996
"2020-08-12T10:03:00.813";-0.35095;0.45776;0.19836;0.0459;-0.0387;1.00159;2005
"2020-08-12T10:03:00.821";-0.36621;0.45776;0.22888;0.04468;-0.04041;1.00134;2014
"2020-08-12T10:03:00.843";-0.36621;0.50354;0.19836;0.04565;-0.03809;0.99939;2033
"2020-08-12T10:03:00.850";-0.39673;0.57983;0.22888;0.04565;-0.03882;1.00134;2042
"2020-08-12T10:03:00.859";-0.30518;0.56458;0.24414;0.04675;-0.03979;1.00122;2051
"2020-08-12T10:03:00.871";-0.4425;0.54932;0.24414;0.04687;-0.03979;1.00134;2062
"2020-08-12T10:03:00.878";-0.38147;0.57983;0.24414;0.047;-0.03906;1.00037;2070
"2020-08-12T10:03:00.887";-0.36621;0.4425;0.2594;0.04492;-0.04028;1.00537;2079
"2020-08-12T10:03:00.896";-0.33569;0.38147;0.2594;0.04565;-0.03979;1.00427;2088
"2020-08-12T10:03:00.908";-0.32043;0.4425;0.21362;0.04736;-0.04102;1.00195;2098
"2020-08-12T10:03:00.915";-0.35095;0.47302;0.19836;0.04431;-0.04077;0.99951;2107
"2020-08-12T10:03:00.923";-0.35095;0.47302;0.19836;0.04431;-0.04077;0.99951;2116
"2020-08-12T10:03:00.934";-0.35095;0.4425;0.21362;0.04529;-0.03992;1.00146;2124
"2020-08-12T10:03:00.944";-0.30518;0.48828;0.21362;0.0459;-0.03931;1.00049;2135
"2020-08-12T10:03:00.953";-0.35095;0.5188;0.24414;0.04761;-0.04028;1.00244;2144
"2020-08-12T10:03:00.964";-0.38147;0.53406;0.22888;0.04639;-0.04126;1.00232;2153
"2020-08-12T10:03:00.969";-0.36621;0.57983;0.24414;0.04553;-0.04004;1.00281;2161
"2020-08-12T10:03:00.980";-0.33569;0.48828;0.22888;0.04443;-0.0387;1.00098;2172
"2020-08-12T10:03:00.991";-0.38147;0.59509;0.19836;0.0459;-0.03967;1.00208;2181
"2020-08-12T10:03:00.997";-0.35095;0.54932;0.18311;0.04797;-0.04016;1.005;2189
"2020-08-12T10:03:01.007";-0.35095;0.5188;0.21362;0.04639;-0.0415;0.99963;2198
"2020-08-12T10:03:01.018";-0.35095;0.42725;0.24414;0.04736;-0.03967;1.00134;2208
"2020-08-12T10:03:01.025";-0.35095;0.42725;0.24414;0.04749;-0.03955;1.00195;2217
"2020-08-12T10:03:01.033";-0.42725;0.48828;0.22888;0.04749;-0.03955;1.00195;2226
"2020-08-12T10:03:01.042";-0.4425;0.57983;0.21362;0.04712;-0.04089;1.00208;2234
"2020-08-12T10:03:01.053";-0.30518;0.54932;0.09155;0.04529;-0.04053;1.00244;2245
"2020-08-12T10:03:01.064";-0.28992;0.5188;0.2594;0.04443;-0.03979;1.0022;2254
"2020-08-12T10:03:01.070";-0.28992;0.47302;0.2594;0.04663;-0.04138;1.00122;2262
"2020-08-12T10:03:01.080";-0.24414;0.53406;0.32043;0.04553;-0.04053;1.00061;2271
"2020-08-12T10:03:01.091";-0.4425;0.50354;0.21362;0.04626;-0.03992;1.00208;2281
"2020-08-12T10:03:01.099";-0.38147;0.41199;0.2594;0.04614;-0.04126;0.99915;2290
"2020-08-12T10:03:01.107";-0.38147;0.48828;0.19836;0.04553;-0.04004;0.99939;2298
"2020-08-12T10:03:01.116";-0.38147;0.48828;0.19836;0.04553;-0.04004;0.99939;2307
"2020-08-12T10:03:01.126";-0.38147;0.53406;0.19836;0.04651;-0.0415;1.00085;2318
"2020-08-12T10:03:01.134";-0.32043;0.50354;0.15259;0.04651;-0.0415;1.00085;2326
"2020-08-12T10:03:01.143";-0.36621;0.53406;0.19836;0.0481;-0.04211;1.00269;2335
"2020-08-12T10:03:01.152";-0.36621;0.50354;0.2594;0.04663;-0.04028;0.99988;2344
"2020-08-12T10:03:01.167";-0.39673;0.47302;0.24414;0.04614;-0.04065;0.99963;2354
"2020-08-12T10:03:01.171";-0.42725;0.4425;0.28992;0.04651;-0.04175;1.00256;2363
"2020-08-12T10:03:01.180";-0.39673;0.47302;0.27466;0.04761;-0.03943;1.00208;2372
"2020-08-12T10:03:01.190";-0.28992;0.4425;0.22888;0.04834;-0.04028;1.00159;2380
"2020-08-12T10:03:01.199";-0.27466;0.4425;0.19836;0.04749;-0.04138;1.00098;2391
"2020-08-12T10:03:01.207";-0.28992;0.4425;0.22888;0.04749;-0.03931;1.0022;2399
"2020-08-12T10:03:01.216";-0.28992;0.4425;0.22888;0.04749;-0.03931;1.0022;2408
"2020-08-12T10:03:01.224";-0.32043;0.50354;0.27466;0.04529;-0.03931;1.00305;2416
"2020-08-12T10:03:01.235";-0.35095;0.50354;0.24414;0.04663;-0.0387;1.00232;2427
"2020-08-12T10:03:01.244";-0.36621;0.54932;0.24414;0.04846;-0.03918;1;2436
"2020-08-12T10:03:01.254";-0.33569;0.47302;0.21362;0.04639;-0.03772;1.00134;2445
"2020-08-12T10:03:01.261";-0.38147;0.4425;0.21362;0.04517;-0.03918;1.00146;2453
"2020-08-12T10:03:01.272";-0.35095;0.47302;0.30518;0.04614;-0.04028;1.00122;2464
"2020-08-12T10:03:01.280";-0.32043;0.47302;0.24414;0.04675;-0.04089;1.00269;2472
"2020-08-12T10:03:01.289";-0.24414;0.4425;0.2594;0.04602;-0.04053;1.00049;2481
"2020-08-12T10:03:01.297";-0.24414;0.4425;0.2594;0.04578;-0.04053;0.99854;2489
"2020-08-12T10:03:01.308";-0.41199;0.42725;0.19836;0.04712;-0.03979;1.00415;2500
"2020-08-12T10:03:01.316";-0.41199;0.42725;0.19836;0.04712;-0.03979;1.00415;2509
"2020-08-12T10:03:01.325";-0.35095;0.50354;0.2594;0.04626;-0.03979;1.00354;2517
"2020-08-12T10:03:01.334";-0.28992;0.50354;0.28992;0.0459;-0.03955;0.99939;2526
"2020-08-12T10:03:01.345";-0.27466;0.42725;0.21362;0.04736;-0.04126;1.00354;2536
"2020-08-12T10:03:01.354";-0.38147;0.47302;0.22888;0.04773;-0.03784;1.00403;2545
"2020-08-12T10:03:01.362";-0.35095;0.53406;0.19836;0.0459;-0.0387;1.00122;2554
"2020-08-12T10:03:01.371";-0.42725;0.57983;0.18311;0.04724;-0.03943;1.00317;2563
"2020-08-12T10:03:01.383";-0.42725;0.57983;0.28992;0.04614;-0.04053;1.00525;2573
"2020-08-12T10:03:01.390";-0.35095;0.54932;0.24414;0.0459;-0.03918;1.00269;2582
"2020-08-12T10:03:01.398";-0.35095;0.54932;0.24414;0.04675;-0.04028;1.00256;2590
"2020-08-12T10:03:01.408";-0.36621;0.50354;0.19836;0.04675;-0.04028;1.00256;2599
"2020-08-12T10:03:01.418";-0.41199;0.5188;0.24414;0.04724;-0.04004;1.00146;2609
"2020-08-12T10:03:01.426";-0.32043;0.39673;0.21362;0.04639;-0.03857;0.99976;2618
"2020-08-12T10:03:01.437";-0.28992;0.4425;0.22888;0.04468;-0.03931;0.99951;2627
"2020-08-12T10:03:01.444";-0.32043;0.50354;0.24414;0.04419;-0.04089;1.00208;2635
"2020-08-12T10:03:01.454";-0.42725;0.50354;0.27466;0.04346;-0.03943;1.00171;2646
"2020-08-12T10:03:01.462";-0.27466;0.4425;0.28992;0.0459;-0.03955;1.00049;2655
"2020-08-12T10:03:01.474";-0.24414;0.42725;0.2594;0.04456;-0.03772;1.00085;2663
"2020-08-12T10:03:01.481";-0.36621;0.54932;0.30518;0.04504;-0.04297;1.0022;2672
"2020-08-12T10:03:01.490";-0.41199;0.50354;0.24414;0.0459;-0.04016;1.0011;2682
"2020-08-12T10:03:01.499";-0.41199;0.50354;0.24414;0.0459;-0.04053;1.00159;2691
"2020-08-12T10:03:01.507";-0.36621;0.48828;0.21362;0.0459;-0.04053;1.00159;2699
"2020-08-12T10:03:01.517";-0.33569;0.53406;0.19836;0.04724;-0.0387;1.00012;2708
"2020-08-12T10:03:01.527";-0.41199;0.5188;0.15259;0.047;-0.04016;1.00256;2719
