"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T11:25:07.219";-249.42017;-490.84473;-15.56396;0.12549;-0.08618;1.33057;30054
"2020-08-12T11:25:07.225";-225.69275;-476.95923;-10.43701;0.29736;-0.1239;1.46631;30063
"2020-08-12T11:25:07.234";-199.52393;-447.58606;-11.2915;0.45825;-0.11853;1.58118;30071
"2020-08-12T11:25:07.257";-151.64185;-354.69055;-25.42114;0.60645;-0.05444;1.82336;30093
"2020-08-12T11:25:07.265";-133.28552;-300.18616;-36.74316;0.65039;0.00635;1.92187;30102
"2020-08-12T11:25:07.275";-120.84961;-242.76733;-51.16272;0.65491;0.06519;1.99512;30111
"2020-08-12T11:25:07.287";-114.18152;-186.88965;-68.0542;0.59741;0.1239;2.03613;30122
"2020-08-12T11:25:07.303";-113.75427;-137.3291;-86.09009;0.5083;0.16882;2.07397;30140
"2020-08-12T11:25:07.304";-113.75427;-137.3291;-86.09009;0.5083;0.16882;2.07397;30131
"2020-08-12T11:25:07.314";-117.90466;-97.00012;-102.81372;0.38843;0.18384;2.13367;30148
"2020-08-12T11:25:07.328";-123.61145;-68.52722;-115.55481;0.23328;0.17102;2.21143;30159
"2020-08-12T11:25:07.335";-128.15857;-54.48914;-123.5199;0.05383;0.15564;2.30249;30168
"2020-08-12T11:25:07.344";-131.073;-57.06787;-128.17383;-0.14294;0.1416;2.3623;30176
"2020-08-12T11:25:07.363";-132.65991;-76.87378;-131.63757;-0.30908;0.12097;2.38013;30185
"2020-08-12T11:25:07.393";-128.95203;-152.89307;-139.55688;-0.47314;0.02551;2.37512;30204
"2020-08-12T11:25:07.400";-120.83435;-199.66125;-141.41846;-0.49817;0.01392;2.37268;30213
"2020-08-12T11:25:07.404";-103.89709;-289.35242;-135.48279;-0.41382;0.03662;2.38538;30233
"2020-08-12T11:25:07.407";-103.89709;-289.35242;-135.48279;-0.31848;0.05005;2.3313;30241
"2020-08-12T11:25:07.413";-97.16797;-323.56262;-127.50244;-0.31848;0.05005;2.3313;30250
"2020-08-12T11:25:07.425";-92.1936;-348.19031;-118.91174;-0.24011;0.04419;2.24414;30258
"2020-08-12T11:25:07.433";-88.04321;-364.99023;-111.08398;-0.15723;-0.0083;2.18164;30269
"2020-08-12T11:25:07.442";-81.13098;-373.55042;-103.75977;-0.05066;-0.08569;2.14648;30278
"2020-08-12T11:25:07.450";-69.50378;-372.14661;-96.92383;0.06738;-0.14709;2.10266;30286
"2020-08-12T11:25:07.459";-54.96216;-360.35156;-89.84375;0.17578;-0.16467;2.04297;30295
"2020-08-12T11:25:07.469";-41.22925;-339.35547;-81.63452;0.26892;-0.14258;1.96985;30306
"2020-08-12T11:25:07.478";-31.40259;-310.66895;-72.23511;0.33008;-0.10852;1.8844;30315
"2020-08-12T11:25:07.488";-26.10779;-277.49634;-62.63733;0.34082;-0.07642;1.79077;30324
"2020-08-12T11:25:07.495";-24.87183;-244.27795;-53.51257;0.30969;-0.05518;1.6925;30332
"2020-08-12T11:25:07.506";-26.53503;-214.37073;-45.30334;0.26221;-0.04871;1.59058;30343
"2020-08-12T11:25:07.515";-26.53503;-214.37073;-45.30334;0.20447;-0.04895;1.49084;30352
"2020-08-12T11:25:07.526";-29.99878;-189.55994;-37.88757;0.20447;-0.04895;1.49084;30360
"2020-08-12T11:25:07.532";-33.70667;-169.96765;-30.24292;0.16077;-0.06519;1.41223;30369
"2020-08-12T11:25:07.543";-36.59058;-153.9917;-20.96558;0.14136;-0.09082;1.34021;30380
"2020-08-12T11:25:07.552";-38.43689;-139.6637;-10.45227;0.12891;-0.08606;1.27454;30388
"2020-08-12T11:25:07.560";-41.93115;-127.86865;-0.48828;0.04663;-0.03186;1.18994;30397
"2020-08-12T11:25:07.569";-50.53711;-123.22998;7.94983;0.00244;-0.06165;1.14233;30406
"2020-08-12T11:25:07.581";-57.12891;-121.32263;16.22009;0.00867;-0.14246;1.14917;30416
"2020-08-12T11:25:07.591";-58.51746;-119.35425;25.26855;0.0011;-0.16968;1.11804;30426
"2020-08-12T11:25:07.599";-58.53271;-117.38586;34.37805;0.01038;-0.1748;1.05933;30435
"2020-08-12T11:25:07.606";-59.08203;-114.30359;43.62488;0.02539;-0.17419;1.00659;30443
"2020-08-12T11:25:07.618";-59.99756;-110.32104;53.08533;0.02576;-0.20496;0.97119;30454
"2020-08-12T11:25:07.626";-59.99756;-110.32104;53.08533;0.02014;-0.2605;0.96106;30463
"2020-08-12T11:25:07.635";-58.4259;-106.49109;62.40845;0.02014;-0.2605;0.96106;30471
"2020-08-12T11:25:07.643";-53.00903;-103.36304;70.70923;0.01685;-0.30176;0.95593;30480
"2020-08-12T11:25:07.653";-44.55566;-100.72327;77.22473;0.01221;-0.31421;0.90991;30491
"2020-08-12T11:25:07.663";-35.29358;-98.72437;81.23779;0.02112;-0.2937;0.83899;30499
"2020-08-12T11:25:07.671";-27.2522;-95.62683;82.79419;0.05408;-0.27661;0.77649;30508
"2020-08-12T11:25:07.680";-20.15686;-89.82849;82.15332;0.08618;-0.25793;0.72375;30516
"2020-08-12T11:25:07.692";-14.43481;-81.52771;79.26941;0.1156;-0.23035;0.68701;30528
"2020-08-12T11:25:07.700";-10.0708;-70.81604;74.26453;0.15881;-0.21631;0.65344;30536
"2020-08-12T11:25:07.708";-5.67627;-56.5033;67.19971;0.19324;-0.23999;0.62158;30545
"2020-08-12T11:25:07.718";-5.67627;-56.5033;67.19971;0.1875;-0.25659;0.58423;30554
"2020-08-12T11:25:07.728";9.67407;-24.10889;48.44666;0.22461;-0.22839;0.56775;30564
"2020-08-12T11:25:07.737";9.67407;-24.10889;48.44666;0.22461;-0.22839;0.56775;30573
"2020-08-12T11:25:07.745";17.22717;-6.04248;38.23853;0.23889;-0.22852;0.55347;30582
"2020-08-12T11:25:07.753";26.56555;13.8092;27.49634;0.28064;-0.25928;0.5415;30590
"2020-08-12T11:25:07.766";40.17639;36.37695;16.49475;0.29492;-0.2915;0.5553;30601
"2020-08-12T11:25:07.774";57.78503;59.64661;4.10461;0.30273;-0.32092;0.56055;30610
"2020-08-12T11:25:07.782";77.8656;83.23669;-11.52039;0.31189;-0.31604;0.52942;30618
"2020-08-12T11:25:07.791";97.94617;107.43713;-30.19714;0.31934;-0.28674;0.48376;30627
"2020-08-12T11:25:07.802";117.08069;131.66809;-49.77417;0.29517;-0.2561;0.44971;30638
"2020-08-12T11:25:07.810";134.56726;152.96936;-68.48145;0.23047;-0.21265;0.4458;30647
"2020-08-12T11:25:07.820";148.9563;168.50281;-83.45032;0.1554;-0.146;0.54163;30656
"2020-08-12T11:25:07.828";148.9563;168.50281;-83.45032;0.07788;-0.07666;0.6875;30664
"2020-08-12T11:25:07.839";159.21021;177.35291;-104.18701;0.00354;0.00305;0.78613;30675
"2020-08-12T11:25:07.847";159.21021;177.35291;-104.18701;0.00354;0.00305;0.78613;30684
"2020-08-12T11:25:07.855";150.93994;171.89026;-113.00659;-0.0127;0.12805;0.84937;30692
"2020-08-12T11:25:07.864";129.68445;164.16931;-120.80383;-0.02466;0.26355;0.91174;30701
"2020-08-12T11:25:07.875";95.8252;154.06799;-128.67737;-0.04297;0.33582;0.99609;30712
"2020-08-12T11:25:07.884";56.19812;140.21301;-135.3302;-0.07898;0.32239;1.15869;30720
"2020-08-12T11:25:07.893";19.16504;122.29919;-136.76453;-0.03857;0.25085;1.40112;30729
"2020-08-12T11:25:07.904";-10.43701;107.48291;-132.73621;0.09387;0.20117;1.6582;30738
"2020-08-12T11:25:07.913";-33.37097;103.17993;-126.06812;0.23083;0.15503;1.85901;30749
"2020-08-12T11:25:07.923";-50.29297;108.84094;-118.10303;0.25049;0.08008;2.01196;30757
"2020-08-12T11:25:07.929";-59.73816;114.42566;-107.57446;0.16052;0.00134;2.11072;30766
"2020-08-12T11:25:07.938";-59.73816;114.42566;-107.57446;0.09741;-0.04395;2.15881;30775
"2020-08-12T11:25:07.949";-62.43896;112.50305;-92.91077;0.12207;-0.05957;2.16553;30785
"2020-08-12T11:25:07.958";-61.35559;106.17065;-75.11902;0.12207;-0.05957;2.16553;30794
"2020-08-12T11:25:07.966";-57.92236;102.93579;-55.09949;0.19812;-0.07434;2.14587;30803
"2020-08-12T11:25:07.975";-52.38342;106.47583;-33.73718;0.2605;-0.10913;2.11597;30811
"2020-08-12T11:25:07.987";-42.93823;115.41748;-12.64954;0.27234;-0.16406;2.08936;30822
"2020-08-12T11:25:07.995";-28.51868;125.28992;5.66101;0.24988;-0.23596;2.0835;30831
"2020-08-12T11:25:08.003";-8.46863;134.46045;20.38574;0.24646;-0.28992;2.09436;30840
"2020-08-12T11:25:08.013";14.83154;144.33289;32.8064;0.27686;-0.29651;2.11133;30849
"2020-08-12T11:25:08.025";38.04016;157.91321;44.93713;0.34473;-0.27954;2.12976;30859
"2020-08-12T11:25:08.031";58.73108;178.2074;58.74634;0.42737;-0.20581;2.13757;30868
"2020-08-12T11:25:08.040";73.349;205.71899;75.05798;0.49109;-0.12366;2.146;30877
"2020-08-12T11:25:08.048";73.349;205.71899;75.05798;0.49109;-0.12366;2.146;30885
"2020-08-12T11:25:08.059";81.97021;238.1897;92.07153;0.4502;-0.00244;2.24597;30896
"2020-08-12T11:25:08.068";85.64758;271.28601;106.78101;0.4502;-0.00244;2.24597;30905
"2020-08-12T11:25:08.077";84.44214;297.80579;115.95154;0.33813;0.04712;2.27686;30913
"2020-08-12T11:25:08.085";79.25415;314.19373;118.71338;0.2373;0.0802;2.28564;30922
"2020-08-12T11:25:08.096";71.67053;322.15881;116.24146;0.15576;0.08826;2.31665;30933
"2020-08-12T11:25:08.135";47.82104;327.57568;95.44373;0.1394;0.16553;2.47327;30958
"2020-08-12T11:25:08.136";57.18994;325.19531;105.0415;0.14465;0.12512;2.43542;30950
"2020-08-12T11:25:08.143";25.05493;320.28198;58.65479;-0.07019;0.13184;2.48279;30978
"2020-08-12T11:25:08.149";25.05493;320.28198;58.65479;-0.13354;0.0802;2.47632;30987
"2020-08-12T11:25:08.158";18.1427;302.59705;34.9884;-0.13354;0.0802;2.47632;30995
"2020-08-12T11:25:08.170";16.1438;281.03638;11.18469;-0.10474;0.04333;2.4491;31006
"2020-08-12T11:25:08.178";18.26477;263.1073;-11.18469;-0.0321;0.03052;2.40112;31015
"2020-08-12T11:25:08.189";22.75085;252.63977;-31.00586;0.02844;0.04871;2.33838;31023
"2020-08-12T11:25:08.196";26.42822;247.49756;-48.01941;0.04138;0.08044;2.27307;31032
"2020-08-12T11:25:08.208";28.45764;244.53735;-63.33923;0.0509;0.08484;2.24536;31043
"2020-08-12T11:25:08.217";30.31921;243.49976;-78.01819;0.05127;0.07556;2.22046;31052
"2020-08-12T11:25:08.224";32.39441;243.16406;-91.4917;0.04089;0.0791;2.15918;31060
"2020-08-12T11:25:08.232";33.70667;243.25562;-102.05078;0.06531;0.10242;2.08875;31069
"2020-08-12T11:25:08.243";32.34863;246.64307;-108.26111;0.11145;0.16296;2.01294;31080
"2020-08-12T11:25:08.252";25.37537;254.13513;-110.32104;0.12952;0.23804;1.93726;31088
"2020-08-12T11:25:08.259";25.37537;254.13513;-110.32104;0.12952;0.23804;1.93726;31097
"2020-08-12T11:25:08.269";12.68005;263.19885;-108.4137;0.11499;0.27454;1.88025;31106
"2020-08-12T11:25:08.280";-2.88391;270.401;-103.42407;0.06958;0.26685;1.83032;31116
