"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-14T18:09:38.589";-2.57874;-100.11292;47.76001;0.08435;-0.10315;0.94189;6081
"2020-08-14T18:09:38.593";-1.23596;-104.18701;47.74475;0.07129;-0.07898;0.92163;6090
"2020-08-14T18:09:38.604";-1.23596;-104.18701;47.74475;0.03613;-0.05835;0.91113;6098
"2020-08-14T18:09:38.611";-1.86157;-109.86328;47.95837;0.03613;-0.05835;0.91113;6107
"2020-08-14T18:09:38.622";-3.90625;-118.17932;48.18726;0.01453;-0.04639;0.90063;6117
"2020-08-14T18:09:38.630";-6.68335;-127.94495;48.44666;0.01978;-0.04224;0.88953;6126
"2020-08-14T18:09:38.638";-9.50623;-137.17651;48.62976;0.03516;-0.04541;0.8772;6134
"2020-08-14T18:09:38.649";-12.20703;-144.97375;49.69788;0.047;-0.04358;0.8667;6143
"2020-08-14T18:09:38.670";-19.28711;-161.10229;55.02319;-0.00232;-0.00928;0.86829;6161
"2020-08-14T18:09:38.675";-25.10071;-173.06519;58.31909;-0.03369;0.01135;0.85815;6170
"2020-08-14T18:09:38.684";-25.10071;-173.06519;58.31909;-0.04492;0.01929;0.83777;6179
"2020-08-14T18:09:38.697";-40.22217;-202.80457;64.17847;-0.0531;0.01587;0.82214;6190
"2020-08-14T18:09:38.706";-40.22217;-202.80457;64.17847;-0.07068;0.00146;0.81738;6198
"2020-08-14T18:09:38.724";-47.48535;-218.85681;67.18445;-0.07068;0.00146;0.81738;6207
"2020-08-14T18:09:38.734";-59.2804;-256.68335;74.32556;-0.11987;-0.01196;0.84985;6227
"2020-08-14T18:09:38.755";-64.91089;-278.53394;77.92664;-0.12598;-0.01306;0.84912;6235
"2020-08-14T18:09:38.762";-74.3103;-323.18115;82.85522;-0.15771;-0.04565;0.83508;6252
"2020-08-14T18:09:38.771";-76.3092;-346.49658;85.44922;-0.17383;-0.07971;0.84497;6264
"2020-08-14T18:09:38.777";-75.75989;-370.10193;88.86719;-0.16479;-0.1051;0.85876;6272
"2020-08-14T18:09:38.785";-73.51685;-391.49475;92.9718;-0.11987;-0.11975;0.87939;6281
"2020-08-14T18:09:38.797";-73.51685;-391.49475;92.9718;-0.03943;-0.12622;0.90234;6289
"2020-08-14T18:09:38.835";-67.13867;-416.30554;100.64697;0.06396;-0.12671;0.94983;6302
"2020-08-14T18:09:38.836";-63.9801;-414.62708;102.64587;0.19507;-0.11926;1.03357;6311
"2020-08-14T18:09:38.863";-61.17249;-400.65002;102.31018;0.35645;-0.1106;1.14783;6328
"2020-08-14T18:09:38.876";-45.92896;-220.96252;67.06238;0.67139;-0.16711;1.16235;6367
"2020-08-14T18:09:38.877";-56.35071;-329.9408;90.9729;0.69592;-0.12622;1.21863;6350
"2020-08-14T18:09:38.888";-35.23254;-168.36548;53.07007;0.51599;-0.21765;1.0072;6380
"2020-08-14T18:09:38.897";-21.30127;-122.69592;39.04724;0.51599;-0.21765;1.0072;6389
"2020-08-14T18:09:38.915";-6.37817;-84.76257;25.72632;0.43408;-0.21362;0.93652;6397
"2020-08-14T18:09:38.938";8.05664;-54.26025;12.92419;0.35925;-0.2019;0.88928;6406
"2020-08-14T18:09:38.946";31.89087;-11.97815;-12.20703;0.23975;-0.13525;0.86365;6427
"2020-08-14T18:09:38.952";42.31262;9.76562;-34.40857;0.16174;-0.06189;0.89917;6444
"2020-08-14T18:09:38.967";43.1366;15.91492;-43.5791;0.151;-0.04004;0.9425;6457
"2020-08-14T18:09:38.973";42.48047;21.22498;-51.05591;0.16589;-0.03821;0.97644;6466
"2020-08-14T18:09:38.979";41.99219;27.86255;-56.88477;0.21204;-0.04065;1.00659;6475
"2020-08-14T18:09:38.989";41.54968;38.58948;-61.52344;0.28369;-0.04028;1.04041;6483
"2020-08-14T18:09:39.002";41.21399;55.57251;-65.03296;0.3667;-0.04785;1.08008;6496
"2020-08-14T18:09:39.011";41.42761;79.66614;-66.7572;0.44238;-0.05261;1.13965;6505
"2020-08-14T18:09:39.018";42.25159;109.75647;-66.3147;0.48999;-0.05957;1.1886;6514
"2020-08-14T18:09:39.026";43.74695;142.92908;-64.19373;0.49719;-0.06836;1.2229;6522
"2020-08-14T18:09:39.055";49.53003;208.40454;-58.12073;0.4718;-0.09656;1.33398;6549
"2020-08-14T18:09:39.066";53.86353;238.86108;-54.38232;0.4657;-0.0946;1.39978;6558
"2020-08-14T18:09:39.079";61.09619;297.72949;-44.49463;0.45923;-0.06848;1.5752;6573
"2020-08-14T18:09:39.089";63.52234;324.3866;-38.16223;0.41711;-0.06079;1.65723;6582
"2020-08-14T18:09:39.095";63.52234;324.3866;-38.16223;0.41711;-0.06079;1.65723;6591
"2020-08-14T18:09:39.105";65.29236;346.92383;-31.5094;0.38623;-0.04761;1.75085;6599
"2020-08-14T18:09:39.118";68.02368;384.68933;-18.61572;0.38757;-0.0824;2.03174;6614
"2020-08-14T18:09:39.133";73.6084;402.66418;-11.87134;0.37634;-0.14124;2.15649;6623
"2020-08-14T18:09:39.137";73.6084;402.66418;-11.87134;0.32739;-0.1842;2.27905;6632
"2020-08-14T18:09:39.155";84.10645;418.74695;-3.9978;0.32739;-0.1842;2.27905;6640
"2020-08-14T18:09:39.178";106.67419;426.86462;12.66479;0.0498;-0.06506;2.52478;6655
"2020-08-14T18:09:39.182";108.84094;411.22437;18.72253;-0.07166;0.02747;2.65515;6664
"2020-08-14T18:09:39.198";108.84094;411.22437;18.72253;-0.15625;0.07324;2.70728;6673
"2020-08-14T18:09:39.207";91.46118;313.32397;28.7323;-0.25696;0.01904;2.73401;6697
