"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T11:24:38.432";-0.4425;0.53406;0.27466;0.03064;-0.0426;1.00232;1266
"2020-08-12T11:24:38.438";-0.32043;0.5188;0.24414;0.0304;-0.04382;1.0011;1274
"2020-08-12T11:24:38.447";-0.50354;0.45776;0.27466;0.02905;-0.0437;0.99866;1283
"2020-08-12T11:24:38.457";-0.45776;0.42725;0.21362;0.0293;-0.04358;0.99866;1293
"2020-08-12T11:24:38.465";-0.38147;0.41199;0.2594;0.03137;-0.04285;1.00256;1302
"2020-08-12T11:24:38.474";-0.38147;0.41199;0.2594;0.03137;-0.04285;1.00159;1310
"2020-08-12T11:24:38.482";-0.42725;0.42725;0.21362;0.03137;-0.04285;1.00159;1319
"2020-08-12T11:24:38.496";-0.48828;0.5188;0.22888;0.03186;-0.04456;1.00024;1329
"2020-08-12T11:24:38.503";-0.41199;0.5188;0.24414;0.03149;-0.04248;0.99768;1338
"2020-08-12T11:24:38.510";-0.42725;0.4425;0.19836;0.03088;-0.0426;1.00146;1347
"2020-08-12T11:24:38.521";-0.47302;0.50354;0.24414;0.03076;-0.04285;1.00183;1355
"2020-08-12T11:24:38.530";-0.4425;0.47302;0.19836;0.02881;-0.04248;1.00195;1366
"2020-08-12T11:24:38.538";-0.41199;0.48828;0.16785;0.02832;-0.04089;0.99817;1374
"2020-08-12T11:24:38.547";-0.41199;0.53406;0.2594;0.02991;-0.04199;0.9978;1383
"2020-08-12T11:24:38.562";-0.33569;0.5188;0.19836;0.03137;-0.04297;1.00024;1392
"2020-08-12T11:24:38.566";-0.33569;0.48828;0.18311;0.0332;-0.04077;0.99988;1402
"2020-08-12T11:24:38.575";-0.33569;0.48828;0.18311;0.03174;-0.04236;1.00366;1411
"2020-08-12T11:24:38.583";-0.32043;0.50354;0.24414;0.03174;-0.04236;1.00366;1419
"2020-08-12T11:24:38.591";-0.36621;0.50354;0.18311;0.03015;-0.04309;1.00073;1428
"2020-08-12T11:24:38.602";-0.32043;0.50354;0.24414;0.03149;-0.04346;0.99792;1438
"2020-08-12T11:24:38.612";-0.36621;0.45776;0.27466;0.03149;-0.04175;0.99841;1447
"2020-08-12T11:24:38.619";-0.45776;0.53406;0.35095;0.03125;-0.04321;1.00073;1456
"2020-08-12T11:24:38.628";-0.39673;0.48828;0.21362;0.03125;-0.04297;1.00073;1464
"2020-08-12T11:24:38.639";-0.33569;0.4425;0.27466;0.03027;-0.04395;1.00073;1475
"2020-08-12T11:24:38.649";-0.42725;0.42725;0.19836;0.03149;-0.04382;1.00269;1483
"2020-08-12T11:24:38.655";-0.42725;0.42725;0.19836;0.03247;-0.04077;0.99988;1492
"2020-08-12T11:24:38.663";-0.45776;0.5188;0.28992;0.03247;-0.04077;0.99988;1500
"2020-08-12T11:24:38.675";-0.50354;0.48828;0.28992;0.03247;-0.04199;1;1511
"2020-08-12T11:24:38.682";-0.42725;0.47302;0.24414;0.03088;-0.04272;1.00024;1519
"2020-08-12T11:24:38.691";-0.42725;0.45776;0.28992;0.03137;-0.04224;0.9989;1528
"2020-08-12T11:24:38.706";-0.35095;0.42725;0.22888;0.03003;-0.04297;0.99988;1536
"2020-08-12T11:24:38.713";-0.35095;0.45776;0.24414;0.03113;-0.04468;0.99963;1547
"2020-08-12T11:24:38.720";-0.30518;0.42725;0.2594;0.03052;-0.04346;1.00061;1556
"2020-08-12T11:24:38.728";-0.36621;0.45776;0.2594;0.03186;-0.04199;1.00195;1564
"2020-08-12T11:24:38.736";-0.47302;0.45776;0.18311;0.03015;-0.0437;1.00232;1573
"2020-08-12T11:24:38.746";-0.4425;0.45776;0.18311;0.03174;-0.04321;1.00452;1583
"2020-08-12T11:24:38.755";-0.4425;0.45776;0.18311;0.03369;-0.04199;1.00317;1592
"2020-08-12T11:24:38.764";-0.36621;0.53406;0.27466;0.03369;-0.04199;1.00317;1601
"2020-08-12T11:24:38.772";-0.36621;0.50354;0.21362;0.0321;-0.0415;1.00146;1609
"2020-08-12T11:24:38.783";-0.39673;0.47302;0.28992;0.03088;-0.04187;1.0022;1620
"2020-08-12T11:24:38.791";-0.33569;0.42725;0.28992;0.0304;-0.04102;1.00024;1629
"2020-08-12T11:24:38.802";-0.38147;0.48828;0.24414;0.03113;-0.04285;0.99976;1637
"2020-08-12T11:24:38.810";-0.33569;0.47302;0.19836;0.02979;-0.04248;0.99951;1646
"2020-08-12T11:24:38.820";-0.32043;0.4425;0.2594;0.03015;-0.04407;0.99902;1657
"2020-08-12T11:24:38.829";-0.36621;0.48828;0.22888;0.03027;-0.04443;0.99976;1665
"2020-08-12T11:24:38.837";-0.50354;0.53406;0.15259;0.03259;-0.0426;1.00024;1674
"2020-08-12T11:24:38.846";-0.50354;0.53406;0.15259;0.03113;-0.04126;1.00208;1683
"2020-08-12T11:24:38.860";-0.5188;0.57983;0.16785;0.03259;-0.04224;1.00073;1693
"2020-08-12T11:24:38.867";-0.39673;0.41199;0.33569;0.03259;-0.04224;1.00073;1702
"2020-08-12T11:24:38.874";-0.42725;0.48828;0.2594;0.03113;-0.04468;0.99988;1710
"2020-08-12T11:24:38.882";-0.45776;0.45776;0.22888;0.03125;-0.04358;0.99902;1719
"2020-08-12T11:24:38.893";-0.45776;0.41199;0.2594;0.03015;-0.04407;1.00195;1729
"2020-08-12T11:24:38.902";-0.41199;0.42725;0.19836;0.03064;-0.04309;1.00391;1738
"2020-08-12T11:24:38.910";-0.32043;0.45776;0.2594;0.03174;-0.04211;1.00208;1747
"2020-08-12T11:24:38.919";-0.41199;0.48828;0.24414;0.03064;-0.04456;1.00024;1756
"2020-08-12T11:24:38.931";-0.35095;0.4425;0.2594;0.03027;-0.04431;1.00305;1766
"2020-08-12T11:24:38.938";-0.28992;0.45776;0.27466;0.03003;-0.04272;1.00122;1775
"2020-08-12T11:24:38.947";-0.28992;0.45776;0.27466;0.02942;-0.04333;1.00159;1783
"2020-08-12T11:24:38.956";-0.2594;0.45776;0.24414;0.02942;-0.04333;1.00159;1792
"2020-08-12T11:24:38.966";-0.33569;0.41199;0.2594;0.03076;-0.04431;0.99988;1802
"2020-08-12T11:24:38.976";-0.32043;0.45776;0.22888;0.03064;-0.0437;1.00232;1811
"2020-08-12T11:24:38.983";-0.32043;0.50354;0.19836;0.03101;-0.04407;1.00073;1820
"2020-08-12T11:24:38.991";-0.39673;0.4425;0.22888;0.03003;-0.04297;1.00403;1828
"2020-08-12T11:24:39.002";-0.35095;0.48828;0.21362;0.03137;-0.04236;1.00085;1839
