"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-21T22:50:32.471";1.49536;152.74048;30.27344;0.65771;-0.14075;2.30444;83018
"2020-08-21T22:50:32.479";22.12524;203.62854;19.50073;0.65161;-0.10669;2.23206;83027
"2020-08-21T22:50:32.487";22.12524;203.62854;19.50073;0.65161;-0.10669;2.23206;83035
"2020-08-21T22:50:32.500";53.00903;294.20471;-0.56458;0.49609;-0.04626;2.15076;83047
"2020-08-21T22:50:32.508";53.00903;294.20471;-0.56458;0.41528;-0.02295;2.15137;83056
"2020-08-21T22:50:32.519";64.91089;327.52991;-8.78906;0.41528;-0.02295;2.15137;83065
"2020-08-21T22:50:32.526";75.07324;352.72217;-15.35034;0.33643;0.00964;2.18652;83074
"2020-08-21T22:50:32.538";82.74841;370.23926;-20.06531;0.15845;0.10071;2.3645;83086
"2020-08-21T22:50:32.547";87.08191;379.01306;-23.23914;0.15845;0.10071;2.3645;83095
"2020-08-21T22:50:32.556";87.90588;379.45557;-25.48218;0.09619;0.14478;2.4635;83104
"2020-08-21T22:50:32.565";85.18982;373.35205;-27.61841;0.02966;0.1947;2.53503;83113
"2020-08-21T22:50:32.577";77.56042;359.74121;-29.63257;-0.06995;0.25916;2.54199;83125
"2020-08-21T22:50:32.585";64.48364;336.25793;-30.27344;-0.17236;0.30591;2.49292;83134
"2020-08-21T22:50:32.597";48.30933;303.69568;-28.71704;-0.22424;0.30884;2.43066;83142
"2020-08-21T22:50:32.605";32.95898;267.34924;-25.60425;-0.20264;0.26843;2.38293;83151
"2020-08-21T22:50:32.618";21.91162;234.40552;-22.33887;-0.14258;0.21204;2.34021;83163
"2020-08-21T22:50:32.624";15.54871;207.3822;-19.60754;-0.09985;0.19043;2.27283;83172
"2020-08-21T22:50:32.633";11.68823;185.04333;-17.73071;-0.0708;0.17883;2.18201;83181
"2020-08-21T22:50:32.641";9.2926;166.67175;-17.22717;-0.03162;0.1499;2.09009;83190
"2020-08-21T22:50:32.654";10.08606;153.36609;-17.79175;0.01782;0.11096;2.00598;83202
"2020-08-21T22:50:32.662";14.11438;146.60645;-18.50891;0.07935;0.08875;1.9115;83211
"2020-08-21T22:50:32.671";19.89746;146.9574;-19.42444;0.13635;0.08008;1.81628;83219
"2020-08-21T22:50:32.679";19.89746;146.9574;-19.42444;0.17053;0.07617;1.72693;83228
"2020-08-21T22:50:32.692";32.71484;164.19983;-22.49146;0.17822;0.08154;1.63367;83240
"2020-08-21T22:50:32.700";37.96387;176.30005;-24.81079;0.16602;0.09143;1.53699;83249
"2020-08-21T22:50:32.709";37.96387;176.30005;-24.81079;0.12854;0.099;1.43274;83257
"2020-08-21T22:50:32.718";41.94641;187.5;-27.92358;0.12854;0.099;1.43274;83266
"2020-08-21T22:50:32.741";44.95239;204.1626;-38.57422;0.02429;0.11584;1.1449;83289
"2020-08-21T22:50:32.750";44.95239;204.1626;-38.57422;-0.00916;0.09802;1.0686;83298
