"Time";"Gx";"Gy";"Gz";"Ax";"Ay";"Az";"ts"
"2020-08-13T22:10:14.088";44.05212;-112.48779;211.07483;0.29211;0.06543;1.69116;9931
"2020-08-13T22:10:14.109";152.9541;-3.12805;302.09351;0.09204;-0.00879;0.94519;10214
"2020-08-13T22:10:14.110";156.31104;-2.36511;397.46094;0.20898;-0.14148;1.07104;10168
"2020-08-13T22:10:14.111";146.80481;4.94385;440.87219;0.20642;-0.15466;1.04968;10123
"2020-08-13T22:10:14.112";91.9342;-2.63977;421.52405;0.24756;-0.15674;1.13428;10087
"2020-08-13T22:10:14.113";56.04553;-24.59717;399.01733;0.27039;-0.17212;1.16846;10067
"2020-08-13T22:10:14.114";10.04028;-47.72949;386.23047;0.23706;-0.17126;1.19922;10050
"2020-08-13T22:10:14.115";-5.34058;-56.47278;316.77246;0.17627;-0.0874;1.28101;9994
"2020-08-13T22:10:14.116";3.12805;-65.94849;287.61292;0.19543;0.03015;1.40625;9985
"2020-08-13T22:10:14.117";11.74927;-73.82202;271.07239;0.22498;0.05017;1.45081;9957
"2020-08-13T22:10:14.118";80.70374;-8.86536;421.52405;0.26306;-0.16418;1.1604;10078
"2020-08-13T22:10:14.139";5.05066;-66.11633;179.84009;0.00903;-0.16467;1.07886;10682
"2020-08-13T22:10:14.140";9.91821;-90.62195;189.62097;0.02649;-0.17737;1.11279;10708
"2020-08-13T22:10:14.141";22.995;-89.21814;187.22534;0.23035;-0.25171;1.1355;10729
"2020-08-13T22:10:14.142";59.70764;1.70898;120.31555;0.11182;-0.21863;1.18884;10797
"2020-08-13T22:10:14.143";67.10815;26.71814;79.29993;0.08704;-0.15466;1.16736;10836
"2020-08-13T22:10:14.144";4.74548;-51.69678;175.0946;-0.05115;-0.17554;1.06445;10670
"2020-08-13T22:10:14.145";4.0741;-32.74536;160.00366;-0.11011;-0.17554;1.06201;10643
"2020-08-13T22:10:14.146";22.07947;99.823;88.79089;0.08606;-0.05249;1.02246;10575
"2020-08-13T22:10:14.147";46.99707;69.36646;46.93604;0.1604;-0.09143;0.8916;10555
