"Time";"gx";"gy";"gz";"ax";"ay";"az";"ts"
"2020-08-12T11:24:42.123";-0.28992;0.4425;0.27466;0.03516;-0.04175;1.00195;4947
"2020-08-12T11:24:42.128";-0.32043;1.9989;0.97656;0.09973;-0.03979;1.00195;4964
"2020-08-12T11:24:42.140";-0.4425;5.37109;2.16675;0.09607;-0.03601;1.00659;4975
"2020-08-12T11:24:42.147";-0.67139;7.62939;1.77002;0.02002;-0.03186;1.00659;4984
"2020-08-12T11:24:42.169";-1.51062;3.72314;-3.05176;-0.06274;-0.04065;0.99756;5001
"2020-08-12T11:24:42.176";-1.77002;-0.16785;-3.09753;-0.03857;-0.04871;1.00562;5011
"2020-08-12T11:24:42.185";-1.12915;6.88171;-0.90027;-0.03723;-0.03247;0.9939;4992
"2020-08-12T11:24:42.205";-0.35095;-3.38745;0.4425;0.05554;-0.07471;0.99756;5029
"2020-08-12T11:24:42.206";-1.38855;-2.88391;-1.34277;0.00879;-0.06104;0.99609;5020
"2020-08-12T11:24:42.226";2.73132;1.26648;1.69373;0.10925;-0.06946;1.00781;5057
"2020-08-12T11:24:42.229";3.87573;5.00488;1.46484;0.10022;-0.04797;1.01477;5066
"2020-08-12T11:24:42.230";1.11389;-1.80054;1.46484;0.10925;-0.06946;1.00781;5048
"2020-08-12T11:24:42.237";3.86047;7.8125;0.64087;0.02747;-0.01563;1.00696;5074
"2020-08-12T11:24:42.250";2.86865;7.93457;-0.59509;-0.00085;-0.0033;1.01904;5085
"2020-08-12T11:24:42.260";1.0376;7.1106;-1.72424;0.01111;0.03198;1.05164;5094
"2020-08-12T11:24:42.265";-2.28882;6.91223;-2.09045;0.0343;0.06299;1.05396;5102
"2020-08-12T11:24:42.274";-7.2937;8.27026;-1.67847;0.09082;0.09583;1.06946;5111
"2020-08-12T11:24:42.285";-13.53455;13.01575;-1.31226;0.11475;0.14612;1.34143;5121
"2020-08-12T11:24:42.294";-20.12634;20.03479;-1.43433;0.06946;0.16321;1.66895;5130
"2020-08-12T11:24:42.303";-20.12634;20.03479;-1.43433;0.01257;0.1073;1.72839;5139
"2020-08-12T11:24:42.311";-25.34485;23.40698;-0.45776;0.01257;0.1073;1.72839;5148
"2020-08-12T11:24:42.323";-26.38245;21.27075;2.16675;-0.02014;0.03577;1.70679;5158
"2020-08-12T11:24:42.331";-22.61353;15.89966;5.70679;-0.00854;-0.01526;1.68823;5167
"2020-08-12T11:24:42.339";-15.38086;10.97107;9.24683;0.03394;-0.04309;1.64844;5175
"2020-08-12T11:24:42.347";-6.63757;8.8501;12.77161;0.08289;-0.06604;1.58105;5184
"2020-08-12T11:24:42.358";3.08228;10.26917;16.69312;0.12903;-0.08435;1.50928;5195
"2020-08-12T11:24:42.366";13.22937;14.83154;20.75195;0.14893;-0.08984;1.44617;5203
"2020-08-12T11:24:42.375";22.6593;20.29419;24.29199;0.1405;-0.07617;1.4071;5212
"2020-08-12T11:24:42.384";30.09033;24.4751;26.79443;0.11829;-0.04639;1.38892;5220
"2020-08-12T11:24:42.394";34.66797;26.33667;28.4729;0.09192;-0.0116;1.39795;5231
"2020-08-12T11:24:42.403";34.66797;26.33667;28.4729;0.06604;0.02539;1.41675;5240
"2020-08-12T11:24:42.413";36.2854;25.65002;30.0293;0.06604;0.02539;1.41675;5249
"2020-08-12T11:24:42.421";34.53064;22.85767;32.30286;0.04919;0.06226;1.42261;5257
"2020-08-12T11:24:42.431";29.81567;18.82935;35.53772;0.03723;0.08997;1.41711;5268
"2020-08-12T11:24:42.440";22.87292;13.94653;39.45923;0.03003;0.10754;1.40759;5277
"2020-08-12T11:24:42.448";13.93127;8.48389;43.73169;0.01733;0.12463;1.40332;5285
"2020-08-12T11:24:42.457";3.32642;1.9989;48.15674;0.01099;0.13293;1.38977;5294
"2020-08-12T11:24:42.468";-7.67517;-4.86755;52.41394;0.0144;0.12817;1.3678;5304
"2020-08-12T11:24:42.476";-18.00537;-11.45935;56.36597;0.02429;0.10706;1.34583;5313
"2020-08-12T11:24:42.485";-26.58081;-17.1051;60.56213;0.03308;0.07178;1.31775;5321
"2020-08-12T11:24:42.494";-26.58081;-17.1051;60.56213;0.03308;0.07178;1.31775;5330
"2020-08-12T11:24:42.504";-32.40967;-22.23206;65.29236;0.01892;0.00635;1.24622;5341
"2020-08-12T11:24:42.515";-35.53772;-27.37427;70.72449;0.01892;0.00635;1.24622;5350
