"Time","Gx","Gy","Gz","Ax","Ay","Az","ts"
1598551331653,-54.04663,-32.0282,4.18091,-1.04907,0.08093,0.01147,17311033,unknown
1598551331668,-54.84009,-24.32251,1.89209,-1.10449,0.08569,0.00928,17311048,unknown
1598551331683,-56.57959,-18.03589,1.25122,-1.14661,0.11511,0.01184,17311064,unknown
1598551331699,-57.67822,2.19727,3.69263,-1.16394,0.14771,0.01941,17311079,unknown
1598551331717,-50.6897,30.38025,7.26318,-1.17285,0.1969,0.03796,17311094,unknown
1598551331731,-45.3949,44.43359,8.60596,-1.16101,0.20178,0.05029,17311111,unknown
1598551331748,-34.89685,66.58936,9.78088,-1.11292,0.20581,0.07605,17311126,unknown
1598551331762,-29.83093,72.8302,9.84192,-1.08899,0.21533,0.08398,17311142,unknown
1598551331777,-17.27295,77.72827,9.79614,-1.0509,0.23682,0.09692,17311157,unknown
1598551331792,-10.42175,79.05579,9.70459,-1.00671,0.21533,0.09766,17311172,unknown
1598551331808,1.60217,79.14734,7.96509,-0.96399,0.21277,0.10352,17311188,unknown
1598551331824,13.15308,69.48853,4.01306,-0.84998,0.2002,0.10376,17311204,unknown
1598551331839,18.35632,61.09619,2.22778,-0.79248,0.18506,0.10095,17311219,unknown
1598551331855,25.19226,40.32898,-0.64087,-0.69775,0.14551,0.08472,17311234,unknown
1598551331870,26.7334,28.76282,-1.58691,-0.6731,0.12415,0.07666,17311249,unknown
1598551331885,26.26038,6.5918,-2.65503,-0.6377,0.08679,0.05688,17311265,unknown
1598551331900,24.70398,-3.44849,-3.54004,-0.58936,0.06567,0.0437,17311280,unknown
1598551331915,21.24023,-22.58301,-5.78308,-0.56531,0.06201,0.03662,17311295,unknown
1598551331930,19.83643,-31.99768,-6.97327,-0.52661,0.06018,0.02405,17311310,unknown
1598551331947,18.56995,-51.16272,-9.47571,-0.51575,0.0603,0.0199,17311325,unknown
1598551331960,19.59229,-70.48035,-11.8866,-0.50269,0.05127,0.01685,17311340,unknown
1598551331978,20.01953,-80.03235,-13.35144,-0.49487,0.04028,0.00964,17311355,unknown
1598551331990,20.27893,-99.02954,-16.63208,-0.4856,0.02441,0.00586,17311370,unknown
1598551332006,19.83643,-108.53577,-18.17322,-0.4939,0.0155,0.00415,17311386,unknown
