Time	Gx	Gy	Gz	Ax	Ay	Az	Deadlift	Squat	Rest	RowLeft	RowRight	Swing	
3	-0	1	0	0.05	-0.05	1.00	0.46	0.00	0.54	0.00	0.00	0.00
38	-1	0	0	0.05	-0.06	1.00	0.48	0.00	0.52	0.00	0.00	0.00
72	-0	0	0	0.05	-0.06	1.00	0.47	0.00	0.53	0.00	0.00	0.00
107	0	1	0	0.05	-0.05	1.00	0.47	0.00	0.53	0.00	0.00	0.00
142	-1	1	0	0.05	-0.05	0.99	0.46	0.00	0.54	0.00	0.00	0.00
175	-1	0	0	0.05	-0.06	1.00	0.47	0.00	0.53	0.00	0.00	0.00
210	-0	0	0	0.05	-0.06	1.00	0.48	0.00	0.52	0.00	0.00	0.00
245	0	0	0	0.05	-0.05	0.99	0.48	0.00	0.52	0.00	0.00	0.00
279	-0	1	0	0.05	-0.05	1.00	0.48	0.00	0.52	0.00	0.00	0.00
312	-1	1	0	0.05	-0.06	1.00	0.48	0.00	0.52	0.00	0.00	0.00
347	-0	1	0	0.05	-0.06	1.00	0.47	0.00	0.53	0.00	0.00	0.00
381	-0	1	0	0.05	-0.05	1.00	0.45	0.00	0.55	0.00	0.00	0.00
416	-0	0	0	0.05	-0.05	1.00	0.45	0.00	0.55	0.00	0.00	0.00
450	-0	0	0	0.05	-0.06	0.99	0.46	0.00	0.54	0.00	0.00	0.00
485	-0	0	0	0.05	-0.06	1.00	0.47	0.00	0.53	0.00	0.00	0.00
520	-1	1	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
553	-0	1	0	0.05	-0.06	1.00	0.45	0.00	0.55	0.00	0.00	0.00
588	-0	0	0	0.05	-0.06	1.00	0.45	0.00	0.55	0.00	0.00	0.00
623	-0	0	0	0.05	-0.05	1.00	0.46	0.00	0.54	0.00	0.00	0.00
657	-0	0	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
692	-0	0	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
726	-0	1	0	0.05	-0.06	1.00	0.43	0.00	0.57	0.00	0.00	0.00
760	-0	1	0	0.05	-0.06	1.00	0.45	0.00	0.55	0.00	0.00	0.00
795	-0	0	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
830	-0	0	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
863	-0	1	0	0.05	-0.06	1.00	0.47	0.00	0.53	0.00	0.00	0.00
898	-0	1	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
933	-0	1	0	0.05	-0.06	1.00	0.45	0.00	0.55	0.00	0.00	0.00
968	-0	0	0	0.05	-0.06	1.00	0.44	0.00	0.56	0.00	0.00	0.00
1001	-0	0	0	0.05	-0.06	0.99	0.46	0.00	0.54	0.00	0.00	0.00
1036	-0	0	0	0.05	-0.05	1.00	0.47	0.00	0.53	0.00	0.00	0.00
1071	-1	1	0	0.05	-0.06	1.00	0.49	0.00	0.51	0.00	0.00	0.00
1106	-0	1	0	0.05	-0.07	0.99	0.47	0.00	0.53	0.00	0.00	0.00
1140	1	-0	0	0.05	-0.05	0.99	0.44	0.00	0.56	0.00	0.00	0.00
1174	-1	0	0	0.06	-0.04	1.01	0.46	0.00	0.54	0.00	0.00	0.00
1208	-1	1	0	0.05	-0.07	0.99	0.49	0.00	0.51	0.00	0.00	0.00
1243	0	0	0	0.05	-0.06	0.99	0.50	0.00	0.50	0.00	0.00	0.00
1277	0	0	0	0.05	-0.05	1.01	0.46	0.00	0.54	0.00	0.00	0.00
1310	-1	1	0	0.05	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
1345	-0	0	0	0.06	-0.06	0.97	0.45	0.00	0.55	0.00	0.00	0.00
1380	-0	1	0	0.06	-0.06	1.00	0.46	0.00	0.54	0.00	0.00	0.00
1414	-1	2	0	0.05	-0.06	1.02	0.48	0.00	0.52	0.00	0.00	0.00
1448	-0	0	0	0.03	-0.06	0.98	0.45	0.00	0.55	0.00	0.00	0.00
1483	0	-0	1	0.06	-0.05	0.99	0.44	0.00	0.56	0.00	0.00	0.00
1517	-1	2	1	0.06	-0.04	1.02	0.48	0.00	0.52	0.00	0.00	0.00
1552	-2	3	-0	0.06	-0.06	0.98	0.47	0.00	0.53	0.00	0.00	0.00
1586	-1	2	0	0.03	-0.05	0.99	0.42	0.00	0.58	0.00	0.00	0.00
1621	-1	-0	-2	0.03	-0.06	1.02	0.48	0.00	0.52	0.00	0.00	0.00
1657	-0	-3	1	0.03	-0.08	1.00	0.50	0.00	0.50	0.00	0.00	0.00
1692	1	-5	-1	0.07	-0.06	0.99	0.43	0.00	0.57	0.00	0.00	0.00
1726	-1	-2	-2	0.07	-0.02	1.00	0.43	0.00	0.57	0.00	0.00	0.00
1762	-7	2	-4	0.05	-0.09	1.02	0.49	0.00	0.51	0.00	0.00	0.00
1797	-4	3	2	0.09	-0.05	1.09	0.46	0.00	0.54	0.00	0.00	0.00
1831	-20	16	6	0.25	0.18	1.14	0.75	0.00	0.25	0.00	0.00	0.00
1865	-85	66	7	0.28	0.24	0.93	0.88	0.00	0.12	0.00	0.00	0.00
1899	-121	79	-2	0.06	0.07	1.06	0.39	0.00	0.61	0.00	0.00	0.00
1933	-108	24	-32	0.03	-0.08	1.18	0.60	0.00	0.40	0.00	0.00	0.00
1968	-73	-4	-60	0.09	-0.16	1.19	0.87	0.00	0.13	0.00	0.00	0.00
2003	-33	-16	-73	0.12	-0.12	1.09	0.85	0.00	0.15	0.00	0.00	0.00
2040	-9	-21	-66	0.06	-0.08	0.95	0.71	0.00	0.29	0.00	0.00	0.00
2074	-0	-37	-50	0.07	-0.09	0.88	0.92	0.00	0.08	0.00	0.00	0.00
2110	7	-32	-39	0.14	-0.09	0.86	0.99	0.00	0.01	0.00	0.00	0.00
2145	17	-12	-38	0.11	-0.15	0.85	0.99	0.00	0.01	0.00	0.00	0.00
2181	39	1	-43	0.10	-0.13	0.86	0.99	0.00	0.01	0.00	0.00	0.00
2214	47	10	-45	0.08	-0.12	0.87	0.99	0.00	0.01	0.00	0.00	0.00
2248	50	6	-49	0.06	-0.11	0.89	1.00	0.00	0.00	0.00	0.00	0.00
2284	52	5	-52	0.07	-0.13	0.93	1.00	0.00	0.00	0.00	0.00	0.00
2317	52	-5	-55	0.06	-0.11	0.97	1.00	0.00	0.00	0.00	0.00	0.00
2352	50	-4	-58	0.11	-0.14	0.99	0.99	0.00	0.01	0.00	0.00	0.00
2388	46	2	-50	0.09	-0.12	1.02	1.00	0.00	0.00	0.00	0.00	0.00
2421	39	4	-38	0.09	-0.15	1.04	1.00	0.00	0.00	0.00	0.00	0.00
2456	32	6	-20	0.09	-0.12	1.08	1.00	0.00	0.00	0.00	0.00	0.00
2491	23	1	-3	0.04	-0.18	1.08	1.00	0.00	0.00	0.00	0.00	0.00
2524	20	-8	-2	0.07	-0.16	1.08	1.00	0.00	0.00	0.00	0.00	0.00
2559	20	-9	-1	0.09	-0.22	1.10	1.00	0.00	0.00	0.00	0.00	0.00
2593	23	-8	-0	0.05	-0.17	1.07	1.00	0.00	0.00	0.00	0.00	0.00
2627	20	-22	2	0.00	-0.16	1.05	1.00	0.00	0.00	0.00	0.00	0.00
2661	14	-39	13	0.07	-0.16	1.01	1.00	0.00	0.00	0.00	0.00	0.00
2695	14	-33	14	0.11	-0.18	0.98	1.00	0.00	0.00	0.00	0.00	0.00
2728	14	-21	13	0.09	-0.14	0.95	1.00	0.00	0.00	0.00	0.00	0.00
2761	3	-17	12	0.06	-0.12	0.94	0.99	0.01	0.00	0.00	0.00	0.00
2796	-6	-15	10	0.07	-0.11	0.93	0.98	0.02	0.00	0.00	0.00	0.00
2829	-15	-13	-0	0.06	-0.13	0.93	0.97	0.03	0.00	0.00	0.00	0.00
2865	-17	-10	-17	0.07	-0.13	0.94	0.95	0.05	0.00	0.00	0.00	0.00
2899	-18	-12	-20	0.04	-0.12	0.97	0.97	0.03	0.00	0.00	0.00	0.00
2933	-16	-11	-13	0.10	-0.12	0.99	0.94	0.06	0.00	0.00	0.00	0.00
2968	-13	-5	-4	0.07	-0.12	1.02	0.83	0.17	0.00	0.00	0.00	0.00
3003	-6	-7	15	0.08	-0.11	1.03	0.95	0.05	0.00	0.00	0.00	0.00
3037	-5	-3	20	0.10	-0.09	1.04	0.95	0.05	0.00	0.00	0.00	0.00
3071	-2	5	17	0.11	-0.11	1.03	0.97	0.03	0.00	0.00	0.00	0.00
3104	4	12	10	0.09	-0.09	1.01	0.96	0.04	0.00	0.00	0.00	0.00
3137	6	14	6	0.12	-0.07	1.00	0.91	0.09	0.00	0.00	0.00	0.00
3170	4	23	5	0.15	-0.07	1.00	0.73	0.27	0.00	0.00	0.00	0.00
3204	3	40	10	0.18	-0.06	1.01	0.92	0.08	0.00	0.00	0.00	0.00
3237	-3	55	14	0.19	-0.04	1.03	0.97	0.03	0.00	0.00	0.00	0.00
3272	-9	70	11	0.16	-0.07	1.03	0.81	0.19	0.00	0.00	0.00	0.00
3306	-10	62	0	0.10	-0.05	1.05	0.60	0.40	0.00	0.00	0.00	0.00
3341	-16	50	-5	0.12	-0.06	1.08	0.81	0.19	0.00	0.00	0.00	0.00
3376	-15	36	-11	0.12	-0.09	1.05	0.73	0.27	0.00	0.00	0.00	0.00
3412	-13	24	-13	0.12	-0.07	1.04	0.54	0.46	0.00	0.00	0.00	0.00
3446	-13	12	-4	0.11	-0.08	1.01	0.67	0.33	0.00	0.00	0.00	0.00
3481	-10	2	8	0.12	-0.07	0.99	0.56	0.44	0.00	0.00	0.00	0.00
3516	-8	-3	25	0.13	-0.08	0.98	0.22	0.78	0.00	0.00	0.00	0.00
3550	-2	-6	36	0.13	-0.09	0.97	0.25	0.75	0.00	0.00	0.00	0.00
3585	4	-5	46	0.12	-0.07	0.97	0.31	0.69	0.00	0.00	0.00	0.00
3620	6	-9	54	0.10	-0.07	0.96	0.10	0.89	0.00	0.00	0.00	0.00
3655	7	-13	54	0.10	-0.06	0.93	0.06	0.94	0.00	0.00	0.00	0.00
3690	2	-22	54	0.08	-0.05	0.92	0.07	0.93	0.00	0.00	0.00	0.00
3723	-2	-28	54	0.10	-0.06	0.92	0.15	0.85	0.00	0.00	0.00	0.00
3759	-6	-26	54	0.12	-0.06	0.93	0.19	0.81	0.00	0.00	0.00	0.00
3793	-6	-21	54	0.12	-0.08	0.92	0.11	0.89	0.00	0.00	0.00	0.00
3830	-5	-13	54	0.14	-0.07	0.94	0.06	0.94	0.00	0.01	0.00	0.00
3865	-5	-6	57	0.13	-0.08	0.97	0.04	0.96	0.00	0.01	0.00	0.00
3900	-2	-8	62	0.07	-0.10	1.03	0.09	0.91	0.00	0.00	0.00	0.00
3934	0	-20	61	0.03	-0.12	1.10	0.13	0.87	0.00	0.00	0.00	0.00
3967	6	-42	53	0.04	-0.16	1.16	0.04	0.96	0.00	0.00	0.00	0.00
4001	21	-44	30	0.11	-0.18	1.19	0.02	0.98	0.00	0.00	0.00	0.00
4035	27	-35	13	0.11	-0.19	1.21	0.02	0.98	0.00	0.00	0.00	0.00
4069	24	-22	7	0.08	-0.12	1.20	0.05	0.95	0.00	0.00	0.00	0.00
4105	2	-6	1	0.09	-0.16	1.17	0.04	0.96	0.00	0.00	0.00	0.00
4138	-11	7	-4	0.02	-0.16	1.11	0.02	0.97	0.00	0.01	0.00	0.00
4173	-21	11	-10	0.04	-0.20	1.00	0.01	0.81	0.00	0.18	0.00	0.00
4208	-22	33	-15	0.14	-0.18	0.90	0.00	0.58	0.00	0.41	0.00	0.00
4242	-25	87	-13	0.13	-0.18	0.77	0.01	0.80	0.00	0.19	0.00	0.00
4277	-19	118	-4	0.12	-0.18	0.67	0.02	0.91	0.00	0.07	0.00	0.00
4312	-19	152	6	0.13	-0.10	0.61	0.03	0.92	0.00	0.05	0.00	0.00
4346	-25	177	8	0.11	-0.12	0.58	0.02	0.86	0.00	0.13	0.00	0.00
4381	-26	187	1	0.07	-0.10	0.53	0.01	0.75	0.00	0.24	0.00	0.00
4415	-29	192	-19	0.09	-0.07	0.52	0.00	0.67	0.00	0.32	0.00	0.00
4450	-36	196	-36	0.09	-0.07	0.51	0.00	0.63	0.00	0.37	0.00	0.00
4485	-44	184	-50	0.05	-0.03	0.59	0.00	0.60	0.00	0.40	0.00	0.00
4520	-51	159	-49	0.00	-0.08	0.70	0.00	0.37	0.00	0.63	0.00	0.00
4555	-29	94	-35	-0.11	-0.14	0.85	0.00	0.31	0.00	0.69	0.00	0.00
4590	-6	13	-20	-0.19	-0.15	0.95	0.00	0.83	0.00	0.16	0.00	0.00
4626	39	-107	8	-0.12	-0.16	1.03	0.02	0.96	0.00	0.02	0.00	0.00
4660	57	-170	20	0.01	-0.13	1.24	0.01	0.96	0.00	0.03	0.00	0.00
4695	72	-190	28	0.17	-0.13	1.46	0.00	0.91	0.00	0.08	0.00	0.00
4730	78	-191	32	0.14	-0.12	1.56	0.00	0.89	0.00	0.11	0.00	0.00
4763	75	-192	35	0.18	-0.07	1.61	0.01	0.91	0.00	0.09	0.00	0.00
4798	47	-198	48	0.08	-0.00	1.73	0.01	0.89	0.00	0.11	0.00	0.00
4833	27	-224	58	0.07	-0.07	1.81	0.00	0.65	0.00	0.35	0.00	0.00
4867	17	-247	71	0.14	-0.07	1.88	0.00	0.52	0.00	0.47	0.00	0.00
4901	10	-245	74	0.20	-0.10	1.87	0.00	0.63	0.00	0.36	0.00	0.00
4935	10	-224	73	0.25	-0.09	1.78	0.01	0.76	0.00	0.24	0.00	0.00
4970	6	-190	68	0.20	-0.07	1.68	0.00	0.76	0.00	0.23	0.00	0.00
5004	3	-187	65	0.14	-0.06	1.57	0.00	0.55	0.00	0.45	0.00	0.00
5039	3	-197	61	0.10	-0.07	1.35	0.00	0.49	0.00	0.51	0.00	0.00
5073	-5	-214	59	0.07	-0.00	1.18	0.00	0.55	0.00	0.45	0.00	0.00
5108	-24	-217	46	0.19	-0.01	0.97	0.00	0.79	0.00	0.21	0.00	0.00
5144	-35	-182	37	0.28	-0.01	0.88	0.00	0.88	0.00	0.11	0.00	0.00
5177	-40	-126	27	0.30	-0.06	0.76	0.00	0.95	0.00	0.04	0.00	0.00
5212	-34	-44	18	0.31	-0.08	0.71	0.00	0.95	0.00	0.05	0.00	0.00
5248	-20	21	13	0.33	-0.12	0.66	0.00	0.95	0.00	0.05	0.00	0.00
5283	4	106	10	0.32	-0.12	0.70	0.00	0.98	0.00	0.02	0.00	0.00
5316	21	161	7	0.29	-0.12	0.78	0.00	0.99	0.00	0.00	0.00	0.00
5350	30	215	1	0.33	-0.05	1.07	0.00	1.00	0.00	0.00	0.00	0.00
5384	21	261	-6	0.31	-0.06	1.35	0.00	1.00	0.00	0.00	0.00	0.00
5419	13	271	-22	0.11	-0.05	1.58	0.05	0.95	0.00	0.00	0.00	0.00
5453	-1	226	-59	0.12	-0.09	1.91	0.23	0.77	0.00	0.00	0.00	0.00
5488	-2	216	-97	0.24	-0.14	2.02	0.08	0.92	0.00	0.00	0.00	0.00
5523	-3	238	-149	0.27	-0.12	2.05	0.01	0.99	0.00	0.00	0.00	0.00
5558	-12	258	-176	0.26	-0.10	2.06	0.00	1.00	0.00	0.00	0.00	0.00
5593	-41	279	-204	0.19	-0.10	2.02	0.00	1.00	0.00	0.00	0.00	0.00
5627	-62	269	-225	0.10	-0.10	1.97	0.00	1.00	0.00	0.00	0.00	0.00
5662	-90	219	-256	0.03	-0.12	1.90	0.00	1.00	0.00	0.00	0.00	0.00
5696	-104	183	-281	0.07	-0.15	1.78	0.00	0.97	0.00	0.03	0.00	0.00
5732	-115	148	-299	0.03	-0.21	1.70	0.00	0.95	0.00	0.05	0.00	0.00
5766	-127	106	-322	0.14	-0.20	1.60	0.00	0.93	0.00	0.07	0.00	0.00
5801	-148	102	-340	0.16	-0.18	1.46	0.00	0.84	0.00	0.16	0.00	0.00
5838	-187	92	-359	0.17	-0.26	1.13	0.00	0.71	0.00	0.29	0.00	0.00
5873	-188	83	-362	0.22	-0.39	0.86	0.00	0.36	0.00	0.64	0.00	0.00
5908	-157	87	-336	0.24	-0.39	0.75	0.00	0.18	0.00	0.82	0.00	0.00
5942	-130	92	-295	0.22	-0.35	0.64	0.00	0.51	0.00	0.49	0.00	0.00
5977	-116	112	-241	0.32	-0.24	0.45	0.00	0.93	0.00	0.07	0.00	0.00
6012	-130	142	-232	0.16	-0.17	0.42	0.00	0.98	0.00	0.02	0.00	0.00
6048	-155	127	-262	0.03	-0.22	0.36	0.00	1.00	0.00	0.00	0.00	0.00
6081	-149	111	-284	0.19	-0.22	0.27	0.00	1.00	0.00	0.00	0.00	0.00
6116	-129	134	-264	0.18	-0.20	0.17	0.00	0.98	0.00	0.02	0.00	0.00
6152	-117	147	-223	0.19	-0.13	0.16	0.00	0.98	0.00	0.02	0.00	0.00
6187	-114	165	-156	0.30	-0.04	0.13	0.00	0.98	0.00	0.02	0.00	0.00
6222	-120	213	-126	0.32	-0.04	0.15	0.00	0.97	0.00	0.03	0.00	0.00
6256	-130	210	-180	0.23	0.03	0.22	0.00	0.98	0.00	0.02	0.00	0.00
6291	-146	38	-365	0.59	0.11	0.38	0.00	0.99	0.00	0.01	0.00	0.00
6326	-153	99	-288	0.67	0.17	0.45	0.00	0.97	0.00	0.03	0.00	0.00
6361	-159	178	-220	0.55	0.11	0.61	0.00	0.88	0.00	0.12	0.00	0.00
6394	-128	79	-289	0.96	0.80	1.07	0.00	0.01	0.00	0.99	0.00	0.00
