Time	Gx	Gy	Gz	Ax	Ay	Az	Clean	Deadlift	Squat	Rest	RowLeft	RowRight	Swing			
3	-1	0	0	0.05	-0.04	1.00	0.05	0.14	0.06	0.75	0.00	0.00	0.00
3071	-9	2	69	0.19	-0.68	1.08	0.28	0.01	0.21	0.00	0.38	0.12	0.00
3110	75	22	44	0.08	-0.49	1.06	0.29	0.02	0.35	0.00	0.26	0.08	0.00
3148	129	22	17	0.07	-0.33	1.04	0.24	0.01	0.31	0.00	0.33	0.10	0.00
3188	103	22	22	0.08	-0.07	0.91	0.18	0.00	0.17	0.00	0.49	0.15	0.00
3228	40	19	34	0.09	-0.04	0.90	0.15	0.00	0.16	0.00	0.50	0.18	0.00
3268	-25	15	39	0.05	-0.09	0.82	0.09	0.00	0.09	0.00	0.57	0.25	0.00
3309	-56	18	42	0.13	-0.17	0.76	0.05	0.00	0.05	0.00	0.61	0.30	0.00
3349	-62	41	34	0.10	-0.29	0.75	0.04	0.00	0.04	0.00	0.59	0.33	0.00
3389	-39	47	18	0.14	-0.35	0.77	0.03	0.00	0.05	0.00	0.58	0.34	0.00
3430	-5	61	-0	0.10	-0.41	0.80	0.03	0.00	0.03	0.00	0.60	0.34	0.00
3470	26	64	-21	0.11	-0.43	0.87	0.01	0.00	0.01	0.00	0.59	0.40	0.00
3511	63	72	-32	0.12	-0.52	0.91	0.00	0.00	0.00	0.00	0.50	0.49	0.00
3551	81	70	-31	0.06	-0.41	1.00	0.00	0.00	0.00	0.00	0.46	0.54	0.00
3591	79	52	-26	0.00	-0.43	1.06	0.00	0.00	0.00	0.00	0.44	0.56	0.00
3632	62	15	-26	-0.06	-0.40	1.10	0.00	0.00	0.00	0.00	0.42	0.58	0.00
3672	56	-15	-16	0.01	-0.44	1.16	0.00	0.00	0.00	0.00	0.46	0.53	0.00
3713	33	-47	-12	-0.01	-0.39	1.14	0.00	0.00	0.00	0.00	0.52	0.48	0.00
3754	34	-54	0	-0.01	-0.50	1.01	0.00	0.00	0.00	0.00	0.57	0.43	0.00
3793	39	-62	-0	0.05	-0.31	1.03	0.00	0.00	0.00	0.00	0.61	0.38	0.00
3833	2	-61	-22	0.03	-0.34	0.97	0.00	0.00	0.00	0.00	0.60	0.40	0.00
3873	9	-47	-34	0.01	-0.36	0.90	0.00	0.00	0.00	0.00	0.58	0.41	0.00
3914	40	-42	-19	0.04	-0.40	0.73	0.00	0.00	0.00	0.00	0.57	0.42	0.00
3953	85	-46	56	0.07	-0.13	0.63	0.00	0.00	0.00	0.00	0.61	0.38	0.00
3992	96	-66	111	0.14	0.08	0.60	0.00	0.00	0.00	0.00	0.67	0.33	0.00
4031	67	-25	29	0.25	0.08	0.65	0.00	0.00	0.00	0.00	0.68	0.32	0.00
4069	106	33	-64	0.11	-0.06	0.86	0.00	0.00	0.00	0.00	0.72	0.27	0.00
4111	104	13	-106	0.07	0.11	1.01	0.00	0.00	0.00	0.00	0.73	0.27	0.00
4149	81	-5	-95	0.04	0.26	1.09	0.00	0.00	0.00	0.00	0.72	0.27	0.00
4188	39	-25	-59	0.14	0.21	1.15	0.01	0.00	0.01	0.00	0.67	0.31	0.00
4228	-3	-22	-27	0.18	0.20	1.18	0.00	0.00	0.01	0.00	0.70	0.29	0.00
4267	-16	-4	-6	0.19	0.09	1.23	0.00	0.00	0.00	0.00	0.77	0.23	0.00
4307	-0	0	10	0.16	0.05	1.26	0.00	0.00	0.00	0.00	0.80	0.19	0.00
4345	27	5	20	0.15	0.05	1.27	0.00	0.00	0.00	0.00	0.80	0.20	0.00
