Time	Gx	Gy	Gz	Ax	Ay	Az
5815	14.25	17.56	-58.87	-0.01	0.08	1.04
5833	8.73	4.88	-48.66	-0.06	0.10	1.03
5852	5.69	-3.86	-41.34	-0.06	0.12	1.04
5870	-1.57	-21.74	-25.34	-0.03	0.12	1.03
5889	-9.11	-33.89	-11.60	0.01	0.11	1.03
5908	-16.39	-40.08	-0.50	0.06	0.11	1.04
5926	-21.47	-39.18	8.48	0.11	0.07	1.08
5945	-22.69	-33.05	16.16	0.12	0.06	1.17
5963	-22.77	-29.77	18.52	0.12	0.06	1.22
5981	-20.34	-23.01	21.62	0.13	0.02	1.30
5999	-13.23	-15.41	22.43	0.14	-0.01	1.38
6017	-4.09	-7.45	19.06	0.14	-0.01	1.45
6037	3.23	-0.15	12.12	0.14	0.01	1.45
6054	5.87	3.13	7.86	0.13	0.02	1.44
6072	9.26	6.00	-0.20	0.07	0.04	1.42
6090	7.92	0.27	-7.80	-0.01	0.07	1.43
6108	5.45	-12.24	-14.18	-0.04	0.04	1.41
6127	4.76	-19.55	-15.67	-0.05	0.07	1.40
6146	0.87	-34.27	-15.03	-0.04	0.11	1.43
6164	-7.93	-44.92	-15.59	-0.02	0.07	1.45
6183	-10.86	-53.25	-15.12	-0.02	0.02	1.44
6202	-9.83	-59.62	-10.01	-0.02	0.01	1.41
6220	-9.26	-63.87	-0.46	-0.01	0.00	1.39
6239	-9.80	-63.17	10.44	0.03	0.01	1.35
6257	-10.53	-60.46	15.27	0.06	0.00	1.31
6276	-9.98	-49.32	21.55	0.11	-0.04	1.19
6294	-6.47	-33.00	23.41	0.14	-0.07	1.05
6312	-2.43	-13.76	22.67	0.12	-0.05	0.91
6330	-1.16	-4.82	21.59	0.09	-0.04	0.80
6351	0.08	18.08	15.00	0.08	-0.04	0.70
6368	0.17	25.59	11.95	0.08	-0.04	0.66
6386	0.61	39.73	4.91	0.06	-0.05	0.59
6404	1.08	51.71	-2.53	0.06	-0.04	0.53
6422	0.99	57.50	-6.24	0.02	-0.05	0.47
6441	1.11	65.89	-11.86	0.00	-0.06	0.44
6459	1.08	69.76	-15.91	-0.02	-0.06	0.37
6479	0.96	69.17	-22.69	-0.04	-0.07	0.33
6497	1.27	68.79	-34.73	-0.01	-0.06	0.30
6516	-0.27	69.58	-51.06	-0.05	-0.05	0.24
6535	-4.44	63.17	-68.13	-0.18	-0.03	0.23
6554	-9.96	35.10	-81.80	-0.43	-0.02	0.28
6574	-12.27	10.79	-84.90	-0.37	-0.07	0.42
6593	-11.70	-33.86	-81.42	-0.19	-0.09	0.53
6612	-7.49	-40.44	-68.37	0.23	-0.02	0.82
6631	-11.23	-5.34	-50.78	0.45	0.05	0.98
6650	-18.20	46.48	-32.12	0.46	0.04	1.08
6669	-23.86	91.48	-14.94	0.29	0.04	1.11
6687	-26.89	113.30	-1.45	0.05	-0.01	1.08
6706	-25.80	113.30	4.46	-0.19	-0.07	1.03
6724	-19.45	93.09	13.69	-0.26	-0.09	1.01
6742	-10.73	57.25	18.31	-0.29	-0.10	0.98
6762	-1.69	24.49	19.41	-0.18	-0.09	0.95
6781	4.35	6.41	18.78	-0.05	-0.06	0.92
6800	6.97	2.93	16.27	0.05	-0.04	0.91
6817	7.34	5.54	14.76	0.07	-0.03	0.90
6834	6.41	13.99	12.18	0.06	-0.02	0.89
6853	5.08	18.86	11.17	-0.01	-0.02	0.87
6871	2.72	15.84	10.39	-0.08	-0.01	0.86
6890	-0.50	6.47	9.05	-0.12	-0.01	0.86
6908	-2.38	0.20	8.27	-0.13	-0.02	0.87
6928	-5.68	-12.57	6.61	-0.13	-0.02	0.88
6947	-8.06	-23.25	5.55	-0.09	-0.04	0.90
6966	-7.68	-28.05	6.00	-0.05	-0.06	0.92
6985	-6.47	-28.15	7.69	-0.03	-0.05	0.93
7004	-5.71	-26.70	9.35	-0.03	-0.05	0.91
7024	-4.30	-24.84	9.38	-0.02	-0.05	0.89
7042	-3.14	-21.27	7.78	-0.02	-0.04	0.86
7062	-2.84	-17.58	4.82	-0.01	-0.04	0.83
7081	-2.78	-15.01	3.31	0.01	-0.05	0.82
7099	-1.36	-7.10	1.17	0.04	-0.06	0.80
7119	0.93	2.26	0.37	0.04	-0.06	0.78
7136	2.84	11.03	0.08	0.05	-0.05	0.76
7154	4.10	19.58	0.29	0.06	-0.05	0.74
7172	4.70	23.77	0.73	0.05	-0.05	0.73
7190	5.48	28.98	1.85	-0.00	-0.04	0.71
7208	5.48	26.89	2.93	-0.05	-0.04	0.70
7226	5.54	17.97	3.62	-0.11	-0.04	0.68
7245	5.58	10.83	3.78	-0.17	-0.04	0.63
7263	5.49	-8.83	3.42	-0.19	-0.03	0.60
7282	4.82	-33.42	2.33	-0.22	-0.03	0.52
7301	4.36	-59.51	1.56	-0.20	-0.04	0.46
7319	4.85	-82.58	1.53	-0.16	-0.05	0.45
7338	6.29	-98.91	1.97	-0.07	-0.04	0.49
7357	6.90	-103.12	1.98	0.06	-0.03	0.57
7375	7.95	-101.06	1.42	0.12	-0.03	0.62
7394	9.69	-84.55	-1.46	0.25	-0.03	0.72
7412	11.90	-56.70	-6.27	0.29	-0.04	0.80
7432	15.14	-26.49	-12.68	0.30	-0.04	0.84
7450	17.01	1.94	-19.20	0.28	-0.01	0.90
7470	16.53	14.80	-22.25	0.23	0.03	1.01
7487	13.44	35.95	-26.99	0.19	0.03	1.08
7505	9.38	46.68	-28.84	0.06	0.05	1.24
7523	5.34	40.70	-27.08	-0.07	0.06	1.34
7541	0.84	21.04	-20.74	-0.16	0.06	1.36
7560	-1.21	8.01	-16.74	-0.17	0.03	1.36
7578	-3.39	-19.10	-8.15	-0.15	0.02	1.34
7597	-2.23	-41.73	1.95	-0.11	-0.01	1.32
7617	-0.15	-57.91	12.80	-0.04	-0.02	1.27
7635	1.71	-64.50	23.50	0.04	-0.02	1.25
7654	3.22	-61.57	31.57	0.11	-0.02	1.22
7673	5.80	-50.69	35.00	0.17	-0.03	1.23
7690	7.68	-43.01	35.25	0.18	-0.04	1.24
7709	11.76	-27.34	34.55	0.16	-0.03	1.26
7727	14.02	-14.36	33.08	0.13	-0.01	1.24
7746	15.18	-4.27	29.97	0.13	-0.02	1.23
7764	14.71	5.22	25.21	0.11	0.01	1.24
7781	13.21	8.90	22.37	0.10	0.02	1.25
7800	7.58	12.65	16.43	0.05	0.04	1.25
7817	2.11	10.64	10.07	0.02	0.03	1.28
7834	-0.11	8.62	6.85	0.01	0.02	1.29
7852	-3.48	3.52	1.11	0.01	0.03	1.28
7869	-7.03	-1.72	-3.66	0.01	0.03	1.26
7889	-10.22	-6.76	-8.09	0.01	0.02	1.29
7908	-10.86	-11.28	-11.66	0.03	0.00	1.33
7927	-9.22	-13.31	-13.55	0.05	-0.01	1.36
7946	-7.39	-13.20	-13.75	0.07	-0.03	1.39
7964	-2.40	-11.76	-12.28	0.08	-0.02	1.40
7985	0.73	-7.39	-9.38	0.10	0.01	1.41
8003	2.09	-0.67	-6.61	0.11	-0.01	1.41
8022	4.65	6.81	-4.81	0.11	0.00	1.43
8039	5.69	15.05	-2.96	0.12	0.04	1.44
8057	4.96	19.30	-1.45	0.11	0.05	1.43
8074	1.46	25.73	2.61	0.08	0.07	1.42
8091	-2.40	27.74	6.58	0.04	0.05	1.41
8110	-3.81	24.67	10.30	0.01	0.03	1.42
8127	-4.06	22.13	12.02	0.01	0.03	1.43
8144	-4.90	17.67	14.85	0.01	0.05	1.41
8162	-7.13	14.65	16.34	0.02	0.05	1.38
8179	-8.30	13.81	16.65	0.05	0.04	1.36
8197	-10.24	14.30	16.24	0.06	0.02	1.34
8215	-9.16	19.10	15.11	0.09	-0.01	1.32
8233	-6.61	27.27	13.09	0.11	-0.01	1.28
8250	-5.63	32.24	11.58	0.11	-0.02	1.22
8268	-4.17	42.88	7.77	0.11	-0.02	1.17
8286	-2.87	51.70	3.07	0.08	-0.03	1.05
8304	-1.83	58.07	-2.46	0.07	-0.03	0.93
8323	-1.39	63.11	-7.77	0.05	-0.04	0.80
8341	-1.22	64.48	-10.09	0.04	-0.04	0.73
8359	-1.04	66.15	-14.18	0.02	-0.05	0.60
8377	-1.02	67.95	-17.49	0.04	-0.05	0.49
8396	-1.59	71.73	-19.44	0.04	-0.04	0.39
8415	-2.01	75.21	-20.60	0.03	-0.05	0.32
8433	-1.80	77.00	-20.97	0.03	-0.06	0.29
8451	-0.93	80.44	-21.15	0.03	-0.06	0.25
8469	-0.08	83.89	-20.89	0.02	-0.04	0.26
8488	0.06	86.03	-20.19	-0.03	-0.04	0.27
8506	-0.41	77.73	-18.78	-0.21	-0.03	0.30
8525	-1.01	64.74	-17.06	-0.54	-0.05	0.37
8544	-0.12	10.93	-10.85	-0.66	-0.07	0.42
8563	3.65	-64.22	-2.53	-0.59	-0.06	0.53
8581	6.15	-120.62	7.39	-0.29	-0.03	0.69
8600	6.53	-136.37	17.78	0.15	0.02	0.90
8618	0.40	-100.28	25.28	0.51	0.06	1.08
8635	-3.71	-67.90	26.25	0.54	0.06	1.14
8653	-9.34	-4.01	24.52	0.40	0.01	1.18
8673	-8.77	33.55	20.71	0.09	-0.05	1.13
8691	-3.22	34.04	15.21	-0.20	-0.09	1.03
8710	2.79	4.99	8.26	-0.35	-0.06	0.92
8728	5.07	-14.86	4.70	-0.31	-0.06	0.84
8746	8.68	-50.64	-0.99	-0.22	-0.06	0.82
8765	11.03	-66.19	-3.17	-0.02	-0.04	0.82
8784	9.87	-57.97	-2.27	0.13	-0.00	0.81
8803	4.76	-36.13	0.85	0.18	0.01	0.84
8822	-1.43	-11.08	4.00	0.14	0.02	0.87
8839	-4.67	-1.02	5.17	0.09	0.02	0.89
8858	-10.09	9.37	6.48	-0.01	-0.01	0.90
8876	-11.98	9.92	5.87	-0.04	-0.04	0.93
8896	-10.48	7.19	3.71	-0.07	-0.06	0.95
8915	-7.16	1.02	0.99	-0.08	-0.06	0.97
8933	-3.60	-4.79	-1.60	-0.05	-0.05	0.98
8954	-1.75	-7.39	-3.85	-0.03	-0.04	0.98
8973	-1.36	-8.22	-4.88	-0.03	-0.03	0.98
8993	-1.50	-8.70	-4.82	-0.03	-0.01	0.98
9013	-3.60	-9.34	-3.77	-0.02	-0.01	0.98
9033	-6.12	-9.69	-2.08	-0.03	-0.02	0.98
9052	-7.52	-10.64	-0.05	-0.04	-0.02	0.98
9071	-9.16	-13.20	1.79	-0.05	-0.01	0.95
9091	-10.60	-16.25	3.75	-0.03	-0.02	0.92
9110	-10.27	-15.91	5.58	0.01	-0.04	0.89
9129	-8.26	-9.35	7.55	0.07	-0.05	0.85
9148	-5.97	3.10	9.41	0.11	-0.05	0.81
9165	-5.00	10.70	9.66	0.11	-0.05	0.77
9184	-3.14	26.03	9.51	0.11	-0.05	0.74
9202	-1.74	38.09	8.51	0.08	-0.05	0.69
9221	-0.50	46.26	6.55	0.05	-0.05	0.66
9239	1.10	50.16	3.92	0.01	-0.05	0.64
9258	2.24	50.22	2.64	-0.03	-0.05	0.62
9276	4.17	46.26	0.09	-0.05	-0.05	0.62
9293	5.05	37.08	-3.14	-0.11	-0.04	0.61
9313	5.42	20.97	-7.51	-0.16	-0.04	0.59
9331	5.65	-1.10	-12.60	-0.20	-0.04	0.55
9350	6.67	-26.67	-17.03	-0.20	-0.05	0.51
9370	8.48	-51.74	-20.32	-0.18	-0.05	0.49
9389	9.55	-63.23	-21.64	-0.13	-0.05	0.50
9408	11.63	-81.25	-24.31	-0.08	-0.05	0.53
9428	13.63	-88.33	-26.00	0.04	-0.05	0.62
9446	13.76	-82.15	-25.76	0.14	-0.02	0.75
9465	10.68	-65.67	-24.48	0.22	0.01	0.86
9483	5.58	-40.82	-22.81	0.27	0.02	0.91
9501	2.87	-27.07	-22.19	0.27	0.03	0.97
9521	-1.94	-0.73	-21.36	0.23	0.02	1.05
9539	-5.14	21.99	-19.58	0.19	0.02	1.09
9557	-5.34	34.84	-15.64	0.10	-0.01	1.19
9576	-1.57	35.26	-10.12	-0.01	-0.03	1.31
9595	3.97	22.61	-3.83	-0.11	-0.03	1.40
9614	8.42	-0.08	2.78	-0.16	-0.02	1.40
9633	9.90	-12.74	6.36	-0.13	0.01	1.33
9650	10.35	-35.95	13.37	-0.10	0.02	1.28
9669	9.48	-52.06	18.66	-0.03	0.01	1.20
9687	9.60	-58.72	22.14	0.05	-0.01	1.18
9706	9.89	-56.69	23.48	0.12	-0.00	1.21
9724	9.66	-52.76	23.27	0.16	0.01	1.27
9742	8.50	-40.89	21.12	0.17	0.02	1.31
9760	7.10	-28.72	16.71	0.14	-0.00	1.34
9778	6.59	-20.02	11.31	0.12	0.00	1.35
9796	6.24	-16.77	8.45	0.11	-0.00	1.38
9814	5.43	-11.34	2.40	0.10	-0.01	1.39
9833	4.97	-9.25	-4.18	0.05	0.00	1.41
9851	4.33	-13.53	-10.74	-0.00	-0.00	1.40
9870	3.77	-22.55	-14.45	-0.00	0.02	1.42
9888	-0.06	-30.06	-17.04	0.02	0.05	1.43
9908	-2.06	-32.61	-18.05	0.04	0.01	1.41
9927	-3.42	-35.71	-18.14	0.05	0.01	1.40
9946	-4.59	-36.73	-17.01	0.07	0.02	1.43
9965	-6.73	-34.68	-16.33	0.10	0.00	1.43
9983	-6.27	-30.03	-14.72	0.11	-0.01	1.44
10003	-5.28	-23.36	-11.08	0.13	-0.00	1.43
