Time	Gx	Gy	Gz	Ax	Ay	Az
2	-0.17	-0.23	-0.38	0.11	0.00	0.97
22	-0.17	-0.34	-0.38	0.11	0.00	0.96
40	-0.15	-0.26	-0.37	0.11	0.01	0.96
60	-0.08	-0.31	-0.31	0.11	0.01	0.96
78	-0.09	-0.23	-0.37	0.11	0.01	0.97
98	-0.12	-0.31	-0.26	0.11	0.01	0.96
117	-0.20	-0.26	-0.38	0.11	0.01	0.97
135	-0.17	-0.32	-0.35	0.11	0.01	0.96
155	-0.08	-0.18	-0.27	0.11	0.01	0.97
173	-0.08	-0.27	-0.41	0.11	0.01	0.96
193	0.00	-0.29	-0.34	0.11	0.01	0.96
211	-0.03	-0.24	-0.31	0.11	0.01	0.97
231	-0.12	-0.27	-0.31	0.11	0.01	0.97
249	-0.03	-0.26	-0.41	0.11	0.01	0.97
268	-0.14	-0.23	-0.37	0.11	0.01	0.97
287	-0.24	-0.23	-0.38	0.11	0.01	0.97
306	-0.09	-0.23	-0.31	0.11	0.01	0.97
326	-0.02	-0.29	-0.31	0.11	0.01	0.97
344	-0.14	-0.20	-0.38	0.11	0.01	0.97
363	-0.15	-0.24	-0.31	0.11	0.01	0.96
382	-0.08	-0.26	-0.41	0.11	0.01	0.96
400	-0.08	-0.27	-0.38	0.11	0.01	0.97
421	-0.08	-0.24	-0.37	0.11	0.01	0.96
439	-0.14	-0.26	-0.37	0.11	0.01	0.97
458	-0.17	-0.18	-0.31	0.11	0.01	0.96
478	-0.08	-0.32	-0.32	0.11	0.01	0.97
496	0.00	-0.24	-0.35	0.11	0.01	0.96
516	-0.11	-0.17	-0.27	0.11	0.01	0.96
535	-0.09	-0.21	-0.43	0.11	0.01	0.97
553	-0.12	-0.17	-0.35	0.11	0.01	0.96
572	-0.03	-0.27	-0.37	0.11	0.01	0.96
591	-0.08	-0.26	-0.34	0.11	0.01	0.97
611	-0.14	-0.23	-0.35	0.11	0.01	0.97
630	-0.09	-0.21	-0.29	0.11	0.01	0.97
649	-0.15	-0.27	-0.32	0.11	0.01	0.96
668	-0.05	-0.21	-0.32	0.11	0.01	0.96
686	-0.09	-0.14	-0.40	0.11	0.01	0.97
705	-0.05	-0.18	-0.35	0.11	0.01	0.96
723	-0.11	-0.31	-0.23	0.11	0.01	0.96
742	-0.09	-0.27	-0.37	0.11	0.01	0.96
761	0.09	-0.31	-0.35	0.11	0.01	0.96
779	-0.17	-0.29	-0.34	0.11	0.01	0.97
797	0.03	-0.34	-0.34	0.11	0.01	0.96
817	-0.12	-0.27	-0.34	0.11	0.01	0.96
835	-0.11	-0.29	-0.38	0.11	0.01	0.97
854	-0.12	-0.27	-0.40	0.11	0.00	0.96
872	-0.05	-0.27	-0.37	0.11	0.01	0.96
890	-0.12	-0.20	-0.35	0.11	0.01	0.97
909	-0.06	-0.21	-0.44	0.11	0.01	0.96
927	-0.05	-0.18	-0.44	0.11	0.01	0.96
946	-0.26	-0.27	-0.35	0.11	0.01	0.97
965	-0.09	-0.24	-0.35	0.11	0.01	0.96
984	-0.02	-0.24	-0.31	0.11	0.01	0.97
1002	-0.09	-0.27	-0.35	0.11	0.01	0.97
1021	-0.14	-0.27	-0.31	0.11	0.01	0.97
1040	-0.15	-0.21	-0.37	0.11	0.01	0.96
1058	-0.15	-0.18	-0.34	0.11	0.01	0.96
1077	-0.06	-0.23	-0.27	0.11	0.01	0.96
1095	-0.05	-0.20	-0.32	0.11	0.01	0.97
1114	-0.06	-0.34	-0.38	0.11	0.01	0.96
1132	-0.15	-0.27	-0.40	0.11	0.01	0.96
1150	-0.15	-0.23	-0.34	0.11	0.01	0.96
1170	-0.03	-0.26	-0.40	0.11	0.01	0.96
1188	-0.17	-0.20	-0.38	0.11	0.01	0.97
1207	-0.12	-0.21	-0.32	0.11	0.01	0.96
1226	-0.09	-0.20	-0.34	0.11	0.00	0.96
1245	-0.11	-0.24	-0.38	0.11	0.01	0.96
1263	-0.06	-0.18	-0.40	0.11	0.01	0.96
1281	-0.03	-0.29	-0.34	0.11	0.01	0.96
1300	-0.12	-0.26	-0.38	0.11	0.01	0.96
1318	-0.11	-0.24	-0.32	0.11	0.01	0.96
1337	-0.11	-0.31	-0.35	0.11	0.01	0.96
1357	-0.14	-0.26	-0.35	0.11	0.01	0.97
1376	0.02	-0.15	-0.40	0.11	0.01	0.96
1395	-0.05	-0.17	-0.37	0.11	0.01	0.96
1414	-0.05	-0.23	-0.32	0.11	0.01	0.96
1433	-0.09	-0.21	-0.35	0.11	0.01	0.97
1452	-0.05	-0.32	-0.34	0.11	0.01	0.96
1471	-0.11	-0.26	-0.37	0.11	0.01	0.96
1490	-0.03	-0.27	-0.40	0.11	0.01	0.97
1509	-0.08	-0.23	-0.35	0.11	0.01	0.97
1527	-0.12	-0.26	-0.40	0.11	0.00	0.97
1547	-0.20	-0.20	-0.37	0.11	0.01	0.96
1566	-0.14	-0.34	-0.37	0.11	0.01	0.97
