Time	Gx	Gy	Gz	Ax	Ay	Az
27631	-18.07	-21.82	6.15	0.13	0.08	0.96
27651	-20.25	-14.80	1.77	0.15	0.07	0.95
27669	-21.22	-6.24	-2.40	0.14	0.05	0.93
27689	-19.70	1.10	-6.50	0.13	0.03	0.91
27707	-16.20	6.61	-11.29	0.11	0.02	0.90
27725	-14.25	8.51	-13.53	0.08	0.03	0.91
27745	-10.74	9.14	-16.78	0.06	0.03	0.91
27763	-8.00	5.25	-18.10	0.02	0.04	0.92
27782	-6.96	-1.72	-17.94	0.01	0.07	0.94
27801	-7.97	-8.68	-17.91	0.02	0.07	0.95
27819	-9.46	-15.50	-17.43	0.01	0.08	0.96
27839	-11.86	-23.93	-15.87	0.01	0.09	0.97
27858	-14.25	-30.12	-14.28	0.06	0.08	1.00
27877	-14.80	-30.88	-13.61	0.08	0.07	1.02
27896	-14.11	-29.53	-12.18	0.10	0.06	1.06
27915	-11.87	-26.12	-10.16	0.13	0.05	1.07
27934	-7.63	-19.09	-8.70	0.17	0.03	1.09
27953	-1.59	-8.64	-7.95	0.19	0.03	1.14
27973	3.86	1.24	-6.35	0.18	0.06	1.20
27991	7.03	10.36	-4.14	0.18	0.07	1.21
28008	7.87	15.05	-3.23	0.19	0.08	1.22
28027	7.89	24.95	-1.65	0.19	0.13	1.26
28044	1.92	31.97	1.27	0.13	0.17	1.30
28063	-5.36	31.34	4.35	0.09	0.16	1.32
28080	-8.29	29.30	5.63	0.10	0.17	1.36
28098	-15.05	25.27	8.64	0.08	0.18	1.39
28116	-21.97	18.89	13.46	0.07	0.16	1.45
28134	-26.50	10.56	19.55	0.08	0.13	1.48
28153	-27.68	7.64	22.57	0.14	0.13	1.46
28171	-30.96	6.70	27.53	0.16	0.12	1.45
28189	-33.37	10.93	30.08	0.18	0.09	1.41
28207	-32.52	17.43	30.79	0.17	0.04	1.39
28225	-28.55	22.45	28.66	0.15	0.01	1.36
28243	-26.06	24.17	26.11	0.15	-0.00	1.34
28262	-19.87	27.79	16.89	0.15	-0.02	1.30
28280	-15.09	31.01	4.12	0.11	-0.01	1.25
28299	-12.13	29.45	-9.63	0.05	-0.01	1.20
28318	-11.58	22.64	-23.86	0.02	0.00	1.16
28337	-12.83	13.85	-38.64	-0.01	0.00	1.13
28355	-13.67	8.09	-45.82	-0.04	-0.02	1.09
28375	-14.82	-5.62	-58.62	-0.06	-0.03	1.07
28395	-12.44	-21.82	-69.89	-0.04	-0.07	0.99
28415	-8.39	-34.71	-79.12	-0.02	-0.07	0.96
28435	-4.44	-41.46	-84.96	-0.00	-0.09	0.90
28455	0.95	-47.01	-87.07	-0.00	-0.12	0.84
28476	8.36	-49.62	-85.07	0.03	-0.14	0.76
28494	16.19	-47.10	-79.41	0.05	-0.15	0.69
28512	25.15	-42.54	-70.88	0.06	-0.18	0.63
28532	36.53	-36.94	-59.84	0.06	-0.20	0.57
28550	47.03	-29.57	-45.49	0.08	-0.18	0.50
28570	54.84	-19.12	-29.79	0.11	-0.19	0.43
28589	58.78	-13.28	-22.09	0.09	-0.18	0.37
28607	66.51	-3.78	-6.03	0.08	-0.16	0.35
28627	68.48	3.40	10.35	0.05	-0.11	0.29
28644	65.70	7.22	24.43	0.01	-0.08	0.22
28662	58.18	6.47	36.62	-0.02	-0.05	0.20
28681	47.88	0.60	49.33	-0.06	-0.01	0.22
28699	41.37	-3.57	55.24	-0.07	-0.00	0.22
28718	27.22	-14.18	63.39	-0.08	-0.01	0.21
28737	15.63	-22.80	65.25	-0.05	-0.05	0.22
28756	8.22	-28.50	64.19	-0.05	-0.07	0.27
28776	3.62	-35.86	60.73	-0.05	-0.08	0.30
28794	0.90	-40.30	52.35	0.00	-0.08	0.33
28812	-0.46	-40.51	47.18	0.06	-0.06	0.37
28831	-4.35	-36.33	38.68	0.07	-0.07	0.40
28850	-6.07	-30.64	32.78	0.08	-0.06	0.44
28869	-10.12	-21.00	25.86	0.16	0.00	0.49
28888	-18.89	-5.65	19.18	0.17	-0.03	0.54
28906	-19.55	9.08	16.10	0.15	-0.09	0.63
28926	-18.86	21.01	14.24	0.17	-0.01	0.68
28944	-21.30	27.86	13.20	0.16	0.02	0.70
28962	-26.92	36.99	11.29	0.10	-0.03	0.78
28981	-24.12	39.83	9.25	0.10	-0.08	0.85
28999	-18.11	43.43	8.99	0.09	-0.02	0.96
29018	-19.58	41.18	7.54	0.02	0.04	1.01
29035	-21.01	36.53	5.48	-0.01	0.01	1.07
29054	-17.49	24.55	3.40	0.02	-0.02	1.18
29073	-12.63	14.39	4.76	0.03	0.03	1.19
29092	-11.28	5.69	1.14	0.09	0.03	1.26
29110	-9.69	2.50	-7.14	0.08	0.10	1.35
29128	-11.55	-0.52	-8.82	0.08	0.10	1.31
29147	-14.43	-6.70	-9.54	0.13	0.08	1.35
29166	-13.78	-2.91	-13.41	0.22	0.07	1.35
29186	-10.71	5.57	-19.20	0.19	0.07	1.28
29204	-13.31	13.58	-20.13	0.22	0.18	1.42
29223	-18.91	21.09	-17.00	0.19	0.07	1.42
29241	-9.87	25.44	-17.58	0.21	-0.03	1.37
29260	-3.08	29.08	-18.89	0.26	0.10	1.62
29279	1.50	37.86	-17.81	0.20	0.11	1.70
29297	6.85	33.98	-12.74	0.06	0.06	1.64
29316	11.67	19.65	-5.91	0.07	0.14	1.60
29333	6.52	11.93	-0.52	0.16	0.22	1.59
29351	0.53	12.07	1.11	0.19	0.26	1.55
29369	-14.02	15.47	3.22	0.18	0.26	1.55
29387	-28.34	16.77	5.07	0.16	0.23	1.56
29405	-36.22	16.71	4.55	0.17	0.14	1.55
29423	-34.48	17.55	-0.23	0.16	0.05	1.55
29442	-29.97	17.56	-3.27	0.14	0.00	1.55
29461	-16.71	13.90	-7.49	0.13	0.00	1.55
29479	-6.64	11.75	-9.14	0.17	0.03	1.52
29498	-1.71	16.19	-10.83	0.21	0.06	1.47
29516	-2.01	21.76	-11.75	0.14	0.08	1.43
29535	-6.76	19.85	-11.51	0.08	0.09	1.38
29554	-9.74	17.29	-11.81	0.08	0.08	1.35
29572	-15.55	13.73	-13.52	0.10	0.07	1.28
29590	-20.07	12.18	-16.28	0.09	0.03	1.22
29609	-22.26	10.22	-19.71	0.08	-0.01	1.18
29628	-21.45	9.37	-24.19	0.11	-0.06	1.13
29647	-16.27	11.31	-29.92	0.08	-0.11	1.07
29666	-12.31	11.43	-32.85	0.04	-0.14	1.01
29685	-2.90	8.54	-36.82	0.03	-0.14	0.98
29705	6.93	3.39	-38.85	0.02	-0.16	0.92
29723	17.58	-0.53	-39.69	0.03	-0.17	0.85
29742	26.78	-2.20	-37.46	0.03	-0.16	0.78
29761	34.10	-3.97	-32.47	0.02	-0.17	0.72
29780	40.97	-5.72	-25.59	0.03	-0.17	0.64
29799	48.26	-4.75	-16.89	0.04	-0.18	0.56
29817	51.59	-3.81	-11.31	0.04	-0.17	0.52
29837	55.63	-3.37	1.77	0.02	-0.14	0.47
29855	56.99	-3.74	14.72	0.02	-0.15	0.38
29874	58.94	-3.19	26.47	0.01	-0.18	0.30
29892	62.23	-5.29	37.96	-0.02	-0.15	0.25
29911	60.01	-10.53	50.13	-0.02	-0.10	0.20
29931	51.94	-14.34	61.75	-0.03	-0.07	0.15
29949	46.78	-16.92	66.13	-0.04	-0.07	0.13
29969	35.81	-22.22	71.27	-0.04	-0.04	0.13
29988	20.86	-27.08	73.53	-0.03	-0.01	0.15
30008	6.77	-29.43	71.99	-0.03	-0.03	0.17
30026	-3.81	-32.87	65.78	-0.04	-0.04	0.21
30045	-13.63	-37.43	55.66	-0.04	-0.04	0.27
30065	-21.90	-40.65	45.27	0.01	-0.04	0.31
30084	-26.47	-38.70	36.56	0.01	-0.09	0.36
30104	-27.53	-38.62	25.21	0.02	-0.06	0.43
30122	-28.99	-38.25	18.97	0.04	-0.04	0.46
30140	-31.80	-35.72	7.52	0.07	-0.09	0.51
30160	-27.76	-29.56	0.64	0.11	-0.11	0.58
30178	-24.98	-20.42	-4.20	0.14	-0.02	0.65
30198	-28.98	-9.74	-9.37	0.14	-0.01	0.72
30218	-27.45	1.19	-10.04	0.17	-0.09	0.81
30237	-18.33	10.94	-6.39	0.17	-0.08	0.96
30256	-14.71	15.49	-5.62	0.15	0.02	1.06
30274	-14.25	22.93	-7.86	0.11	0.01	1.07
30293	-11.89	21.12	-7.87	0.07	-0.00	1.12
30312	-7.26	18.92	-3.01	0.11	-0.02	1.25
30331	0.27	18.19	-1.85	0.10	0.03	1.30
30349	1.19	11.66	-4.78	0.05	0.06	1.33
30367	0.67	7.14	-6.10	0.08	0.16	1.37
30385	-7.10	1.08	-4.96	0.10	0.15	1.37
30403	-11.25	-1.72	-3.07	0.13	0.06	1.32
30423	-11.57	2.29	-5.54	0.23	0.16	1.36
