Time	Gx	Gy	Gz	Ax	Ay	Az
24745	0.14	-1.91	-0.37	0.13	0.02	0.96
24764	-0.49	-0.66	-0.05	0.14	0.02	0.96
24784	-0.82	1.02	0.24	0.14	0.01	0.96
24801	-0.50	2.37	0.14	0.13	-0.00	0.96
24819	-0.05	3.11	-0.02	0.12	0.00	0.96
24838	0.21	3.07	-0.18	0.10	0.00	0.96
24856	1.56	1.08	0.11	0.09	0.00	0.97
24873	4.47	-14.47	0.08	0.10	0.00	0.97
24892	4.70	-13.05	2.04	0.11	0.01	0.97
24909	3.97	-13.75	0.61	0.12	0.02	0.97
24928	3.72	-18.91	-1.34	0.14	0.02	0.97
24946	3.88	-25.12	-4.10	0.16	0.02	0.96
24964	-9.19	47.78	2.46	0.06	0.01	0.98
24982	-1.63	3.27	1.31	0.08	0.01	0.97
25000	-1.56	2.08	1.17	0.08	0.01	0.97
25017	-0.72	-3.45	0.60	0.10	0.00	0.97
25035	-0.06	-5.43	0.58	0.11	0.00	0.97
25053	0.89	-7.98	0.76	0.11	0.01	0.97
25071	0.99	-8.44	1.25	0.11	0.01	0.97
25089	1.27	-10.93	2.17	0.10	0.01	0.97
25106	1.04	-14.22	2.23	0.08	0.02	0.97
25125	0.58	-18.86	1.59	0.07	0.01	0.98
25142	0.66	-21.44	1.57	0.07	0.00	0.99
25160	2.09	-27.45	2.66	0.05	-0.02	0.99
25178	4.49	-34.99	4.41	0.04	0.00	1.01
25196	5.08	-45.99	6.82	-0.02	0.06	1.05
25214	3.74	-54.02	8.82	-0.07	0.08	1.06
25232	0.64	-80.98	11.78	-0.11	0.13	1.07
25250	-6.38	-109.30	14.30	-0.05	0.17	1.08
25268	-14.08	-120.47	15.96	0.12	0.12	1.17
25286	-15.79	-115.43	15.81	0.30	0.09	1.25
25304	-15.40	-90.12	13.47	0.37	0.08	1.28
25323	-12.50	-51.74	8.93	0.50	0.08	1.27
25341	-9.86	-0.47	4.78	0.53	0.08	1.24
25359	-7.35	53.10	3.94	0.47	0.07	1.21
25377	-5.89	76.55	4.49	0.42	0.07	1.18
25395	-4.14	112.21	7.83	0.30	0.10	1.14
25413	-3.19	122.50	13.49	0.14	0.09	1.13
25430	-1.04	118.24	21.26	-0.01	0.07	1.12
25448	0.38	110.26	25.68	-0.05	0.07	1.13
25466	3.98	87.40	35.54	-0.09	0.07	1.16
25485	7.29	63.40	44.66	-0.06	0.06	1.15
25504	12.48	44.60	52.05	-0.01	0.01	1.11
25521	21.03	33.25	57.94	0.05	-0.00	1.07
25540	24.67	30.67	60.87	0.11	0.04	1.05
25557	28.27	30.81	66.50	0.14	0.04	1.04
25574	30.18	37.40	71.53	0.18	0.03	1.01
25592	32.56	48.00	76.14	0.21	0.03	1.00
25610	33.45	54.02	78.41	0.21	0.03	1.00
25628	35.80	65.98	82.57	0.20	0.00	1.00
25645	42.05	75.30	86.43	0.16	-0.02	0.97
25663	47.96	80.00	90.91	0.13	0.02	0.96
25681	49.27	81.01	93.22	0.11	0.03	0.96
25699	51.90	80.00	97.52	0.07	0.01	0.94
25717	54.47	74.43	101.27	0.05	0.04	0.90
25734	51.30	67.49	105.16	0.03	0.09	0.92
25751	48.20	63.20	107.12	0.01	0.09	0.92
25770	42.21	52.03	110.96	-0.01	0.07	0.91
25787	36.85	40.54	113.91	0.01	0.09	0.88
25806	27.57	32.76	115.78	0.04	0.11	0.88
25823	22.58	30.21	115.95	0.03	0.09	0.87
25840	15.52	23.99	115.54	0.02	0.05	0.85
25858	10.21	18.63	114.30	0.04	0.06	0.82
25875	7.22	17.61	113.14	0.07	0.05	0.81
25893	1.98	17.97	109.68	0.07	0.03	0.80
25911	1.02	17.35	104.37	0.04	-0.00	0.78
25929	2.40	15.32	97.99	0.05	0.00	0.76
25947	3.45	14.30	90.77	0.05	0.00	0.75
25964	3.91	13.84	87.19	0.04	0.00	0.75
25982	5.31	11.57	79.99	0.00	-0.00	0.75
26000	6.97	4.18	72.31	-0.02	0.00	0.76
26018	7.86	-0.90	68.18	-0.01	0.00	0.74
26038	9.06	-10.31	59.80	0.02	0.01	0.72
26055	8.56	-12.60	51.16	0.03	0.02	0.73
26073	6.09	-10.99	41.82	0.03	0.04	0.78
26091	4.32	-14.83	31.54	0.02	0.05	0.81
26110	-0.05	-17.41	21.65	0.05	0.09	0.85
26129	-3.43	-17.88	17.11	0.05	0.11	0.88
26147	-10.54	-22.64	8.15	0.03	0.11	0.92
26165	-16.63	-28.84	0.31	0.02	0.09	0.95
26184	-20.13	-35.81	-6.20	0.03	0.08	0.99
26203	-21.33	-42.16	-10.97	0.06	0.06	0.99
26223	-21.79	-43.29	-13.67	0.09	0.07	1.00
26242	-22.25	-42.69	-14.14	0.10	0.06	1.01
26260	-21.90	-40.42	-13.66	0.10	0.05	1.01
26279	-20.36	-38.89	-10.77	0.10	0.06	1.00
26298	-21.76	-36.04	-5.43	0.11	0.10	1.00
26317	-26.23	-33.83	1.11	0.11	0.12	1.03
26336	-32.14	-31.60	8.29	0.10	0.13	1.04
26354	-38.65	-31.20	15.29	0.09	0.15	1.07
26373	-42.48	-31.74	18.69	0.10	0.13	1.10
26391	-48.58	-32.36	24.31	0.10	0.11	1.10
26410	-50.13	-32.30	29.59	0.09	0.07	1.06
26429	-48.98	-32.44	34.61	0.11	0.07	1.02
26448	-49.06	-29.50	38.68	0.13	0.07	0.99
26467	-48.52	-23.96	40.88	0.14	0.06	0.96
26485	-47.59	-20.95	41.32	0.13	0.04	0.95
26504	-44.33	-15.43	41.34	0.13	0.03	0.88
26523	-42.25	-8.47	40.44	0.15	0.06	0.83
26541	-45.55	0.95	38.57	0.14	0.11	0.81
26559	-52.34	7.32	36.87	0.08	0.10	0.79
26577	-54.55	7.75	36.03	0.04	0.06	0.80
26594	-55.83	4.33	34.19	0.03	0.04	0.81
26613	-51.56	-0.56	31.07	0.06	0.01	0.81
26632	-43.62	-2.84	26.21	0.06	-0.03	0.81
26651	-31.51	-5.84	20.57	0.04	-0.05	0.80
26670	-17.90	-10.51	14.97	0.05	-0.05	0.80
26688	-11.78	-12.53	12.05	0.08	-0.02	0.80
26708	-1.65	-13.28	6.06	0.10	-0.01	0.80
26727	4.09	-9.55	0.44	0.12	0.02	0.78
26746	6.23	-4.96	-4.35	0.12	0.05	0.77
26764	5.51	-0.09	-8.65	0.13	0.07	0.79
26782	2.37	4.93	-11.81	0.12	0.09	0.83
26800	0.55	6.74	-12.85	0.10	0.07	0.86
26818	-1.37	8.00	-14.63	0.10	0.06	0.87
26837	-0.75	8.32	-16.59	0.10	0.03	0.89
26855	3.23	8.47	-18.43	0.09	-0.01	0.91
26873	10.21	6.82	-19.96	0.08	-0.02	0.89
26893	17.15	7.05	-21.12	0.12	-0.01	0.88
26911	19.81	8.97	-21.58	0.13	-0.00	0.89
26930	24.78	11.89	-21.33	0.10	0.01	0.90
26948	28.38	11.89	-19.58	0.08	0.02	0.88
26965	30.14	12.36	-17.21	0.10	0.02	0.88
26984	32.88	13.11	-15.17	0.07	-0.00	0.89
27002	35.19	12.16	-14.28	0.06	-0.00	0.89
27021	38.60	8.90	-12.39	0.08	0.03	0.92
27039	38.94	7.86	-9.67	0.11	0.05	0.97
27058	36.77	9.49	-5.75	0.13	0.06	1.00
27076	34.61	12.86	-1.66	0.15	0.05	1.02
27093	33.34	15.55	-0.03	0.17	0.06	1.03
27112	29.46	23.91	2.88	0.18	0.06	1.05
27129	27.19	31.45	4.18	0.15	0.03	1.03
27148	28.27	35.51	4.50	0.11	0.01	1.01
27165	29.68	35.93	4.79	0.09	0.00	1.02
27182	32.29	32.70	6.36	0.06	0.02	1.06
