Time	Gx	Gy	Gz	Ax	Ay	Az
17925	8.06	-4.84	-1.22	-0.01	-0.10	1.03
17944	12.73	-10.38	-1.16	-0.05	-0.11	1.25
17965	32.04	-29.07	-3.63	0.05	-0.01	1.53
17983	47.76	-42.95	-6.56	0.10	0.05	1.60
18002	53.70	-48.11	-10.74	0.17	0.13	1.64
18021	51.68	-41.67	-16.74	0.31	0.17	1.64
18039	45.68	-20.49	-25.21	0.40	0.21	1.68
18058	36.06	5.91	-33.29	0.38	0.23	1.69
18076	30.33	17.72	-36.50	0.33	0.25	1.65
18094	17.47	37.70	-40.37	0.31	0.26	1.62
18112	2.91	53.09	-41.18	0.25	0.26	1.59
18130	-11.23	58.84	-40.51	0.13	0.27	1.59
18149	-24.37	50.48	-37.99	0.02	0.22	1.56
18167	-28.24	42.16	-36.36	-0.02	0.11	1.51
18186	-27.28	21.77	-33.02	-0.02	0.08	1.47
18205	-19.65	4.65	-28.55	0.05	0.05	1.38
18223	-9.80	-1.71	-23.21	0.12	0.03	1.30
18243	0.78	-0.96	-17.12	0.14	0.05	1.20
18261	9.66	5.22	-10.50	0.22	0.05	1.12
18279	13.81	11.84	-7.54	0.24	0.06	1.06
18297	19.21	28.24	-2.81	0.22	0.09	0.96
18315	20.16	41.73	1.98	0.17	0.12	0.84
18334	18.60	49.36	4.47	0.12	0.12	0.75
18351	14.79	50.31	4.90	0.05	0.15	0.66
18368	11.17	48.03	4.99	0.03	0.17	0.61
18387	1.85	40.92	5.26	-0.02	0.16	0.53
18405	-6.91	29.71	4.50	-0.04	0.15	0.47
18423	-15.20	18.46	2.47	-0.03	0.14	0.40
18441	-19.12	13.47	1.08	-0.02	0.13	0.31
18461	-27.08	5.33	-2.56	-0.02	0.13	0.27
18479	-35.93	-1.51	-6.99	-0.01	0.11	0.19
18499	-42.48	-4.58	-12.66	0.03	0.09	0.14
18517	-47.88	-4.41	-18.28	0.01	0.07	0.07
18538	-52.09	-6.39	-23.39	-0.01	0.06	0.02
18557	-55.25	-8.91	-27.80	-0.01	0.03	-0.01
18576	-54.37	-11.35	-33.14	-0.00	-0.01	-0.04
18597	-50.57	-12.31	-37.86	-0.03	-0.02	-0.04
18617	-43.62	-16.31	-40.79	-0.06	-0.06	-0.01
18637	-31.40	-23.76	-42.14	-0.07	-0.09	0.02
18657	-16.75	-32.01	-41.44	-0.05	-0.08	0.07
18677	-4.01	-36.24	-39.41	-0.04	-0.07	0.12
18697	8.32	-41.73	-36.25	-0.05	-0.06	0.17
18716	14.07	-44.02	-34.35	-0.03	-0.03	0.22
18737	23.41	-47.50	-30.90	-0.01	-0.03	0.29
18756	32.21	-49.13	-30.40	-0.01	-0.04	0.32
18774	42.05	-50.67	-30.73	0.02	-0.03	0.40
18794	48.95	-47.21	-29.08	0.09	0.02	0.52
18812	50.99	-39.05	-31.04	0.08	0.06	0.58
18830	48.77	-30.46	-34.06	0.19	0.09	0.74
18850	42.04	-11.05	-30.76	0.25	0.21	0.85
18868	33.91	-0.02	-27.07	0.26	0.26	0.89
18887	13.37	21.33	-23.04	0.22	0.24	1.03
18904	-3.22	35.40	-20.02	0.20	0.21	1.19
18922	-14.59	43.14	-11.66	0.16	0.20	1.26
18941	-22.22	48.20	-1.74	0.16	0.11	1.34
18959	-22.03	49.09	0.64	0.08	0.09	1.39
18977	-21.61	36.06	5.34	-0.06	0.10	1.47
