Time	Gx	Gy	Gz	Ax	Ay	Az
3675	1.57	12.30	-7.32	0.15	-0.04	1.00
3694	5.43	16.59	-14.69	0.24	-0.09	1.02
3713	21.19	29.02	-26.84	0.27	-0.15	1.18
3731	34.85	35.98	-33.97	0.21	-0.10	1.30
3750	54.37	37.32	-44.34	0.06	0.03	1.44
3767	59.48	22.95	-48.69	-0.02	0.17	1.53
3785	51.18	1.91	-48.03	-0.02	0.28	1.64
3804	36.79	-18.60	-45.76	0.01	0.28	1.66
3822	30.32	-26.86	-45.36	0.05	0.25	1.64
3841	22.75	-36.16	-48.17	0.11	0.17	1.62
3859	21.36	-38.13	-55.10	0.17	0.17	1.59
3878	19.90	-32.88	-63.69	0.20	0.20	1.57
3896	15.61	-25.38	-71.98	0.19	0.20	1.56
3914	14.42	-22.35	-76.46	0.19	0.17	1.55
3932	15.99	-16.04	-86.81	0.19	0.16	1.50
3950	19.50	-11.52	-94.74	0.12	0.15	1.46
3967	25.19	-13.20	-98.16	0.10	0.15	1.39
3985	27.82	-14.25	-98.53	0.10	0.17	1.36
4003	30.65	-15.49	-96.05	0.08	0.20	1.29
4022	30.72	-18.75	-90.00	0.03	0.22	1.22
4039	29.46	-26.00	-82.05	0.02	0.23	1.16
4057	28.75	-29.53	-78.11	0.01	0.24	1.09
4075	26.47	-35.78	-70.31	0.01	0.25	1.05
4094	23.07	-43.18	-62.53	-0.01	0.24	0.99
4112	21.21	-51.06	-56.21	0.00	0.23	0.92
4130	19.10	-53.51	-52.99	0.08	0.23	0.83
4148	17.40	-51.35	-52.58	0.09	0.23	0.77
4166	13.57	-44.22	-54.92	0.10	0.20	0.64
4183	10.04	-36.10	-62.04	0.10	0.19	0.54
4201	4.23	-26.61	-71.12	0.11	0.20	0.43
4220	0.46	-21.90	-75.33	0.09	0.18	0.32
4238	-7.42	-13.18	-83.57	0.10	0.17	0.25
4256	-16.49	-3.07	-91.02	0.10	0.13	0.14
4274	-22.31	7.81	-95.87	0.08	0.06	0.07
4292	-24.22	16.40	-96.28	0.05	0.05	-0.01
4311	-25.86	19.39	-94.53	-0.02	0.01	-0.07
4330	-26.76	19.56	-89.00	-0.04	-0.01	-0.09
4349	-23.28	14.11	-80.05	-0.06	-0.03	-0.11
4368	-20.13	8.36	-64.93	-0.09	-0.01	-0.11
4387	-17.82	-0.82	-46.86	-0.13	-0.01	-0.07
4407	-14.51	-13.38	-26.82	-0.14	0.00	-0.03
4427	-11.28	-26.87	-4.73	-0.13	0.02	0.02
4446	-8.33	-38.21	17.90	-0.12	0.02	0.06
4464	-6.64	-43.29	28.38	-0.09	0.04	0.10
4482	-3.80	-52.81	45.96	-0.08	0.05	0.12
4500	-3.85	-58.55	60.52	-0.04	0.09	0.17
4521	-6.12	-59.97	73.47	-0.00	0.09	0.22
4540	-7.19	-56.78	81.24	0.04	0.10	0.28
4559	-9.66	-50.09	84.29	0.09	0.15	0.35
4577	-14.65	-36.45	87.37	0.15	0.13	0.44
4595	-14.95	-28.95	87.11	0.17	0.11	0.50
4614	-12.97	-12.80	79.27	0.23	0.16	0.62
4634	-16.80	9.38	67.35	0.28	0.23	0.72
4652	-18.68	34.16	60.53	0.30	0.11	0.88
4669	-12.13	55.04	52.66	0.23	0.20	1.04
4688	-12.08	61.22	46.92	0.17	0.25	1.14
4705	-15.50	67.31	36.70	0.15	0.20	1.16
4723	-10.73	67.15	33.16	0.10	0.13	1.29
4742	-2.58	55.11	35.10	-0.01	0.17	1.40
4760	-2.33	36.80	35.40	0.03	0.24	1.47
4777	-4.53	28.63	34.93	0.04	0.23	1.51
4795	-4.00	12.30	32.97	0.02	0.15	1.57
4813	-2.12	-4.41	31.92	0.07	0.19	1.48
4831	-3.40	-10.74	29.42	0.25	0.15	1.57
4851	-2.66	-7.57	25.74	0.32	0.24	1.71
4868	-6.09	3.75	16.65	0.30	0.28	1.65
4887	-18.30	12.88	9.84	0.30	0.27	1.60
4905	-24.73	25.60	2.30	0.38	0.19	1.70
4923	-20.54	38.82	-7.90	0.25	0.06	1.69
4941	-13.49	39.55	-13.63	0.20	0.01	1.68
4959	6.59	34.50	-25.94	0.19	-0.02	1.75
4977	24.41	28.85	-36.24	0.18	0.08	1.76
4994	33.25	22.83	-42.10	0.16	0.14	1.69
5011	35.08	19.81	-43.59	0.17	0.17	1.67
5029	34.15	15.18	-44.07	0.19	0.22	1.71
5047	29.46	12.13	-42.91	0.19	0.27	1.71
5064	19.65	9.74	-40.60	0.19	0.31	1.66
5082	14.21	9.08	-39.31	0.19	0.31	1.65
5099	4.64	10.59	-36.64	0.23	0.30	1.63
5117	-0.52	17.20	-36.25	0.24	0.25	1.60
5135	-0.69	20.65	-36.47	0.17	0.20	1.56
5153	4.41	23.28	-35.74	0.14	0.18	1.53
5171	14.02	21.15	-32.42	0.08	0.16	1.46
5188	25.10	13.00	-26.15	0.02	0.16	1.38
5205	30.30	7.37	-21.96	0.00	0.17	1.34
5223	39.17	-4.65	-11.44	0.01	0.20	1.26
5241	43.46	-12.44	-0.08	0.03	0.24	1.19
5259	43.24	-18.42	11.51	0.01	0.27	1.11
5276	41.69	-21.21	16.88	0.03	0.28	1.07
5294	36.91	-23.76	24.81	0.05	0.27	0.99
5311	33.04	-23.03	27.97	0.05	0.25	0.91
5329	30.38	-21.80	27.57	0.05	0.23	0.82
5347	29.54	-20.54	26.02	0.06	0.21	0.77
5364	28.08	-16.77	19.49	0.06	0.21	0.69
5381	26.32	-12.48	9.75	0.07	0.21	0.63
5399	24.92	-9.38	4.70	0.08	0.22	0.54
5416	19.67	-1.25	-5.07	0.09	0.24	0.49
5434	8.67	6.94	-14.98	0.05	0.25	0.39
5452	-4.75	8.27	-24.60	-0.02	0.22	0.33
5470	-10.76	6.58	-28.53	-0.02	0.18	0.25
5488	-21.90	3.13	-33.42	-0.03	0.15	0.20
5507	-28.84	-0.61	-35.19	-0.05	0.09	0.10
5527	-33.45	-6.76	-36.10	-0.08	0.07	0.06
5546	-36.25	-14.31	-35.81	-0.06	0.04	0.03
5565	-37.29	-18.68	-33.52	-0.04	0.04	-0.00
5585	-39.43	-21.06	-27.74	-0.04	0.05	-0.01
5604	-42.28	-24.06	-20.00	-0.06	0.05	0.00
5624	-43.00	-28.78	-12.62	-0.08	0.03	0.05
5643	-41.98	-32.12	-8.04	-0.09	0.01	0.09
5662	-37.46	-40.22	2.93	-0.11	0.00	0.12
5681	-30.62	-49.96	15.49	-0.09	0.02	0.16
5699	-24.90	-56.44	27.51	-0.05	0.03	0.20
5718	-20.57	-59.11	38.48	0.00	0.07	0.27
5737	-18.62	-55.71	50.95	0.06	0.07	0.36
5755	-16.89	-52.38	56.40	0.11	0.10	0.42
5774	-14.48	-41.99	62.55	0.14	0.11	0.46
5791	-12.73	-27.08	65.26	0.18	0.11	0.54
5810	-9.96	-6.93	69.66	0.30	0.16	0.65
5828	-11.52	23.06	71.35	0.29	0.17	0.71
5846	-11.95	36.65	69.37	0.22	0.09	0.85
5864	-6.27	54.81	64.96	0.18	0.05	0.91
5882	2.73	64.38	67.02	0.18	0.23	1.02
5900	2.75	70.13	69.60	0.04	0.11	1.13
5917	7.77	65.35	67.93	-0.03	0.09	1.20
5934	16.08	43.32	68.01	-0.12	0.17	1.24
5953	15.75	16.95	75.97	-0.04	0.22	1.27
5971	14.79	1.21	79.12	0.06	0.13	1.37
5988	17.17	-3.27	77.51	0.08	0.16	1.38
6006	15.32	-10.36	75.67	0.08	0.20	1.34
6023	11.78	-11.98	76.14	0.18	0.12	1.41
6042	15.95	-4.94	73.52	0.23	0.12	1.45
6060	16.56	-0.37	70.88	0.21	0.16	1.43
6077	13.20	6.62	65.22	0.24	0.17	1.52
6095	7.16	19.39	57.19	0.35	0.26	1.61
6112	-5.92	38.27	48.69	0.28	0.24	1.50
6129	-10.97	44.27	44.17	0.24	0.21	1.53
6149	-16.33	47.10	35.34	0.23	0.18	1.72
6166	-16.82	49.48	28.87	0.23	0.12	1.74
6184	-8.79	43.37	21.68	0.06	0.02	1.70
6202	-1.34	33.83	17.70	0.01	-0.05	1.64
6219	17.81	10.60	9.09	0.04	-0.06	1.61
6238	39.05	-5.26	-0.31	0.12	-0.04	1.59
6257	56.99	-13.43	-9.00	0.16	0.03	1.61
6275	63.74	-16.02	-15.38	0.23	0.15	1.61
6294	59.80	-8.58	-20.51	0.32	0.22	1.56
6312	55.30	-0.78	-23.53	0.33	0.24	1.55
6331	43.21	15.73	-30.29	0.30	0.30	1.54
6349	26.79	28.08	-38.48	0.26	0.33	1.54
6366	11.46	36.70	-47.49	0.20	0.29	1.49
6384	6.53	38.45	-51.44	0.16	0.26	1.46
6402	0.70	37.31	-58.59	0.08	0.23	1.39
6419	0.44	26.47	-65.17	-0.03	0.18	1.34
6438	5.49	6.88	-68.48	-0.07	0.17	1.29
6456	8.64	-3.59	-68.08	-0.05	0.16	1.22
6476	16.04	-22.08	-65.78	-0.03	0.16	1.18
6494	23.04	-35.10	-63.05	-0.01	0.17	1.11
6514	27.92	-43.93	-58.98	0.02	0.20	1.03
6531	31.30	-46.88	-56.08	0.05	0.20	0.96
6549	32.30	-45.65	-54.61	0.06	0.24	0.90
6569	28.76	-42.72	-54.58	0.08	0.26	0.85
6587	26.44	-40.12	-55.79	0.09	0.26	0.83
6606	19.64	-32.35	-59.74	0.10	0.28	0.76
6624	12.91	-23.33	-66.01	0.10	0.25	0.69
6642	6.79	-12.77	-72.85	0.09	0.25	0.62
6661	0.29	-4.03	-78.06	0.06	0.23	0.53
6679	-2.75	-0.95	-79.99	0.04	0.21	0.48
6697	-7.42	3.04	-83.91	0.03	0.17	0.39
6716	-11.25	6.53	-87.52	0.01	0.16	0.30
6734	-14.85	4.71	-88.73	-0.08	0.14	0.27
6753	-18.07	-6.29	-85.66	-0.10	0.14	0.22
6772	-22.08	-17.14	-81.13	-0.08	0.14	0.15
6791	-24.20	-21.33	-78.46	-0.08	0.11	0.10
6811	-26.41	-29.14	-70.45	-0.09	0.08	0.09
6830	-25.12	-37.20	-57.94	-0.08	0.08	0.08
6849	-24.66	-41.84	-44.11	-0.05	0.07	0.07
6869	-23.06	-43.69	-31.16	-0.04	0.05	0.08
6889	-18.69	-44.72	-17.68	-0.02	0.02	0.11
6907	-12.18	-46.54	-2.21	-0.01	0.04	0.17
6926	-6.47	-48.13	12.83	0.01	0.08	0.21
6945	-6.45	-37.28	27.30	0.02	0.11	0.26
6963	-6.55	-37.67	34.16	0.03	0.12	0.28
6982	-7.49	-31.22	47.52	0.05	0.11	0.37
