Time	Gx	Gy	Gz	Ax	Ay	Az
6373	5.80	-113.42	16.82	0.12	0.03	1.13
6392	11.66	-101.62	16.91	0.20	0.04	1.22
6409	16.01	-81.28	16.13	0.24	0.07	1.27
6427	18.43	-59.16	17.58	0.23	0.08	1.31
6446	21.87	-36.07	20.78	0.27	0.05	1.37
6463	24.55	-23.01	21.94	0.29	0.05	1.39
6482	27.79	6.32	25.41	0.33	0.11	1.44
6499	24.11	41.66	27.71	0.43	0.16	1.44
6516	20.46	63.67	26.63	0.46	0.15	1.44
6534	14.51	110.34	19.82	0.44	0.15	1.44
6553	9.92	151.87	10.71	0.39	0.14	1.42
6571	5.55	187.77	-1.34	0.37	0.14	1.43
6589	1.66	218.29	-15.11	0.30	0.13	1.47
6606	-0.02	230.10	-20.92	0.26	0.13	1.49
6625	-3.88	247.16	-30.72	0.21	0.14	1.53
6643	-8.18	257.60	-40.89	0.16	0.14	1.53
6663	-13.70	264.33	-50.66	0.14	0.14	1.47
6681	-18.91	273.30	-60.82	0.16	0.10	1.39
6699	-20.10	278.90	-66.18	0.09	0.07	1.34
6718	-19.56	285.37	-73.32	0.06	0.05	1.33
6736	-17.91	285.37	-73.68	-0.02	0.09	1.33
6756	-19.84	277.01	-68.98	-0.10	0.11	1.33
6775	-20.25	258.47	-61.23	-0.19	0.09	1.29
6794	-18.52	234.65	-51.01	-0.23	0.08	1.18
6813	-18.19	211.99	-38.80	-0.20	0.10	1.06
6831	-19.87	194.63	-26.25	-0.15	0.11	0.99
6851	-21.30	188.98	-19.50	-0.12	0.11	0.95
6870	-23.38	183.07	-6.61	-0.06	0.11	0.91
6888	-25.12	181.09	3.80	-0.04	0.12	0.87
6907	-25.39	178.79	12.44	-0.10	0.07	0.84
6925	-19.73	165.16	19.84	-0.22	0.04	0.82
6944	-11.28	137.04	26.84	-0.32	0.01	0.78
6963	-6.58	119.31	29.33	-0.37	0.02	0.74
6981	1.88	79.77	32.15	-0.38	0.03	0.73
7000	5.66	37.80	31.91	-0.39	0.08	0.72
7018	1.77	-8.27	30.62	-0.47	0.12	0.73
7037	-5.04	-65.17	29.95	-0.53	0.08	0.74
7055	-7.34	-95.60	28.79	-0.57	0.10	0.79
7074	-12.53	-160.43	26.35	-0.60	0.11	0.83
7094	-18.45	-231.61	27.37	-0.64	0.10	0.91
7112	-20.05	-302.84	33.69	-0.59	0.09	1.05
7131	-17.38	-367.80	43.82	-0.53	0.06	1.26
7150	-9.38	-423.92	56.08	-0.33	0.04	1.54
7169	6.90	-449.87	63.80	0.07	0.03	1.84
7187	16.39	-446.76	61.89	0.34	0.14	2.23
7205	28.52	-419.91	47.88	0.46	0.24	2.39
7223	23.30	-369.23	29.07	0.73	0.40	2.52
7240	5.81	-294.07	6.91	0.78	0.42	2.46
7259	-15.11	-225.81	-18.05	0.54	0.40	2.37
7278	-24.58	-204.04	-28.76	0.26	0.27	2.33
7297	-31.74	-186.77	-45.55	0.18	0.20	2.31
7316	-22.86	-190.96	-55.22	0.02	0.11	2.26
