Time	Gx	Gy	Gz	Ax	Ay	Az	Clean	Deadlift	Squat	Rest	RowLeft	RowRight	Swing		
8475	-4	12	-1	0.05	-0.04	1.03	0.10	0.03	0.49	0.02	0.34	0.01	0.00
8516	-13	8	-7	0.07	-0.06	1.02	0.05	0.02	0.69	0.01	0.22	0.00	0.00
8557	-19	10	2	0.07	-0.11	1.02	0.04	0.03	0.59	0.03	0.29	0.01	0.00
8597	-8	10	23	0.07	-0.09	0.99	0.04	0.05	0.31	0.08	0.47	0.05	0.00
8637	-1	3	29	0.06	-0.09	0.95	0.04	0.05	0.20	0.08	0.54	0.10	0.00
8677	7	-5	27	0.04	-0.06	0.96	0.05	0.04	0.28	0.06	0.52	0.05	0.00
8718	6	-19	16	0.02	-0.04	0.99	0.04	0.04	0.50	0.07	0.33	0.02	0.00
8757	6	-38	-2	0.05	-0.08	1.03	0.04	0.04	0.60	0.11	0.19	0.01	0.00
8798	15	-48	-18	0.11	-0.06	1.01	0.04	0.04	0.78	0.06	0.08	0.00	0.00
8838	20	-34	-16	0.14	-0.02	1.01	0.04	0.05	0.79	0.06	0.06	0.00	0.00
8878	16	-19	-3	0.12	-0.02	1.04	0.04	0.06	0.81	0.04	0.05	0.00	0.00
8918	7	-5	7	0.13	-0.01	0.97	0.03	0.04	0.86	0.02	0.04	0.00	0.00
8958	2	7	9	0.11	-0.02	0.97	0.03	0.02	0.88	0.02	0.06	0.00	0.00
8998	7	7	6	0.10	-0.03	0.98	0.03	0.02	0.84	0.03	0.08	0.00	0.00
9037	10	6	5	0.10	-0.01	0.97	0.03	0.03	0.81	0.05	0.08	0.00	0.00
9077	13	6	9	0.12	-0.01	0.99	0.03	0.03	0.86	0.03	0.05	0.00	0.00
9117	15	11	16	0.13	0.02	0.98	0.03	0.04	0.86	0.03	0.04	0.00	0.00
9156	6	17	14	0.15	0.02	0.97	0.03	0.03	0.89	0.02	0.03	0.00	0.00
9194	-10	38	2	0.19	0.02	0.98	0.03	0.03	0.89	0.02	0.03	0.00	0.00
9233	-20	58	-9	0.15	-0.03	0.95	0.03	0.03	0.87	0.04	0.03	0.00	0.00
9273	-21	59	-8	0.14	-0.04	0.95	0.02	0.03	0.90	0.02	0.02	0.00	0.00
9314	-13	54	-4	0.12	-0.08	0.90	0.02	0.02	0.95	0.00	0.01	0.00	0.00
9354	-1	34	0	0.06	-0.08	0.83	0.01	0.03	0.95	0.00	0.01	0.00	0.00
9394	5	-7	-2	0.00	-0.06	0.77	0.01	0.01	0.97	0.00	0.00	0.00	0.00
9435	3	-56	-11	-0.02	-0.05	0.71	0.01	0.01	0.98	0.00	0.00	0.00	0.00
9475	0	-109	-14	-0.03	-0.04	0.67	0.01	0.01	0.98	0.00	0.00	0.00	0.00
9515	-3	-152	-9	-0.03	-0.04	0.69	0.01	0.09	0.90	0.00	0.00	0.00	0.00
9557	-8	-190	-5	0.04	-0.02	0.74	0.00	0.63	0.36	0.00	0.00	0.00	0.00
9597	-9	-192	2	0.15	-0.02	0.85	0.00	0.88	0.11	0.00	0.00	0.00	0.00
9638	-12	-166	-2	0.24	-0.03	0.91	0.00	0.89	0.10	0.00	0.00	0.00	0.00
9679	-9	-122	-18	0.29	-0.05	0.97	0.00	0.85	0.15	0.00	0.00	0.00	0.00
9720	-6	-72	-25	0.27	-0.01	1.03	0.01	0.70	0.30	0.00	0.00	0.00	0.00
9761	-11	-43	-28	0.20	-0.02	1.20	0.01	0.65	0.34	0.00	0.00	0.00	0.00
9802	-10	-47	-23	0.17	-0.04	1.36	0.01	0.76	0.24	0.00	0.00	0.00	0.00
9842	-12	-39	-15	0.34	-0.01	1.47	0.00	0.90	0.09	0.00	0.00	0.00	0.00
9883	-25	44	-4	0.55	-0.02	1.54	0.00	0.98	0.02	0.00	0.00	0.00	0.00
9922	-26	170	6	0.50	-0.07	1.47	0.00	0.99	0.00	0.00	0.00	0.00	0.00
9962	-9	258	5	0.43	-0.10	1.55	0.00	1.00	0.00	0.00	0.00	0.00	0.00
10001	6	319	-5	0.38	-0.08	1.74	0.00	1.00	0.00	0.00	0.00	0.00	0.00
10040	6	341	-2	0.29	-0.04	1.81	0.00	1.00	0.00	0.00	0.00	0.00	0.00
10079	1	335	6	0.20	-0.02	1.79	0.03	0.96	0.00	0.00	0.00	0.00	0.02
10117	-3	318	22	0.10	-0.01	1.58	0.30	0.07	0.01	0.00	0.00	0.00	0.62
10157	-11	286	29	0.02	-0.01	1.31	0.49	0.00	0.01	0.00	0.00	0.00	0.50
10195	-13	253	29	0.00	-0.00	1.11	0.70	0.00	0.01	0.00	0.00	0.00	0.29
10235	-6	223	23	0.00	-0.05	0.93	0.73	0.00	0.01	0.00	0.00	0.00	0.26
10274	20	192	13	-0.04	-0.07	0.85	0.44	0.00	0.01	0.00	0.00	0.00	0.55
10312	37	149	3	-0.08	-0.03	0.75	0.05	0.01	0.00	0.00	0.00	0.00	0.94
10351	35	90	-10	-0.13	0.00	0.73	0.01	0.31	0.00	0.00	0.00	0.00	0.68
10390	18	28	-20	-0.18	0.04	0.75	0.00	0.94	0.00	0.00	0.00	0.00	0.06
10429	-11	-67	-22	-0.25	0.04	0.85	0.00	0.94	0.00	0.00	0.00	0.00	0.06
10470	-32	-190	-8	-0.32	-0.02	1.03	0.00	0.42	0.00	0.00	0.00	0.00	0.58
10510	-32	-350	37	-0.44	-0.06	1.61	0.00	0.01	0.00	0.00	0.00	0.00	0.99
10549	-24	-495	104	-0.06	-0.08	2.48	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10589	-15	-416	114	0.68	0.01	3.01	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10628	-23	-227	36	0.32	0.11	3.27	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10668	-71	-230	-50	-0.01	0.12	3.21	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10709	-54	-325	-60	-0.22	0.00	2.94	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10749	-5	-434	-41	-0.01	-0.08	2.51	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10790	-1	-444	-45	0.12	0.05	2.26	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10829	-17	-408	-30	0.27	-0.03	1.93	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10869	-6	-326	-3	0.22	-0.05	1.58	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10909	6	-278	11	0.09	-0.03	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10948	12	-264	16	0.01	-0.02	0.77	0.00	0.00	0.00	0.00	0.00	0.00	1.00
10987	14	-245	30	0.02	0.01	0.43	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11025	12	-225	37	0.01	-0.02	0.22	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11065	13	-183	36	0.02	-0.04	0.12	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11103	11	-139	12	-0.05	-0.04	-0.03	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11144	5	-81	-12	-0.06	-0.04	-0.30	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11187	6	-55	-18	-0.14	-0.08	-0.44	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11228	2	-34	-17	-0.12	-0.08	-0.56	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11272	1	-25	-11	-0.13	-0.08	-0.63	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11314	2	-2	-7	-0.09	-0.09	-0.69	0.00	0.00	0.00	0.00	0.00	0.00	1.00
11355	7	25	-5	-0.09	-0.10	-0.68	0.00	0.00	0.00	0.00	0.00	0.00	1.00
