Time	Gx	Gy	Gz	Ax	Ay	Az
7440	1.27	0.06	-0.06	-0.61	-0.11	-0.78
7459	1.25	1.33	0.82	-0.63	-0.11	-0.76
7479	1.77	3.40	1.95	-0.61	-0.12	-0.72
7497	3.63	3.80	1.68	-0.59	-0.12	-0.70
7517	4.52	6.56	3.25	-0.55	-0.11	-0.70
7536	3.74	13.57	4.27	-0.52	-0.11	-0.69
7554	3.01	18.19	0.35	-0.52	-0.11	-0.65
7574	4.20	14.45	-6.87	-0.53	-0.12	-0.60
7593	7.13	2.84	-11.05	-0.47	-0.12	-0.55
7613	9.38	-5.72	-11.14	-0.34	-0.09	-0.51
7632	9.78	-3.56	-11.83	-0.24	-0.08	-0.48
7651	9.74	-0.21	-13.17	-0.17	-0.06	-0.44
7673	9.23	16.30	-16.63	-0.12	-0.06	-0.41
7692	9.45	23.70	-15.70	-0.11	-0.04	-0.40
7712	6.68	39.90	-10.36	-0.18	-0.03	-0.40
7731	2.33	49.65	-4.71	-0.22	-0.03	-0.40
7750	-2.49	49.88	1.43	-0.29	-0.03	-0.42
7770	-6.76	45.87	6.62	-0.33	-0.04	-0.50
7790	-8.80	40.15	10.35	-0.40	-0.07	-0.59
7810	-8.24	27.47	13.24	-0.46	-0.08	-0.67
7829	-8.56	8.87	17.26	-0.48	-0.10	-0.79
7848	-5.43	-7.10	12.16	-0.50	-0.14	-0.92
7868	0.17	-16.05	0.81	-0.45	-0.13	-1.01
7888	3.46	-18.95	-1.48	-0.46	-0.14	-1.06
7908	8.56	-21.38	0.17	-0.48	-0.17	-1.13
7927	16.80	-17.88	-2.04	-0.49	-0.18	-1.16
7947	23.88	-7.86	-3.74	-0.39	-0.12	-1.13
7967	25.33	1.27	-1.14	-0.40	-0.10	-1.11
7987	24.63	18.72	9.34	-0.48	-0.11	-1.08
8006	22.38	26.37	14.88	-0.54	-0.11	-1.05
8025	19.41	22.89	17.50	-0.58	-0.14	-1.00
8044	13.53	17.75	21.94	-0.58	-0.11	-0.99
8062	2.85	10.74	20.48	-0.63	-0.12	-0.99
8081	-3.16	-1.72	3.57	-0.62	-0.16	-1.01
8101	-5.46	-7.20	-13.49	-0.55	-0.12	-1.05
8122	-11.06	-2.20	-17.12	-0.55	-0.10	-1.05
8142	-16.88	1.48	-13.78	-0.56	-0.07	-1.06
8163	-20.32	4.27	-13.06	-0.53	-0.14	-1.10
8182	-14.50	13.09	-13.82	-0.50	-0.17	-1.12
8202	-8.35	23.30	-11.46	-0.53	-0.13	-1.11
8222	-6.52	27.65	-9.40	-0.57	-0.10	-1.12
8242	-5.80	26.52	-8.62	-0.50	-0.13	-1.12
8262	-4.10	32.03	-10.47	-0.43	-0.15	-1.11
8282	-3.22	36.82	-11.80	-0.51	-0.13	-1.12
8303	-4.35	35.08	-9.96	-0.61	-0.16	-1.13
8322	-4.27	27.83	-7.48	-0.57	-0.15	-1.13
8342	-3.97	13.61	-5.40	-0.56	-0.15	-1.15
8362	-4.36	3.63	-3.19	-0.56	-0.17	-1.18
8381	-3.42	-3.66	3.51	-0.53	-0.20	-1.19
8402	0.56	-8.76	0.70	-0.51	-0.24	-1.24
8421	7.98	-14.63	-11.73	-0.60	-0.25	-1.30
8442	16.53	-21.97	-16.17	-0.58	-0.23	-1.33
8461	19.24	-19.00	-8.12	-0.47	-0.14	-1.34
8481	13.11	-7.35	5.10	-0.50	-0.11	-1.34
8501	7.45	-1.48	14.37	-0.60	-0.19	-1.35
8521	8.13	0.96	11.25	-0.60	-0.21	-1.34
8540	5.28	3.20	7.54	-0.64	-0.17	-1.31
8558	-1.01	-2.03	10.09	-0.68	-0.21	-1.28
8579	-2.30	-9.54	6.76	-0.63	-0.25	-1.25
8599	-0.12	-8.67	-4.68	-0.54	-0.19	-1.23
8620	-3.54	-1.80	-9.03	-0.52	-0.13	-1.21
8640	-9.14	3.48	-5.68	-0.54	-0.17	-1.16
8660	-9.06	4.90	-3.16	-0.54	-0.22	-1.13
8680	-5.72	4.20	-3.42	-0.56	-0.20	-1.11
8699	-5.89	1.13	-5.58	-0.57	-0.16	-1.08
8720	-7.64	-3.75	-7.22	-0.54	-0.14	-1.04
8740	-10.53	-5.17	-4.96	-0.46	-0.10	-1.04
8761	-16.65	-0.67	-1.01	-0.45	-0.11	-1.05
8781	-17.23	2.67	1.37	-0.45	-0.18	-1.04
8801	-11.44	5.42	-1.13	-0.44	-0.19	-1.03
8820	-8.50	6.99	-2.55	-0.45	-0.15	-1.04
8841	-6.59	8.07	-4.06	-0.47	-0.15	-1.05
8860	-5.25	4.65	-3.78	-0.48	-0.16	-1.06
8880	-0.79	0.64	-4.03	-0.48	-0.17	-1.08
8900	2.61	0.87	-2.85	-0.49	-0.13	-1.10
8920	3.57	-0.64	-2.78	-0.52	-0.14	-1.10
8940	4.81	-4.52	-2.94	-0.52	-0.15	-1.08
8960	5.51	-7.84	-2.72	-0.51	-0.14	-1.09
8980	4.79	-8.59	-0.37	-0.51	-0.15	-1.10
8999	4.85	-8.41	1.21	-0.49	-0.14	-1.09
9020	4.59	-5.17	1.91	-0.46	-0.13	-1.07
9039	1.85	0.31	4.91	-0.43	-0.11	-1.05
9057	-1.95	6.76	6.47	-0.40	-0.12	-1.01
9077	-2.78	13.20	4.71	-0.38	-0.14	-0.95
9096	-1.65	18.75	4.00	-0.36	-0.14	-0.87
9117	-2.30	22.31	7.39	-0.33	-0.11	-0.80
9136	-5.94	27.53	6.47	-0.25	-0.10	-0.75
9155	-7.61	30.70	3.92	-0.26	-0.08	-0.69
9175	-11.80	33.07	0.64	-0.26	-0.07	-0.65
9194	-18.07	32.03	3.40	-0.22	-0.03	-0.59
9214	-25.76	33.02	2.20	-0.16	-0.07	-0.53
9233	-24.77	38.24	0.53	-0.11	-0.10	-0.48
9253	-22.05	43.01	1.98	-0.09	-0.09	-0.42
9272	-22.22	48.28	4.81	-0.07	-0.02	-0.41
9292	-25.94	50.40	5.14	-0.12	-0.06	-0.39
9311	-23.06	46.81	3.89	-0.17	-0.09	-0.41
9331	-18.59	37.19	0.47	-0.22	-0.06	-0.46
9352	-16.13	22.06	-2.11	-0.30	-0.06	-0.53
9371	-11.25	1.51	-1.01	-0.35	-0.08	-0.63
9391	-4.94	-18.91	-0.18	-0.37	-0.04	-0.76
9411	-2.21	-34.07	1.82	-0.36	-0.02	-0.88
9432	0.17	-42.56	8.85	-0.36	-0.04	-0.96
9451	3.13	-46.97	15.01	-0.39	-0.01	-1.03
9470	2.66	-48.40	16.57	-0.39	0.01	-1.07
9489	-0.49	-46.51	17.64	-0.35	-0.01	-1.10
9509	-1.45	-33.84	15.43	-0.30	-0.04	-1.10
9530	0.67	-15.73	8.22	-0.32	-0.06	-1.07
9549	4.20	-1.94	-0.38	-0.34	-0.06	-1.03
9569	7.74	9.37	-4.50	-0.35	-0.05	-1.01
9588	9.00	19.07	-6.42	-0.38	-0.03	-0.98
9607	8.10	22.61	-8.00	-0.42	-0.01	-0.95
9628	5.22	18.98	-4.82	-0.43	0.00	-0.94
9646	1.46	11.73	1.85	-0.42	-0.00	-0.93
9666	-0.72	3.57	3.17	-0.38	-0.00	-0.94
9685	-2.69	-1.27	1.51	-0.36	0.00	-0.96
9705	-4.76	-4.07	1.04	-0.36	-0.03	-0.97
9725	-4.59	-5.20	-0.55	-0.37	-0.04	-0.97
9746	-1.80	-7.49	-10.03	-0.38	-0.03	-0.95
9766	-0.89	-6.90	-12.22	-0.37	-0.03	-0.91
9787	-0.64	-6.42	-11.99	-0.36	-0.04	-0.86
9807	0.06	-3.30	-9.20	-0.34	-0.04	-0.82
9826	0.24	-0.98	-8.77	-0.31	-0.04	-0.76
9847	-0.66	6.55	-6.29	-0.29	-0.02	-0.70
9867	-2.00	7.83	-5.58	-0.29	-0.03	-0.64
9887	-4.71	7.22	-5.57	-0.26	-0.05	-0.58
9906	-5.65	3.85	-8.90	-0.23	-0.06	-0.54
9927	-4.35	0.98	-11.98	-0.16	-0.06	-0.48
9947	-1.30	-0.29	-12.57	-0.14	-0.06	-0.45
9967	0.73	-3.10	-10.36	-0.15	-0.05	-0.43
9987	2.03	-7.37	-7.29	-0.17	-0.04	-0.43
10006	2.55	-11.63	-3.19	-0.18	-0.04	-0.45
10027	2.55	-15.20	1.39	-0.16	-0.03	-0.48
10046	1.66	-13.79	4.84	-0.13	-0.02	-0.52
10066	-0.29	-5.17	6.99	-0.11	-0.02	-0.58
10085	-3.20	8.71	10.48	-0.16	-0.02	-0.67
