Time	Gx	Gy	Gz	Ax	Ay	Az	Clean	Deadlift	Squat	Rest	RowLeft	RowRight	Swing			
3	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
42	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
81	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
119	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
159	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
199	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
241	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
281	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
321	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
361	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
403	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
444	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
483	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
524	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
562	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
602	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
643	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
684	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
725	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
766	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
807	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
848	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
888	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
928	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
968	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1010	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1052	-0	1	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1092	-0	1	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1132	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1173	-0	1	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1213	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1254	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1294	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1334	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1375	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1415	-0	1	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1456	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1496	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1536	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1577	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1617	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1657	-0	0	0	0.04	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1698	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1738	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1778	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1819	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1859	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1901	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1942	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
1982	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2022	-0	1	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2063	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2103	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2142	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2181	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2220	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2261	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2301	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2340	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2383	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2423	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2464	-0	1	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2504	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2544	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2585	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2626	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2667	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2707	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2747	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2787	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2827	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2869	-0	1	0	0.04	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2909	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2949	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
2989	-0	0	0	0.03	-0.04	1.01	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3029	-0	1	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3070	-0	0	0	0.04	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3110	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3148	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3189	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
3229	-0	0	0	0.03	-0.04	1.00	0.03	0.03	0.06	0.86	0.01	0.01	0.00
