Time	Gx	Gy	Gz	Ax	Ay	Az
2	-0.11	-0.24	-0.31	0.11	0.00	0.96
22	-0.26	-0.23	-0.35	0.11	0.00	0.96
40	-0.06	-0.21	-0.32	0.11	0.00	0.97
60	-0.09	-0.27	-0.34	0.11	0.01	0.96
78	-0.06	-0.27	-0.31	0.11	0.01	0.97
97	-0.05	-0.24	-0.38	0.11	0.01	0.96
116	-0.17	-0.21	-0.43	0.11	0.00	0.96
135	-0.09	-0.21	-0.32	0.11	0.00	0.96
155	-0.11	-0.23	-0.35	0.10	0.00	0.96
173	-0.08	-0.27	-0.47	0.10	0.01	0.96
192	-0.09	-0.21	-0.34	0.11	0.00	0.96
212	-0.15	-0.32	-0.32	0.10	0.01	0.97
230	-0.20	-0.23	-0.29	0.11	0.00	0.97
250	-0.23	-0.21	-0.35	0.11	0.00	0.96
268	-0.06	-0.27	-0.38	0.11	0.01	0.96
288	-0.03	-0.26	-0.32	0.10	0.01	0.96
307	-0.09	-0.26	-0.32	0.11	0.01	0.96
325	-0.18	-0.21	-0.32	0.11	0.00	0.96
345	-0.17	-0.21	-0.35	0.11	0.00	0.97
363	-0.14	-0.23	-0.31	0.11	0.00	0.97
383	-0.03	-0.27	-0.41	0.11	0.00	0.96
401	0.02	-0.27	-0.31	0.11	0.01	0.96
421	-0.15	-0.32	-0.37	0.11	0.01	0.96
439	-0.14	-0.24	-0.31	0.11	0.00	0.96
458	-0.17	-0.23	-0.41	0.10	0.00	0.97
477	-0.06	-0.26	-0.46	0.11	0.00	0.97
496	0.02	-0.27	-0.41	0.10	0.01	0.96
516	0.05	-0.26	-0.35	0.11	0.01	0.96
534	0.00	-0.29	-0.41	0.11	0.01	0.97
552	-0.09	-0.27	-0.31	0.11	0.01	0.96
571	-0.12	-0.20	-0.38	0.10	0.00	0.96
590	-0.15	-0.29	-0.31	0.11	0.00	0.97
609	0.00	-0.24	-0.47	0.11	0.01	0.97
628	-0.02	-0.18	-0.37	0.11	0.01	0.96
647	-0.17	-0.18	-0.43	0.11	0.00	0.96
666	-0.18	-0.26	-0.27	0.11	0.01	0.97
684	-0.09	-0.35	-0.37	0.11	0.00	0.97
704	-0.03	-0.26	-0.32	0.11	0.00	0.96
723	0.08	-0.26	-0.35	0.11	0.01	0.97
742	-0.09	-0.24	-0.43	0.10	0.01	0.97
761	-0.06	-0.20	-0.31	0.11	0.01	0.97
780	-0.14	-0.20	-0.35	0.10	0.00	0.96
799	-0.11	-0.26	-0.27	0.11	0.00	0.96
817	-0.14	-0.21	-0.43	0.10	0.00	0.96
837	0.02	-0.27	-0.32	0.11	0.00	0.96
855	0.08	-0.21	-0.41	0.11	0.00	0.96
874	-0.15	-0.24	-0.31	0.11	0.01	0.96
892	-0.05	-0.26	-0.35	0.11	0.00	0.97
911	-0.20	-0.23	-0.40	0.11	0.00	0.97
931	-0.05	-0.27	-0.32	0.10	0.00	0.96
949	0.05	-0.21	-0.37	0.11	0.00	0.97
968	0.05	-0.31	-0.35	0.10	0.01	0.96
986	-0.08	-0.26	-0.32	0.11	0.01	0.96
1006	-0.17	-0.23	-0.32	0.11	0.00	0.96
1025	-0.23	-0.26	-0.41	0.11	0.00	0.97
1043	-0.08	-0.21	-0.34	0.11	0.00	0.96
1063	0.03	-0.15	-0.32	0.11	0.01	0.96
1081	-0.11	-0.18	-0.37	0.11	0.01	0.97
1100	-0.15	-0.26	-0.41	0.11	0.01	0.96
1119	-0.15	-0.27	-0.37	0.11	0.00	0.97
1138	-0.08	-0.26	-0.35	0.10	0.00	0.97
1158	-0.06	-0.20	-0.37	0.10	0.00	0.96
1176	0.02	-0.21	-0.43	0.11	0.01	0.97
1195	0.09	-0.27	-0.34	0.10	0.01	0.96
1213	-0.09	-0.21	-0.35	0.11	0.01	0.97
1233	-0.14	-0.26	-0.29	0.11	0.01	0.96
1252	-0.14	-0.17	-0.32	0.10	0.00	0.96
1270	0.02	-0.24	-0.37	0.11	0.00	0.97
1289	0.00	-0.18	-0.31	0.10	0.01	0.96
1307	-0.02	-0.18	-0.38	0.11	0.01	0.96
1327	-0.12	-0.27	-0.37	0.11	0.01	0.96
1346	-0.12	-0.27	-0.38	0.11	0.01	0.97
1365	-0.06	-0.21	-0.43	0.11	0.00	0.96
1384	-0.11	-0.21	-0.35	0.11	0.00	0.97
1403	0.08	-0.24	-0.32	0.11	0.01	0.96
1422	-0.06	-0.24	-0.34	0.11	0.01	0.96
1441	-0.15	-0.18	-0.27	0.11	0.00	0.96
1460	-0.26	-0.17	-0.40	0.11	0.00	0.96
1479	-0.14	-0.23	-0.38	0.11	0.00	0.97
1497	-0.03	-0.24	-0.38	0.11	0.01	0.96
