Time	Gx	Gy	Gz	Ax	Ay	Az
5604	0.66	-0.76	-1.36	0.13	0.01	0.96
5622	0.84	-0.06	-0.69	0.13	0.00	0.97
5641	1.02	0.41	-0.06	0.13	0.00	0.97
5660	0.82	0.35	1.22	0.11	0.03	0.98
5676	-0.38	-0.03	0.76	0.12	0.02	0.97
5694	-1.19	-0.03	-1.34	0.14	0.00	1.00
5713	-1.10	0.73	-2.30	0.18	-0.01	0.98
5732	-0.37	4.18	-2.70	0.19	0.00	1.02
5750	-3.08	11.93	-1.69	0.23	0.04	1.31
5768	-8.24	17.47	2.11	0.15	0.05	1.45
5786	-12.21	11.64	8.29	0.10	0.02	1.55
5804	-12.60	7.58	11.25	0.13	0.02	1.51
5822	-13.55	3.31	17.29	0.15	0.04	1.49
5841	-18.37	3.78	24.69	0.17	0.08	1.46
5858	-26.18	7.06	32.64	0.15	0.08	1.43
5876	-29.72	7.97	36.13	0.13	0.06	1.45
5894	-34.36	7.23	42.50	0.12	0.07	1.47
5911	-38.64	3.75	51.09	0.10	0.03	1.51
5930	-36.90	0.21	60.32	0.14	-0.03	1.53
5948	-32.68	1.02	70.08	0.16	0.00	1.60
5966	-32.10	1.50	75.52	0.15	0.02	1.61
5984	-32.46	1.66	85.62	0.14	-0.02	1.55
6002	-28.34	1.94	92.76	0.15	-0.06	1.48
6020	-25.19	4.21	97.55	0.14	-0.04	1.43
6038	-25.19	5.13	99.33	0.13	-0.03	1.41
6056	-26.08	3.77	101.58	0.07	-0.05	1.36
6074	-26.38	-3.27	101.32	0.04	-0.06	1.32
6093	-27.83	-9.29	98.04	0.07	-0.06	1.24
6111	-30.38	-12.51	93.95	0.04	-0.08	1.16
6129	-31.42	-15.35	92.15	0.02	-0.09	1.13
6149	-31.60	-22.98	88.91	-0.01	-0.12	1.05
6168	-30.59	-32.52	85.48	-0.01	-0.15	0.97
6187	-27.08	-40.65	81.91	-0.02	-0.18	0.87
6206	-22.58	-48.68	80.46	-0.01	-0.18	0.78
6225	-18.26	-52.25	80.54	0.05	-0.20	0.67
6245	-12.21	-48.46	81.85	0.06	-0.23	0.56
6263	-1.69	-44.24	85.74	0.02	-0.26	0.44
6281	4.36	-43.56	89.13	0.01	-0.26	0.39
6301	17.40	-43.17	96.91	0.01	-0.29	0.28
6318	33.19	-43.09	102.54	-0.01	-0.30	0.20
6338	47.30	-46.60	107.24	-0.05	-0.27	0.13
6357	56.11	-52.67	114.01	-0.01	-0.22	0.06
6375	60.07	-52.34	119.63	0.02	-0.21	-0.02
6394	60.99	-51.21	119.87	0.01	-0.19	-0.08
6413	60.35	-51.28	116.65	0.01	-0.18	-0.09
6432	55.98	-50.66	113.25	-0.03	-0.15	-0.08
6451	46.14	-55.07	104.22	-0.04	-0.12	-0.06
6471	34.23	-58.99	84.29	-0.05	-0.16	-0.02
6490	26.66	-63.69	57.65	-0.05	-0.21	0.03
6508	23.77	-70.31	29.43	-0.06	-0.22	0.10
6527	20.39	-69.17	-1.82	0.01	-0.19	0.15
6546	17.97	-67.92	-18.62	0.04	-0.18	0.18
6566	12.99	-56.98	-48.40	0.08	-0.20	0.26
6584	10.06	-45.00	-68.65	0.10	-0.20	0.32
6603	4.90	-26.55	-82.95	0.18	-0.14	0.37
6622	-4.81	-3.08	-96.24	0.17	-0.19	0.44
6640	-7.74	15.21	-100.34	0.11	-0.25	0.52
6660	1.37	24.51	-98.60	0.11	-0.31	0.62
6678	6.90	29.36	-99.37	0.11	-0.17	0.65
6696	7.37	38.25	-101.15	0.09	-0.19	0.71
6715	9.09	42.13	-97.85	0.08	-0.19	0.81
6733	12.08	44.33	-91.46	0.15	-0.15	0.94
6751	8.45	53.56	-90.59	0.16	-0.01	0.99
6770	1.68	57.36	-91.02	0.12	-0.02	1.08
6787	-10.19	59.56	-89.05	0.09	0.00	1.13
6807	-21.59	54.73	-84.46	0.08	0.01	1.21
6824	-32.68	50.95	-86.52	0.12	0.04	1.25
6842	-43.43	46.91	-88.84	0.07	-0.00	1.37
6862	-45.41	41.85	-88.70	0.01	-0.08	1.37
6880	-41.55	25.86	-88.24	0.06	-0.07	1.36
6900	-38.35	18.36	-89.92	0.16	-0.03	1.40
6918	-36.39	19.36	-92.01	0.13	-0.04	1.38
6936	-32.93	17.17	-90.82	0.13	-0.00	1.34
6955	-36.54	18.63	-88.18	0.18	0.06	1.31
6974	-39.79	21.42	-87.91	0.19	-0.05	1.21
6993	-38.62	28.37	-92.64	0.23	-0.02	1.24
7011	-42.28	40.10	-97.56	0.27	0.02	1.51
7029	-38.73	45.59	-101.91	0.12	-0.17	1.51
7048	-17.96	37.45	-109.50	0.10	-0.23	1.33
7067	0.20	36.35	-119.16	0.16	-0.09	1.31
7086	3.33	37.66	-122.74	0.09	-0.03	1.39
7104	4.23	32.94	-126.42	0.03	-0.01	1.39
7122	1.92	17.49	-126.91	0.04	-0.01	1.36
7141	0.27	7.66	-127.01	0.14	0.00	1.39
7158	-2.35	9.06	-124.98	0.24	0.02	1.53
