Time	Gx	Gy	Gz	Ax	Ay	Az
9740	10.25	177.25	37.22	0.64	0.01	1.00
9758	11.51	235.17	40.33	0.54	0.03	1.12
9775	9.80	285.29	40.45	0.64	0.07	1.28
9792	7.98	314.04	39.69	0.67	0.07	1.38
9810	4.97	370.70	37.48	0.55	0.07	1.54
9828	4.12	409.32	31.77	0.44	0.02	1.68
9845	6.26	423.57	27.10	0.33	0.01	1.90
9863	11.26	442.21	14.27	0.16	0.01	2.02
9880	12.71	424.21	-3.30	-0.12	0.03	2.24
9897	12.82	388.44	-24.44	-0.07	0.02	2.46
9916	13.26	354.29	-40.41	-0.27	0.01	2.59
9935	13.23	327.82	-47.62	-0.38	0.05	2.59
9954	8.16	265.15	-65.40	-0.32	0.07	2.53
9971	1.57	222.79	-78.22	-0.07	0.10	2.38
9989	-7.34	206.27	-79.15	0.01	0.11	2.22
10007	-17.90	202.12	-76.60	0.14	0.08	2.07
10025	-22.55	207.93	-74.26	0.24	0.09	1.97
10045	-32.90	236.80	-63.64	0.29	0.10	1.76
10063	-42.50	266.22	-52.37	0.15	0.06	1.55
10082	-47.06	280.76	-46.04	0.09	0.01	1.40
10100	-48.14	294.95	-36.44	0.10	0.01	1.26
10118	-47.55	302.09	-29.40	0.02	-0.03	1.21
10138	-42.89	302.08	-13.38	-0.19	-0.05	1.11
10156	-36.97	280.99	2.96	-0.28	-0.06	0.98
10176	-29.33	255.31	19.70	-0.29	-0.08	0.79
10194	-20.05	228.41	32.68	-0.30	-0.10	0.61
10212	-11.06	202.93	42.88	-0.29	-0.07	0.48
10232	-5.94	177.72	51.38	-0.26	-0.07	0.43
10251	-2.75	166.23	54.82	-0.17	-0.10	0.32
10270	6.99	151.35	55.48	-0.12	-0.09	0.27
10288	14.94	150.77	44.72	-0.01	-0.08	0.19
10307	20.87	158.52	26.67	-0.03	-0.06	0.11
10325	22.71	157.68	9.60	-0.09	-0.06	0.02
10343	21.68	155.43	-1.14	-0.03	-0.04	-0.06
10363	19.32	157.33	-4.27	-0.03	-0.00	-0.14
10382	10.96	160.69	-9.03	-0.04	-0.00	-0.16
10401	2.79	159.03	-15.72	-0.08	-0.04	-0.19
10420	-2.32	150.59	-20.83	-0.09	-0.06	-0.22
10439	-6.01	140.29	-20.57	-0.09	-0.05	-0.25
10460	-10.04	123.98	-18.02	-0.16	-0.06	-0.28
10479	-11.25	98.14	-15.91	-0.18	-0.08	-0.31
10499	-10.39	71.81	-12.59	-0.16	-0.07	-0.36
10518	-10.93	48.46	-7.34	-0.15	-0.05	-0.39
10537	-11.12	24.93	-2.87	-0.15	-0.09	-0.41
10558	-6.99	2.88	-0.78	-0.11	-0.10	-0.42
10577	-1.79	-11.34	1.51	-0.07	-0.08	-0.43
10597	1.24	-23.77	2.12	-0.11	-0.07	-0.40
10616	2.40	-31.52	1.19	-0.11	-0.08	-0.34
10636	5.48	-48.22	-1.51	-0.11	-0.08	-0.31
10656	8.33	-60.17	-2.29	-0.05	-0.07	-0.27
10676	10.99	-64.80	-1.30	-0.04	-0.07	-0.22
10695	14.72	-69.76	-2.43	-0.07	-0.08	-0.14
10714	18.69	-78.67	-5.57	-0.08	-0.06	-0.05
10734	18.60	-89.05	-10.48	-0.11	-0.01	0.06
10753	15.53	-103.64	-17.70	-0.16	-0.03	0.15
10773	15.76	-123.98	-23.76	-0.20	-0.05	0.27
10792	16.08	-147.80	-24.19	-0.22	-0.00	0.37
10812	14.27	-174.00	-21.93	-0.26	-0.02	0.48
10831	15.26	-188.49	-22.28	-0.33	-0.07	0.60
10849	21.97	-222.70	-23.51	-0.34	-0.05	0.65
10870	23.61	-259.34	-18.75	-0.35	0.02	0.68
10888	23.16	-293.73	-12.18	-0.32	-0.06	0.76
10908	29.50	-321.75	-8.51	-0.27	-0.08	0.84
10927	34.85	-343.00	-2.32	-0.18	-0.02	0.91
10946	35.60	-353.26	8.01	-0.13	-0.06	1.04
10965	40.63	-358.66	13.67	-0.05	-0.08	1.23
10984	41.85	-352.98	22.14	0.11	0.03	1.45
11002	38.47	-343.84	28.14	0.16	0.05	1.54
11019	31.16	-321.06	34.36	0.22	-0.04	1.71
11038	33.55	-295.81	32.67	0.27	-0.01	1.95
11057	30.43	-266.02	39.12	0.33	0.06	2.21
11075	25.85	-237.53	39.84	0.31	-0.02	2.44
11094	27.07	-226.43	30.62	0.05	-0.04	2.63
11112	31.10	-228.32	13.69	-0.13	0.07	2.73
11130	22.64	-268.57	16.75	-0.29	0.07	2.83
11148	20.34	-312.53	12.30	-0.06	-0.02	2.93
11167	28.06	-330.64	-8.30	0.04	0.04	2.97
11186	28.29	-336.33	-13.14	0.12	0.18	2.91
11204	17.91	-340.73	-6.20	0.25	0.13	2.83
11221	14.89	-319.53	0.38	0.40	-0.02	2.68
11241	21.91	-294.57	-4.12	0.24	-0.01	2.55
11259	30.75	-293.55	-8.79	-0.06	-0.06	2.48
11280	42.37	-327.10	-4.90	-0.26	-0.04	2.35
11298	47.32	-372.31	1.50	-0.25	0.12	2.19
11317	43.11	-391.62	8.21	0.07	0.06	1.95
11335	36.80	-401.00	28.58	0.31	0.03	1.80
11352	34.04	-358.05	50.49	0.61	-0.01	1.52
11372	34.03	-294.14	65.77	0.55	-0.07	1.20
11390	36.42	-243.35	71.11	0.42	-0.05	0.93
11408	35.93	-223.11	70.37	0.38	-0.03	0.84
11427	31.66	-191.12	63.83	0.29	0.01	0.69
11444	25.59	-162.80	51.35	0.34	-0.01	0.60
11462	24.05	-122.38	32.10	0.52	-0.03	0.56
11481	24.02	-93.67	20.63	0.67	0.01	0.54
11498	21.84	-22.78	-3.14	0.70	0.02	0.53
11516	19.62	54.50	-23.12	0.73	-0.02	0.50
11534	19.67	135.57	-35.00	0.78	-0.03	0.48
11552	20.16	177.58	-36.83	0.83	-0.03	0.46
11570	20.20	263.98	-35.42	0.86	-0.01	0.48
11588	15.81	354.68	-32.58	0.88	0.05	0.54
11606	8.59	442.37	-24.80	0.85	0.08	0.70
11623	4.70	483.52	-17.38	0.86	0.09	0.97
11640	-1.94	499.98	-1.97	0.74	0.09	1.15
11658	-8.13	499.98	3.56	0.21	0.10	1.65
11678	-12.65	499.98	1.89	-0.36	0.06	2.27
11696	-13.40	491.94	-9.48	-0.73	-0.03	2.83
